Categoría: Todas las categorías

Semana,es pujols: (Alemania)
2015-08-02,80
2015-08-09,52
2015-08-16,0
2015-08-23,26
2015-08-30,51
2015-09-06,0
2015-09-13,32
2015-09-20,49
2015-09-27,37
2015-10-04,0
2015-10-11,0
2015-10-18,24
2015-10-25,0
2015-11-01,24
2015-11-08,36
2015-11-15,0
2015-11-22,24
2015-11-29,36
2015-12-06,48
2015-12-13,25
2015-12-20,59
2015-12-27,28
2016-01-03,22
2016-01-10,22
2016-01-17,22
2016-01-24,22
2016-01-31,22
2016-02-07,0
2016-02-14,33
2016-02-21,0
2016-02-28,0
2016-03-06,22
2016-03-13,23
2016-03-20,23
2016-03-27,24
2016-04-03,23
2016-04-10,23
2016-04-17,54
2016-04-24,0
2016-05-01,51
2016-05-08,59
2016-05-15,47
2016-05-22,32
2016-05-29,23
2016-06-05,47
2016-06-12,22
2016-06-19,23
2016-06-26,23
2016-07-03,49
2016-07-10,48
2016-07-17,33
2016-07-24,100
2016-07-31,51
2016-08-07,27
2016-08-14,37
2016-08-21,27
2016-08-28,25
2016-09-04,75
2016-09-11,24
2016-09-18,25
2016-09-25,37
2016-10-02,25
2016-10-09,24
2016-10-16,24
2016-10-23,36
2016-10-30,24
2016-11-06,23
2016-11-13,0
2016-11-20,23
2016-11-27,23
2016-12-04,46
2016-12-11,23
2016-12-18,24
2016-12-25,26
2017-01-01,53
2017-01-08,21
2017-01-15,22
2017-01-22,22
2017-01-29,29
2017-02-05,22
2017-02-12,22
2017-02-19,0
2017-02-26,21
2017-03-05,21
2017-03-12,33
2017-03-19,22
2017-03-26,34
2017-04-02,23
2017-04-09,69
2017-04-16,37
2017-04-23,32
2017-04-30,0
2017-05-07,22
2017-05-14,35
2017-05-21,37
2017-05-28,46
2017-06-04,38
2017-06-11,35
2017-06-18,44
2017-06-25,30
2017-07-02,23
2017-07-09,23
2017-07-16,23
2017-07-23,44
2017-07-30,44
2017-08-06,30
2017-08-13,34
2017-08-20,30
2017-08-27,0
2017-09-03,43
2017-09-10,21
2017-09-17,29
2017-09-24,21
2017-10-01,21
2017-10-08,62
2017-10-15,21
2017-10-22,51
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,20
2017-11-26,21
2017-12-03,0
2017-12-10,41
2017-12-17,22
2017-12-24,0
2017-12-31,43
2018-01-07,30
2018-01-14,26
2018-01-21,20
2018-01-28,20
2018-02-04,20
2018-02-11,20
2018-02-18,0
2018-02-25,20
2018-03-04,20
2018-03-11,33
2018-03-18,20
2018-03-25,21
2018-04-01,21
2018-04-08,21
2018-04-15,21
2018-04-22,20
2018-04-29,21
2018-05-06,21
2018-05-13,20
2018-05-20,21
2018-05-27,21
2018-06-03,40
2018-06-10,30
2018-06-17,40
2018-06-24,0
2018-07-01,27
2018-07-08,27
2018-07-15,42
2018-07-22,21
2018-07-29,21
2018-08-05,31
2018-08-12,28
2018-08-19,21
2018-08-26,0
2018-09-02,20
2018-09-09,20
2018-09-16,20
2018-09-23,34
2018-09-30,30
2018-10-07,30
2018-10-14,20
2018-10-21,20
2018-10-28,20
2018-11-04,29
2018-11-11,20
2018-11-18,19
2018-11-25,20
2018-12-02,19
2018-12-09,19
2018-12-16,20
2018-12-23,0
2018-12-30,31
2019-01-06,19
2019-01-13,37
2019-01-20,19
2019-01-27,18
2019-02-03,37
2019-02-10,19
2019-02-17,0
2019-02-24,39
2019-03-03,38
2019-03-10,37
2019-03-17,0
2019-03-24,29
2019-03-31,19
2019-04-07,19
2019-04-14,0
2019-04-21,20
2019-04-28,38
2019-05-05,19
2019-05-12,19
2019-05-19,19
2019-05-26,20
2019-06-02,38
2019-06-09,26
2019-06-16,0
2019-06-23,20
2019-06-30,19
2019-07-07,29
2019-07-14,20
2019-07-21,21
2019-07-28,20
2019-08-04,41
2019-08-11,20
2019-08-18,20
2019-08-25,32
2019-09-01,19
2019-09-08,38
2019-09-15,26
2019-09-22,19
2019-09-29,19
2019-10-06,19
2019-10-13,56
2019-10-20,18
2019-10-27,18
2019-11-03,17
2019-11-10,18
2019-11-17,27
2019-11-24,0
2019-12-01,27
2019-12-08,18
2019-12-15,18
2019-12-22,21
2019-12-29,19
2020-01-05,17
2020-01-12,17
2020-01-19,25
2020-01-26,17
2020-02-02,34
2020-02-09,17
2020-02-16,34
2020-02-23,16
2020-03-01,17
2020-03-08,26
2020-03-15,0
2020-03-22,0
2020-03-29,15
2020-04-05,17
2020-04-12,32
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,16
2020-05-24,32
2020-05-31,15
2020-06-07,23
2020-06-14,31
2020-06-21,33
2020-06-28,16
2020-07-05,17
2020-07-12,17
2020-07-19,24
