Categoría: Todas las categorías

Semana,magaluf: (Alemania)
2015-08-02,16
2015-08-09,22
2015-08-16,16
2015-08-23,10
2015-08-30,7
2015-09-06,7
2015-09-13,10
2015-09-20,9
2015-09-27,6
2015-10-04,6
2015-10-11,3
2015-10-18,4
2015-10-25,3
2015-11-01,3
2015-11-08,3
2015-11-15,3
2015-11-22,2
2015-11-29,2
2015-12-06,4
2015-12-13,3
2015-12-20,0
2015-12-27,6
2016-01-03,2
2016-01-10,4
2016-01-17,4
2016-01-24,3
2016-01-31,6
2016-02-07,100
2016-02-14,6
2016-02-21,4
2016-02-28,5
2016-03-06,6
2016-03-13,8
2016-03-20,3
2016-03-27,6
2016-04-03,6
2016-04-10,8
2016-04-17,6
2016-04-24,78
2016-05-01,36
2016-05-08,10
2016-05-15,10
2016-05-22,13
2016-05-29,12
2016-06-05,10
2016-06-12,14
2016-06-19,11
2016-06-26,10
2016-07-03,11
2016-07-10,19
2016-07-17,25
2016-07-24,21
2016-07-31,13
2016-08-07,29
2016-08-14,18
2016-08-21,15
2016-08-28,15
2016-09-04,6
2016-09-11,10
2016-09-18,9
2016-09-25,7
2016-10-02,4
2016-10-09,5
2016-10-16,6
2016-10-23,3
2016-10-30,2
2016-11-06,5
2016-11-13,3
2016-11-20,2
2016-11-27,4
2016-12-04,3
2016-12-11,3
2016-12-18,5
2016-12-25,4
2017-01-01,7
2017-01-08,6
2017-01-15,9
2017-01-22,6
2017-01-29,8
2017-02-05,6
2017-02-12,8
2017-02-19,5
2017-02-26,6
2017-03-05,7
2017-03-12,8
2017-03-19,5
2017-03-26,9
2017-04-02,8
2017-04-09,12
2017-04-16,17
2017-04-23,17
2017-04-30,11
2017-05-07,8
2017-05-14,9
2017-05-21,10
2017-05-28,13
2017-06-04,10
2017-06-11,13
2017-06-18,43
2017-06-25,13
2017-07-02,16
2017-07-09,15
2017-07-16,19
2017-07-23,19
2017-07-30,25
2017-08-06,25
2017-08-13,15
2017-08-20,13
2017-08-27,14
2017-09-03,11
2017-09-10,8
2017-09-17,10
2017-09-24,10
2017-10-01,7
2017-10-08,7
2017-10-15,4
2017-10-22,5
2017-10-29,5
2017-11-05,3
2017-11-12,2
2017-11-19,2
2017-11-26,2
2017-12-03,5
2017-12-10,2
2017-12-17,4
2017-12-24,5
2017-12-31,5
2018-01-07,4
2018-01-14,4
2018-01-21,4
2018-01-28,3
2018-02-04,3
2018-02-11,1
2018-02-18,11
2018-02-25,7
2018-03-04,7
2018-03-11,4
2018-03-18,14
2018-03-25,20
2018-04-01,9
2018-04-08,6
2018-04-15,8
2018-04-22,8
2018-04-29,9
2018-05-06,13
2018-05-13,11
2018-05-20,23
2018-05-27,15
2018-06-03,14
2018-06-10,12
2018-06-17,15
2018-06-24,17
2018-07-01,14
2018-07-08,26
2018-07-15,29
2018-07-22,23
2018-07-29,22
2018-08-05,20
2018-08-12,16
2018-08-19,21
2018-08-26,18
2018-09-02,8
2018-09-09,17
2018-09-16,12
2018-09-23,8
2018-09-30,10
2018-10-07,11
2018-10-14,6
2018-10-21,7
2018-10-28,4
2018-11-04,2
2018-11-11,3
2018-11-18,2
2018-11-25,3
2018-12-02,3
2018-12-09,4
2018-12-16,1
2018-12-23,3
2018-12-30,6
2019-01-06,5
2019-01-13,4
2019-01-20,5
2019-01-27,4
2019-02-03,6
2019-02-10,6
2019-02-17,4
2019-02-24,6
2019-03-03,4
2019-03-10,6
2019-03-17,5
2019-03-24,7
2019-03-31,5
2019-04-07,8
2019-04-14,8
2019-04-21,7
2019-04-28,7
2019-05-05,12
2019-05-12,10
2019-05-19,10
2019-05-26,10
2019-06-02,13
2019-06-09,13
2019-06-16,14
2019-06-23,19
2019-06-30,16
2019-07-07,11
2019-07-14,16
2019-07-21,11
2019-07-28,18
2019-08-04,18
2019-08-11,16
2019-08-18,15
2019-08-25,16
2019-09-01,9
2019-09-08,9
2019-09-15,9
2019-09-22,11
2019-09-29,8
2019-10-06,7
2019-10-13,5
2019-10-20,6
2019-10-27,3
2019-11-03,3
2019-11-10,2
2019-11-17,3
2019-11-24,3
2019-12-01,6
2019-12-08,4
2019-12-15,3
2019-12-22,6
2019-12-29,4
2020-01-05,3
2020-01-12,5
2020-01-19,4
2020-01-26,4
2020-02-02,4
2020-02-09,4
2020-02-16,3
2020-02-23,4
2020-03-01,1
2020-03-08,2
2020-03-15,2
2020-03-22,2
2020-03-29,2
2020-04-05,1
2020-04-12,1
2020-04-19,3
2020-04-26,2
2020-05-03,2
2020-05-10,3
2020-05-17,2
2020-05-24,3
2020-05-31,2
2020-06-07,2
2020-06-14,8
2020-06-21,4
2020-06-28,4
2020-07-05,14
2020-07-12,33
2020-07-19,8
