Categoría: Todas las categorías

Semana,soller: (Alemania)
2015-08-02,39
2015-08-09,39
2015-08-16,39
2015-08-23,45
2015-08-30,35
2015-09-06,40
2015-09-13,54
2015-09-20,39
2015-09-27,49
2015-10-04,40
2015-10-11,35
2015-10-18,37
2015-10-25,32
2015-11-01,26
2015-11-08,34
2015-11-15,23
2015-11-22,21
2015-11-29,26
2015-12-06,17
2015-12-13,22
2015-12-20,28
2015-12-27,29
2016-01-03,33
2016-01-10,28
2016-01-17,41
2016-01-24,35
2016-01-31,34
2016-02-07,37
2016-02-14,47
2016-02-21,50
2016-02-28,43
2016-03-06,45
2016-03-13,42
2016-03-20,49
2016-03-27,42
2016-04-03,45
2016-04-10,38
2016-04-17,55
2016-04-24,39
2016-05-01,41
2016-05-08,47
2016-05-15,45
2016-05-22,44
2016-05-29,40
2016-06-05,51
2016-06-12,45
2016-06-19,42
2016-06-26,32
2016-07-03,39
2016-07-10,36
2016-07-17,52
2016-07-24,50
2016-07-31,50
2016-08-07,40
2016-08-14,46
2016-08-21,43
2016-08-28,39
2016-09-04,42
2016-09-11,46
2016-09-18,39
2016-09-25,33
2016-10-02,46
2016-10-09,44
2016-10-16,41
2016-10-23,35
2016-10-30,32
2016-11-06,25
2016-11-13,28
2016-11-20,31
2016-11-27,27
2016-12-04,20
2016-12-11,21
2016-12-18,21
2016-12-25,29
2017-01-01,37
2017-01-08,30
2017-01-15,29
2017-01-22,36
2017-01-29,33
2017-02-05,49
2017-02-12,42
2017-02-19,43
2017-02-26,39
2017-03-05,41
2017-03-12,37
2017-03-19,48
2017-03-26,30
2017-04-02,27
2017-04-09,60
2017-04-16,60
2017-04-23,44
2017-04-30,49
2017-05-07,41
2017-05-14,44
2017-05-21,46
2017-05-28,37
2017-06-04,46
2017-06-11,45
2017-06-18,39
2017-06-25,24
2017-07-02,39
2017-07-09,41
2017-07-16,49
2017-07-23,43
2017-07-30,37
2017-08-06,41
2017-08-13,44
2017-08-20,45
2017-08-27,40
2017-09-03,48
2017-09-10,51
2017-09-17,53
2017-09-24,39
2017-10-01,55
2017-10-08,35
2017-10-15,39
2017-10-22,48
2017-10-29,42
2017-11-05,28
2017-11-12,32
2017-11-19,31
2017-11-26,21
2017-12-03,24
2017-12-10,23
2017-12-17,17
2017-12-24,39
2017-12-31,37
2018-01-07,24
2018-01-14,32
2018-01-21,33
2018-01-28,46
2018-02-04,34
2018-02-11,32
2018-02-18,32
2018-02-25,35
2018-03-04,100
2018-03-11,43
2018-03-18,46
2018-03-25,56
2018-04-01,50
2018-04-08,48
2018-04-15,46
2018-04-22,52
2018-04-29,42
2018-05-06,36
2018-05-13,52
2018-05-20,39
2018-05-27,35
2018-06-03,40
2018-06-10,39
2018-06-17,35
2018-06-24,37
2018-07-01,41
2018-07-08,38
2018-07-15,41
2018-07-22,46
2018-07-29,40
2018-08-05,43
2018-08-12,41
2018-08-19,46
2018-08-26,50
2018-09-02,49
2018-09-09,44
2018-09-16,37
2018-09-23,41
2018-09-30,41
2018-10-07,52
2018-10-14,42
2018-10-21,43
2018-10-28,31
2018-11-04,30
2018-11-11,27
2018-11-18,20
2018-11-25,21
2018-12-02,19
2018-12-09,24
2018-12-16,29
2018-12-23,28
2018-12-30,39
2019-01-06,38
2019-01-13,31
2019-01-20,46
2019-01-27,42
2019-02-03,44
2019-02-10,38
2019-02-17,33
2019-02-24,42
2019-03-03,54
2019-03-10,50
2019-03-17,52
2019-03-24,55
2019-03-31,45
2019-04-07,55
2019-04-14,50
2019-04-21,53
2019-04-28,48
2019-05-05,35
2019-05-12,49
2019-05-19,44
2019-05-26,45
2019-06-02,47
2019-06-09,78
2019-06-16,46
2019-06-23,39
2019-06-30,54
2019-07-07,52
2019-07-14,44
2019-07-21,45
2019-07-28,46
2019-08-04,49
2019-08-11,40
2019-08-18,45
2019-08-25,46
2019-09-01,47
2019-09-08,52
2019-09-15,43
2019-09-22,50
2019-09-29,33
2019-10-06,38
2019-10-13,42
2019-10-20,46
2019-10-27,40
2019-11-03,29
2019-11-10,31
2019-11-17,35
2019-11-24,27
2019-12-01,34
2019-12-08,25
2019-12-15,20
2019-12-22,38
2019-12-29,35
2020-01-05,42
2020-01-12,40
2020-01-19,39
2020-01-26,41
2020-02-02,35
2020-02-09,33
2020-02-16,46
2020-02-23,36
2020-03-01,37
2020-03-08,31
2020-03-15,18
2020-03-22,11
2020-03-29,17
2020-04-05,15
2020-04-12,15
2020-04-19,13
2020-04-26,14
2020-05-03,16
2020-05-10,19
2020-05-17,18
2020-05-24,16
2020-05-31,20
2020-06-07,19
2020-06-14,19
2020-06-21,26
2020-06-28,31
2020-07-05,29
2020-07-12,88
2020-07-19,24
