Categoría: Todas las categorías

Semana,albufera: (Alemania)
2015-08-02,80
2015-08-09,30
2015-08-16,69
2015-08-23,82
2015-08-30,59
2015-09-06,59
2015-09-13,81
2015-09-20,33
2015-09-27,46
2015-10-04,40
2015-10-11,60
2015-10-18,28
2015-10-25,40
2015-11-01,64
2015-11-08,32
2015-11-15,47
2015-11-22,30
2015-11-29,32
2015-12-06,28
2015-12-13,25
2015-12-20,30
2015-12-27,51
2016-01-03,63
2016-01-10,62
2016-01-17,52
2016-01-24,37
2016-01-31,60
2016-02-07,70
2016-02-14,41
2016-02-21,34
2016-02-28,48
2016-03-06,71
2016-03-13,57
2016-03-20,87
2016-03-27,72
2016-04-03,46
2016-04-10,61
2016-04-17,61
2016-04-24,41
2016-05-01,42
2016-05-08,39
2016-05-15,52
2016-05-22,72
2016-05-29,68
2016-06-05,62
2016-06-12,37
2016-06-19,27
2016-06-26,50
2016-07-03,49
2016-07-10,56
2016-07-17,79
2016-07-24,54
2016-07-31,64
2016-08-07,62
2016-08-14,69
2016-08-21,67
2016-08-28,47
2016-09-04,46
2016-09-11,82
2016-09-18,50
2016-09-25,37
2016-10-02,37
2016-10-09,69
2016-10-16,40
2016-10-23,24
2016-10-30,44
2016-11-06,39
2016-11-13,27
2016-11-20,23
2016-11-27,42
2016-12-04,34
2016-12-11,27
2016-12-18,18
2016-12-25,44
2017-01-01,61
2017-01-08,47
2017-01-15,40
2017-01-22,62
2017-01-29,43
2017-02-05,40
2017-02-12,48
2017-02-19,62
2017-02-26,29
2017-03-05,50
2017-03-12,51
2017-03-19,48
2017-03-26,52
2017-04-02,45
2017-04-09,50
2017-04-16,37
2017-04-23,87
2017-04-30,63
2017-05-07,72
2017-05-14,92
2017-05-21,41
2017-05-28,58
2017-06-04,53
2017-06-11,55
2017-06-18,56
2017-06-25,100
2017-07-02,50
2017-07-09,64
2017-07-16,61
2017-07-23,66
2017-07-30,56
2017-08-06,63
2017-08-13,57
2017-08-20,69
2017-08-27,69
2017-09-03,40
2017-09-10,54
2017-09-17,54
2017-09-24,53
2017-10-01,81
2017-10-08,56
2017-10-15,28
2017-10-22,48
2017-10-29,71
2017-11-05,31
2017-11-12,41
2017-11-19,41
2017-11-26,25
2017-12-03,14
2017-12-10,17
2017-12-17,22
2017-12-24,28
2017-12-31,39
2018-01-07,60
2018-01-14,49
2018-01-21,53
2018-01-28,53
2018-02-04,51
2018-02-11,35
2018-02-18,50
2018-02-25,33
2018-03-04,63
2018-03-11,47
2018-03-18,61
2018-03-25,50
2018-04-01,47
2018-04-08,41
2018-04-15,53
2018-04-22,40
2018-04-29,53
2018-05-06,39
2018-05-13,37
2018-05-20,46
2018-05-27,38
2018-06-03,54
2018-06-10,53
2018-06-17,67
2018-06-24,41
2018-07-01,61
2018-07-08,77
2018-07-15,98
2018-07-22,59
2018-07-29,49
2018-08-05,41
2018-08-12,49
2018-08-19,56
2018-08-26,38
2018-09-02,58
2018-09-09,44
2018-09-16,44
2018-09-23,31
2018-09-30,54
2018-10-07,34
2018-10-14,24
2018-10-21,30
2018-10-28,27
2018-11-04,29
2018-11-11,20
2018-11-18,10
2018-11-25,42
2018-12-02,29
2018-12-09,36
2018-12-16,10
2018-12-23,23
2018-12-30,38
2019-01-06,50
2019-01-13,74
2019-01-20,83
2019-01-27,52
2019-02-03,37
2019-02-10,38
2019-02-17,38
2019-02-24,52
2019-03-03,60
2019-03-10,37
2019-03-17,49
2019-03-24,36
2019-03-31,32
2019-04-07,32
2019-04-14,46
2019-04-21,41
2019-04-28,70
2019-05-05,59
2019-05-12,52
2019-05-19,47
2019-05-26,36
2019-06-02,64
2019-06-09,62
2019-06-16,66
2019-06-23,86
2019-06-30,65
2019-07-07,41
2019-07-14,53
2019-07-21,49
2019-07-28,71
2019-08-04,38
2019-08-11,53
2019-08-18,43
2019-08-25,49
2019-09-01,32
2019-09-08,51
2019-09-15,54
2019-09-22,31
2019-09-29,53
2019-10-06,75
2019-10-13,40
2019-10-20,32
2019-10-27,30
2019-11-03,52
2019-11-10,33
2019-11-17,33
2019-11-24,20
2019-12-01,24
2019-12-08,22
2019-12-15,21
2019-12-22,28
2019-12-29,32
2020-01-05,54
2020-01-12,61
2020-01-19,57
2020-01-26,25
2020-02-02,45
2020-02-09,25
2020-02-16,43
2020-02-23,25
2020-03-01,14
2020-03-08,13
2020-03-15,15
2020-03-22,15
2020-03-29,13
2020-04-05,8
2020-04-12,8
2020-04-19,18
2020-04-26,15
2020-05-03,13
2020-05-10,10
2020-05-17,16
2020-05-24,16
2020-05-31,13
2020-06-07,15
2020-06-14,20
2020-06-21,12
2020-06-28,32
2020-07-05,28
2020-07-12,17
2020-07-19,20
