Categoría: Todas las categorías

Semana,Cala Benirras: (España)
2015-08-02,57
2015-08-09,42
2015-08-16,68
2015-08-23,35
2015-08-30,32
2015-09-06,23
2015-09-13,20
2015-09-20,13
2015-09-27,13
2015-10-04,13
2015-10-11,13
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,14
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,24
2016-03-27,0
2016-04-03,0
2016-04-10,42
2016-04-17,27
2016-04-24,28
2016-05-01,29
2016-05-08,14
2016-05-15,15
2016-05-22,22
2016-05-29,15
2016-06-05,30
2016-06-12,48
2016-06-19,36
2016-06-26,25
2016-07-03,27
2016-07-10,38
2016-07-17,27
2016-07-24,45
2016-07-31,59
2016-08-07,74
2016-08-14,51
2016-08-21,41
2016-08-28,59
2016-09-04,48
2016-09-11,21
2016-09-18,23
2016-09-25,45
2016-10-02,15
2016-10-09,15
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,15
2016-11-13,15
2016-11-20,0
2016-11-27,0
2016-12-04,14
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,15
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,13
2017-02-05,13
2017-02-12,0
2017-02-19,14
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,40
2017-03-26,0
2017-04-02,14
2017-04-09,15
2017-04-16,14
2017-04-23,26
2017-04-30,14
2017-05-07,13
2017-05-14,43
2017-05-21,14
2017-05-28,23
2017-06-04,14
2017-06-11,38
2017-06-18,28
2017-06-25,51
2017-07-02,50
2017-07-09,70
2017-07-16,45
2017-07-23,22
2017-07-30,49
2017-08-06,75
2017-08-13,21
2017-08-20,49
2017-08-27,23
2017-09-03,41
2017-09-10,36
2017-09-17,18
2017-09-24,33
2017-10-01,13
2017-10-08,13
2017-10-15,25
2017-10-22,13
2017-10-29,19
2017-11-05,13
2017-11-12,13
2017-11-19,0
2017-11-26,13
2017-12-03,14
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,12
2018-01-21,0
2018-01-28,0
2018-02-04,12
2018-02-11,0
2018-02-18,0
2018-02-25,12
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,12
2018-04-08,0
2018-04-15,0
2018-04-22,31
2018-04-29,17
2018-05-06,12
2018-05-13,25
2018-05-20,12
2018-05-27,36
2018-06-03,56
2018-06-10,39
2018-06-17,43
2018-06-24,47
2018-07-01,42
2018-07-08,59
2018-07-15,43
2018-07-22,52
2018-07-29,78
2018-08-05,65
2018-08-12,40
2018-08-19,49
2018-08-26,43
2018-09-02,49
2018-09-09,49
2018-09-16,24
2018-09-23,36
2018-09-30,12
2018-10-07,31
2018-10-14,23
2018-10-21,18
2018-10-28,12
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,13
2018-12-16,0
2018-12-23,14
2018-12-30,0
2019-01-06,0
2019-01-13,12
2019-01-20,0
2019-01-27,0
2019-02-03,12
2019-02-10,0
2019-02-17,12
2019-02-24,12
2019-03-03,0
2019-03-10,0
2019-03-17,12
2019-03-24,12
2019-03-31,0
2019-04-07,0
2019-04-14,38
2019-04-21,12
2019-04-28,12
2019-05-05,17
2019-05-12,18
2019-05-19,27
2019-05-26,23
2019-06-02,23
2019-06-09,23
2019-06-16,60
2019-06-23,57
2019-06-30,45
2019-07-07,35
2019-07-14,45
2019-07-21,37
2019-07-28,47
2019-08-04,73
2019-08-11,64
2019-08-18,100
2019-08-25,44
2019-09-01,72
2019-09-08,37
2019-09-15,29
2019-09-22,22
2019-09-29,11
2019-10-06,40
2019-10-13,11
2019-10-20,11
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,12
2019-12-29,0
2020-01-05,11
2020-01-12,10
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,10
2020-02-16,0
2020-02-23,10
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,9
2020-03-29,0
2020-04-05,0
2020-04-12,9
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,9
2020-05-24,9
2020-05-31,9
2020-06-07,9
2020-06-14,10
2020-06-21,10
2020-06-28,21
2020-07-05,36
2020-07-12,26
2020-07-19,46
