Categoría: Todas las categorías

Semana,Es Vedra: (España)
2015-08-02,52
2015-08-09,31
2015-08-16,23
2015-08-23,26
2015-08-30,29
2015-09-06,37
2015-09-13,23
2015-09-20,26
2015-09-27,15
2015-10-04,20
2015-10-11,14
2015-10-18,18
2015-10-25,18
2015-11-01,15
2015-11-08,15
2015-11-15,7
2015-11-22,10
2015-11-29,10
2015-12-06,18
2015-12-13,5
2015-12-20,14
2015-12-27,12
2016-01-03,6
2016-01-10,9
2016-01-17,11
2016-01-24,6
2016-01-31,30
2016-02-07,52
2016-02-14,20
2016-02-21,20
2016-02-28,7
2016-03-06,15
2016-03-13,12
2016-03-20,15
2016-03-27,18
2016-04-03,17
2016-04-10,33
2016-04-17,25
2016-04-24,21
2016-05-01,11
2016-05-08,29
2016-05-15,22
2016-05-22,23
2016-05-29,41
2016-06-05,30
2016-06-12,25
2016-06-19,37
2016-06-26,24
2016-07-03,47
2016-07-10,28
2016-07-17,56
2016-07-24,69
2016-07-31,38
2016-08-07,66
2016-08-14,46
2016-08-21,40
2016-08-28,23
2016-09-04,47
2016-09-11,31
2016-09-18,47
2016-09-25,36
2016-10-02,27
2016-10-09,22
2016-10-16,18
2016-10-23,14
2016-10-30,8
2016-11-06,12
2016-11-13,6
2016-11-20,11
2016-11-27,15
2016-12-04,11
2016-12-11,8
2016-12-18,10
2016-12-25,13
2017-01-01,12
2017-01-08,13
2017-01-15,8
2017-01-22,7
2017-01-29,5
2017-02-05,14
2017-02-12,13
2017-02-19,11
2017-02-26,10
2017-03-05,21
2017-03-12,9
2017-03-19,19
2017-03-26,11
2017-04-02,15
2017-04-09,27
2017-04-16,24
2017-04-23,23
2017-04-30,26
2017-05-07,23
2017-05-14,31
2017-05-21,49
2017-05-28,26
2017-06-04,56
2017-06-11,33
2017-06-18,36
2017-06-25,49
2017-07-02,44
2017-07-09,50
2017-07-16,52
2017-07-23,68
2017-07-30,63
2017-08-06,80
2017-08-13,46
2017-08-20,47
2017-08-27,53
2017-09-03,40
2017-09-10,56
2017-09-17,37
2017-09-24,23
2017-10-01,28
2017-10-08,21
2017-10-15,27
2017-10-22,15
2017-10-29,14
2017-11-05,19
2017-11-12,9
2017-11-19,15
2017-11-26,10
2017-12-03,9
2017-12-10,12
2017-12-17,11
2017-12-24,14
2017-12-31,11
2018-01-07,10
2018-01-14,13
2018-01-21,10
2018-01-28,5
2018-02-04,8
2018-02-11,12
2018-02-18,7
2018-02-25,14
2018-03-04,21
2018-03-11,16
2018-03-18,17
2018-03-25,26
2018-04-01,20
2018-04-08,17
2018-04-15,31
2018-04-22,34
2018-04-29,44
2018-05-06,43
2018-05-13,36
2018-05-20,30
2018-05-27,40
2018-06-03,52
2018-06-10,44
2018-06-17,37
2018-06-24,42
2018-07-01,63
2018-07-08,72
2018-07-15,57
2018-07-22,68
2018-07-29,84
2018-08-05,83
2018-08-12,80
2018-08-19,73
2018-08-26,58
2018-09-02,61
2018-09-09,62
2018-09-16,45
2018-09-23,40
2018-09-30,41
2018-10-07,28
2018-10-14,33
2018-10-21,13
2018-10-28,20
2018-11-04,19
2018-11-11,8
2018-11-18,8
2018-11-25,6
2018-12-02,15
2018-12-09,13
2018-12-16,12
2018-12-23,23
2018-12-30,9
2019-01-06,12
2019-01-13,14
2019-01-20,18
2019-01-27,12
2019-02-03,18
2019-02-10,22
2019-02-17,11
2019-02-24,14
2019-03-03,6
2019-03-10,21
2019-03-17,20
2019-03-24,10
2019-03-31,20
2019-04-07,25
2019-04-14,32
2019-04-21,33
2019-04-28,35
2019-05-05,33
2019-05-12,33
2019-05-19,59
2019-05-26,41
2019-06-02,53
2019-06-09,51
2019-06-16,49
2019-06-23,54
2019-06-30,67
2019-07-07,62
2019-07-14,56
2019-07-21,79
2019-07-28,61
2019-08-04,92
2019-08-11,75
2019-08-18,100
2019-08-25,48
2019-09-01,57
2019-09-08,36
2019-09-15,61
2019-09-22,42
2019-09-29,44
2019-10-06,28
2019-10-13,40
2019-10-20,19
2019-10-27,13
2019-11-03,23
2019-11-10,17
2019-11-17,13
2019-11-24,10
2019-12-01,19
2019-12-08,20
2019-12-15,9
2019-12-22,11
2019-12-29,10
2020-01-05,17
2020-01-12,12
2020-01-19,8
2020-01-26,19
2020-02-02,8
2020-02-09,18
2020-02-16,11
2020-02-23,14
2020-03-01,18
2020-03-08,14
2020-03-15,24
2020-03-22,25
2020-03-29,26
2020-04-05,23
2020-04-12,15
2020-04-19,26
2020-04-26,28
2020-05-03,18
2020-05-10,42
2020-05-17,21
2020-05-24,28
2020-05-31,27
2020-06-07,14
2020-06-14,19
2020-06-21,15
2020-06-28,26
2020-07-05,51
2020-07-12,62
2020-07-19,51
