Categoría: Todas las categorías

Semana,ses Salines: (España)
2015-08-02,61
2015-08-09,81
2015-08-16,79
2015-08-23,61
2015-08-30,53
2015-09-06,33
2015-09-13,36
2015-09-20,21
2015-09-27,21
2015-10-04,22
2015-10-11,14
2015-10-18,19
2015-10-25,11
2015-11-01,19
2015-11-08,9
2015-11-15,12
2015-11-22,13
2015-11-29,17
2015-12-06,17
2015-12-13,13
2015-12-20,13
2015-12-27,13
2016-01-03,11
2016-01-10,20
2016-01-17,13
2016-01-24,16
2016-01-31,19
2016-02-07,23
2016-02-14,8
2016-02-21,19
2016-02-28,23
2016-03-06,36
2016-03-13,18
2016-03-20,23
2016-03-27,25
2016-04-03,19
2016-04-10,27
2016-04-17,25
2016-04-24,39
2016-05-01,34
2016-05-08,39
2016-05-15,28
2016-05-22,26
2016-05-29,41
2016-06-05,33
2016-06-12,39
2016-06-19,45
2016-06-26,31
2016-07-03,40
2016-07-10,53
2016-07-17,53
2016-07-24,67
2016-07-31,72
2016-08-07,53
2016-08-14,55
2016-08-21,89
2016-08-28,32
2016-09-04,50
2016-09-11,34
2016-09-18,32
2016-09-25,28
2016-10-02,21
2016-10-09,20
2016-10-16,18
2016-10-23,23
2016-10-30,16
2016-11-06,17
2016-11-13,18
2016-11-20,12
2016-11-27,15
2016-12-04,7
2016-12-11,16
2016-12-18,14
2016-12-25,16
2017-01-01,12
2017-01-08,20
2017-01-15,13
2017-01-22,26
2017-01-29,18
2017-02-05,17
2017-02-12,32
2017-02-19,14
2017-02-26,24
2017-03-05,15
2017-03-12,19
2017-03-19,19
2017-03-26,23
2017-04-02,22
2017-04-09,28
2017-04-16,23
2017-04-23,41
2017-04-30,45
2017-05-07,29
2017-05-14,29
2017-05-21,37
2017-05-28,28
2017-06-04,41
2017-06-11,58
2017-06-18,49
2017-06-25,41
2017-07-02,52
2017-07-09,43
2017-07-16,44
2017-07-23,58
2017-07-30,72
2017-08-06,54
2017-08-13,79
2017-08-20,69
2017-08-27,53
2017-09-03,43
2017-09-10,44
2017-09-17,37
2017-09-24,35
2017-10-01,22
2017-10-08,22
2017-10-15,22
2017-10-22,22
2017-10-29,19
2017-11-05,12
2017-11-12,27
2017-11-19,20
2017-11-26,15
2017-12-03,12
2017-12-10,9
2017-12-17,16
2017-12-24,17
2017-12-31,9
2018-01-07,14
2018-01-14,17
2018-01-21,14
2018-01-28,13
2018-02-04,13
2018-02-11,22
2018-02-18,19
2018-02-25,20
2018-03-04,20
2018-03-11,27
2018-03-18,24
2018-03-25,29
2018-04-01,31
2018-04-08,33
2018-04-15,46
2018-04-22,36
2018-04-29,53
2018-05-06,48
2018-05-13,40
2018-05-20,37
2018-05-27,36
2018-06-03,35
2018-06-10,34
2018-06-17,50
2018-06-24,52
2018-07-01,58
2018-07-08,53
2018-07-15,73
2018-07-22,60
2018-07-29,69
2018-08-05,84
2018-08-12,100
2018-08-19,86
2018-08-26,60
2018-09-02,65
2018-09-09,51
2018-09-16,42
2018-09-23,40
2018-09-30,33
2018-10-07,48
2018-10-14,18
2018-10-21,19
2018-10-28,26
2018-11-04,17
2018-11-11,17
2018-11-18,15
2018-11-25,17
2018-12-02,13
2018-12-09,17
2018-12-16,16
2018-12-23,8
2018-12-30,17
2019-01-06,22
2019-01-13,14
2019-01-20,6
2019-01-27,17
2019-02-03,20
2019-02-10,20
2019-02-17,29
2019-02-24,19
2019-03-03,22
2019-03-10,17
2019-03-17,22
2019-03-24,25
2019-03-31,16
2019-04-07,36
2019-04-14,26
2019-04-21,36
2019-04-28,37
2019-05-05,41
2019-05-12,42
2019-05-19,35
2019-05-26,42
2019-06-02,43
2019-06-09,41
2019-06-16,42
2019-06-23,64
2019-06-30,54
2019-07-07,49
2019-07-14,60
2019-07-21,53
2019-07-28,67
2019-08-04,85
2019-08-11,81
2019-08-18,63
2019-08-25,64
2019-09-01,43
2019-09-08,59
2019-09-15,29
2019-09-22,55
2019-09-29,32
2019-10-06,30
2019-10-13,31
2019-10-20,42
2019-10-27,22
2019-11-03,16
2019-11-10,18
2019-11-17,14
2019-11-24,13
2019-12-01,17
2019-12-08,14
2019-12-15,14
2019-12-22,15
2019-12-29,21
2020-01-05,21
2020-01-12,11
2020-01-19,16
2020-01-26,20
2020-02-02,13
2020-02-09,15
2020-02-16,15
2020-02-23,12
2020-03-01,20
2020-03-08,18
2020-03-15,13
2020-03-22,13
2020-03-29,12
2020-04-05,12
2020-04-12,15
2020-04-19,15
2020-04-26,21
2020-05-03,17
2020-05-10,15
2020-05-17,23
2020-05-24,23
2020-05-31,21
2020-06-07,27
2020-06-14,19
2020-06-21,30
2020-06-28,33
2020-07-05,39
2020-07-12,57
2020-07-19,68
