Categoría: Todas las categorías

Semana,magaluf: (España)
2015-08-02,69
2015-08-09,85
2015-08-16,64
2015-08-23,51
2015-08-30,47
2015-09-06,43
2015-09-13,29
2015-09-20,22
2015-09-27,30
2015-10-04,18
2015-10-11,20
2015-10-18,18
2015-10-25,12
2015-11-01,10
2015-11-08,12
2015-11-15,6
2015-11-22,8
2015-11-29,7
2015-12-06,7
2015-12-13,7
2015-12-20,5
2015-12-27,7
2016-01-03,8
2016-01-10,8
2016-01-17,7
2016-01-24,10
2016-01-31,6
2016-02-07,9
2016-02-14,12
2016-02-21,8
2016-02-28,10
2016-03-06,13
2016-03-13,15
2016-03-20,13
2016-03-27,28
2016-04-03,21
2016-04-10,17
2016-04-17,19
2016-04-24,28
2016-05-01,33
2016-05-08,36
2016-05-15,31
2016-05-22,44
2016-05-29,38
2016-06-05,54
2016-06-12,63
2016-06-19,84
2016-06-26,53
2016-07-03,55
2016-07-10,61
2016-07-17,60
2016-07-24,61
2016-07-31,84
2016-08-07,71
2016-08-14,57
2016-08-21,69
2016-08-28,55
2016-09-04,48
2016-09-11,44
2016-09-18,50
2016-09-25,29
2016-10-02,34
2016-10-09,29
2016-10-16,22
2016-10-23,17
2016-10-30,14
2016-11-06,10
2016-11-13,12
2016-11-20,11
2016-11-27,8
2016-12-04,12
2016-12-11,7
2016-12-18,12
2016-12-25,7
2017-01-01,10
2017-01-08,14
2017-01-15,11
2017-01-22,11
2017-01-29,11
2017-02-05,12
2017-02-12,14
2017-02-19,9
2017-02-26,11
2017-03-05,17
2017-03-12,14
2017-03-19,15
2017-03-26,26
2017-04-02,25
2017-04-09,28
2017-04-16,27
2017-04-23,33
2017-04-30,34
2017-05-07,31
2017-05-14,33
2017-05-21,36
2017-05-28,47
2017-06-04,52
2017-06-11,79
2017-06-18,96
2017-06-25,75
2017-07-02,77
2017-07-09,82
2017-07-16,67
2017-07-23,77
2017-07-30,79
2017-08-06,79
2017-08-13,63
2017-08-20,85
2017-08-27,61
2017-09-03,57
2017-09-10,52
2017-09-17,45
2017-09-24,33
2017-10-01,32
2017-10-08,25
2017-10-15,25
2017-10-22,20
2017-10-29,12
2017-11-05,10
2017-11-12,11
2017-11-19,8
2017-11-26,10
2017-12-03,9
2017-12-10,11
2017-12-17,6
2017-12-24,8
2017-12-31,9
2018-01-07,9
2018-01-14,10
2018-01-21,19
2018-01-28,12
2018-02-04,14
2018-02-11,13
2018-02-18,15
2018-02-25,13
2018-03-04,16
2018-03-11,18
2018-03-18,20
2018-03-25,20
2018-04-01,34
2018-04-08,34
2018-04-15,28
2018-04-22,33
2018-04-29,49
2018-05-06,66
2018-05-13,51
2018-05-20,60
2018-05-27,48
2018-06-03,80
2018-06-10,91
2018-06-17,69
2018-06-24,65
2018-07-01,82
2018-07-08,87
2018-07-15,89
2018-07-22,93
2018-07-29,94
2018-08-05,100
2018-08-12,99
2018-08-19,82
2018-08-26,71
2018-09-02,69
2018-09-09,77
2018-09-16,64
2018-09-23,51
2018-09-30,42
2018-10-07,39
2018-10-14,30
2018-10-21,22
2018-10-28,19
2018-11-04,12
2018-11-11,13
2018-11-18,14
2018-11-25,11
2018-12-02,12
2018-12-09,8
2018-12-16,8
2018-12-23,14
2018-12-30,11
2019-01-06,10
2019-01-13,9
2019-01-20,9
2019-01-27,10
2019-02-03,10
2019-02-10,12
2019-02-17,10
2019-02-24,14
2019-03-03,22
2019-03-10,15
2019-03-17,22
2019-03-24,16
2019-03-31,28
2019-04-07,33
2019-04-14,66
2019-04-21,45
2019-04-28,39
2019-05-05,44
2019-05-12,46
2019-05-19,43
2019-05-26,45
2019-06-02,57
2019-06-09,82
2019-06-16,78
2019-06-23,68
2019-06-30,68
2019-07-07,71
2019-07-14,90
2019-07-21,77
2019-07-28,80
2019-08-04,88
2019-08-11,93
2019-08-18,83
2019-08-25,82
2019-09-01,69
2019-09-08,70
2019-09-15,57
2019-09-22,47
2019-09-29,48
2019-10-06,37
2019-10-13,36
2019-10-20,28
2019-10-27,19
2019-11-03,14
2019-11-10,13
2019-11-17,15
2019-11-24,9
2019-12-01,11
2019-12-08,10
2019-12-15,7
2019-12-22,11
2019-12-29,10
2020-01-05,10
2020-01-12,15
2020-01-19,11
2020-01-26,14
2020-02-02,15
2020-02-09,14
2020-02-16,11
2020-02-23,10
2020-03-01,15
2020-03-08,14
2020-03-15,8
2020-03-22,7
2020-03-29,5
2020-04-05,17
2020-04-12,6
2020-04-19,6
2020-04-26,8
2020-05-03,8
2020-05-10,11
2020-05-17,9
2020-05-24,12
2020-05-31,14
2020-06-07,12
2020-06-14,16
2020-06-21,19
2020-06-28,17
2020-07-05,23
2020-07-12,54
2020-07-19,27
