Categoría: Todas las categorías

Semana,Castell de Bellver: (España)
2015-08-02,40
2015-08-09,30
2015-08-16,47
2015-08-23,47
2015-08-30,18
2015-09-06,29
2015-09-13,25
2015-09-20,33
2015-09-27,40
2015-10-04,16
2015-10-11,39
2015-10-18,32
2015-10-25,16
2015-11-01,32
2015-11-08,33
2015-11-15,16
2015-11-22,0
2015-11-29,25
2015-12-06,17
2015-12-13,17
2015-12-20,0
2015-12-27,58
2016-01-03,19
2016-01-10,36
2016-01-17,54
2016-01-24,24
2016-01-31,27
2016-02-07,18
2016-02-14,24
2016-02-21,18
2016-02-28,18
2016-03-06,27
2016-03-13,43
2016-03-20,54
2016-03-27,19
2016-04-03,18
2016-04-10,36
2016-04-17,29
2016-04-24,42
2016-05-01,37
2016-05-08,52
2016-05-15,28
2016-05-22,28
2016-05-29,28
2016-06-05,19
2016-06-12,18
2016-06-19,100
2016-06-26,19
2016-07-03,34
2016-07-10,52
2016-07-17,28
2016-07-24,0
2016-07-31,45
2016-08-07,39
2016-08-14,24
2016-08-21,52
2016-08-28,48
2016-09-04,41
2016-09-11,46
2016-09-18,19
2016-09-25,19
2016-10-02,19
2016-10-09,39
2016-10-16,50
2016-10-23,19
2016-10-30,19
2016-11-06,19
2016-11-13,38
2016-11-20,0
2016-11-27,30
2016-12-04,0
2016-12-11,27
2016-12-18,58
2016-12-25,42
2017-01-01,20
2017-01-08,27
2017-01-15,52
2017-01-22,34
2017-01-29,28
2017-02-05,26
2017-02-12,25
2017-02-19,29
2017-02-26,22
2017-03-05,34
2017-03-12,82
2017-03-19,25
2017-03-26,52
2017-04-02,29
2017-04-09,53
2017-04-16,35
2017-04-23,25
2017-04-30,35
2017-05-07,17
2017-05-14,37
2017-05-21,18
2017-05-28,18
2017-06-04,36
2017-06-11,37
2017-06-18,27
2017-06-25,31
2017-07-02,45
2017-07-09,32
2017-07-16,32
2017-07-23,51
2017-07-30,25
2017-08-06,38
2017-08-13,50
2017-08-20,28
2017-08-27,23
2017-09-03,35
2017-09-10,46
2017-09-17,43
2017-09-24,33
2017-10-01,50
2017-10-08,34
2017-10-15,33
2017-10-22,16
2017-10-29,41
2017-11-05,17
2017-11-12,33
2017-11-19,32
2017-11-26,24
2017-12-03,54
2017-12-10,25
2017-12-17,18
2017-12-24,28
2017-12-31,18
2018-01-07,48
2018-01-14,16
2018-01-21,16
2018-01-28,16
2018-02-04,31
2018-02-11,27
2018-02-18,16
2018-02-25,23
2018-03-04,31
2018-03-11,26
2018-03-18,16
2018-03-25,71
2018-04-01,37
2018-04-08,38
2018-04-15,32
2018-04-22,23
2018-04-29,32
2018-05-06,61
2018-05-13,47
2018-05-20,24
2018-05-27,16
2018-06-03,25
2018-06-10,0
2018-06-17,41
2018-06-24,24
2018-07-01,41
2018-07-08,32
2018-07-15,41
2018-07-22,44
2018-07-29,42
2018-08-05,67
2018-08-12,23
2018-08-19,51
2018-08-26,41
2018-09-02,47
2018-09-09,42
2018-09-16,52
2018-09-23,20
2018-09-30,39
2018-10-07,48
2018-10-14,25
2018-10-21,26
2018-10-28,32
2018-11-04,22
2018-11-11,20
2018-11-18,25
2018-11-25,15
2018-12-02,22
2018-12-09,24
2018-12-16,0
2018-12-23,37
2018-12-30,35
2019-01-06,16
2019-01-13,15
2019-01-20,14
2019-01-27,14
2019-02-03,36
2019-02-10,30
2019-02-17,39
2019-02-24,20
2019-03-03,31
2019-03-10,23
2019-03-17,37
2019-03-24,31
2019-03-31,55
2019-04-07,22
2019-04-14,53
2019-04-21,51
2019-04-28,51
2019-05-05,40
2019-05-12,30
2019-05-19,25
2019-05-26,29
2019-06-02,34
2019-06-09,44
2019-06-16,30
2019-06-23,31
2019-06-30,23
2019-07-07,30
2019-07-14,37
2019-07-21,37
2019-07-28,38
2019-08-04,66
2019-08-11,38
2019-08-18,48
2019-08-25,51
2019-09-01,34
2019-09-08,57
2019-09-15,49
2019-09-22,52
2019-09-29,57
2019-10-06,35
2019-10-13,14
2019-10-20,32
2019-10-27,21
2019-11-03,48
2019-11-10,34
2019-11-17,14
2019-11-24,20
2019-12-01,33
2019-12-08,14
2019-12-15,0
2019-12-22,16
2019-12-29,31
2020-01-05,28
2020-01-12,17
2020-01-19,19
2020-01-26,26
2020-02-02,39
2020-02-09,13
2020-02-16,33
2020-02-23,48
2020-03-01,19
2020-03-08,25
2020-03-15,18
2020-03-22,17
2020-03-29,35
2020-04-05,12
2020-04-12,12
2020-04-19,11
2020-04-26,23
2020-05-03,17
2020-05-10,0
2020-05-17,12
2020-05-24,24
2020-05-31,0
2020-06-07,18
2020-06-14,12
2020-06-21,13
2020-06-28,13
2020-07-05,0
2020-07-12,14
2020-07-19,26
