Categoría: Todas las categorías

Semana,soller: (Francia)
2015-08-02,59
2015-08-09,72
2015-08-16,59
2015-08-23,45
2015-08-30,60
2015-09-06,55
2015-09-13,37
2015-09-20,40
2015-09-27,21
2015-10-04,42
2015-10-11,26
2015-10-18,31
2015-10-25,31
2015-11-01,21
2015-11-08,31
2015-11-15,30
2015-11-22,18
2015-11-29,20
2015-12-06,13
2015-12-13,21
2015-12-20,23
2015-12-27,20
2016-01-03,28
2016-01-10,43
2016-01-17,36
2016-01-24,62
2016-01-31,39
2016-02-07,56
2016-02-14,29
2016-02-21,47
2016-02-28,41
2016-03-06,55
2016-03-13,42
2016-03-20,50
2016-03-27,55
2016-04-03,45
2016-04-10,30
2016-04-17,43
2016-04-24,64
2016-05-01,66
2016-05-08,29
2016-05-15,47
2016-05-22,51
2016-05-29,44
2016-06-05,35
2016-06-12,36
2016-06-19,39
2016-06-26,61
2016-07-03,47
2016-07-10,73
2016-07-17,60
2016-07-24,54
2016-07-31,53
2016-08-07,64
2016-08-14,85
2016-08-21,71
2016-08-28,35
2016-09-04,47
2016-09-11,29
2016-09-18,44
2016-09-25,35
2016-10-02,35
2016-10-09,32
2016-10-16,46
2016-10-23,25
2016-10-30,23
2016-11-06,33
2016-11-13,21
2016-11-20,21
2016-11-27,13
2016-12-04,18
2016-12-11,22
2016-12-18,20
2016-12-25,12
2017-01-01,30
2017-01-08,28
2017-01-15,49
2017-01-22,36
2017-01-29,33
2017-02-05,26
2017-02-12,40
2017-02-19,47
2017-02-26,60
2017-03-05,40
2017-03-12,26
2017-03-19,31
2017-03-26,27
2017-04-02,32
2017-04-09,49
2017-04-16,71
2017-04-23,61
2017-04-30,54
2017-05-07,51
2017-05-14,46
2017-05-21,44
2017-05-28,43
2017-06-04,60
2017-06-11,46
2017-06-18,43
2017-06-25,51
2017-07-02,56
2017-07-09,74
2017-07-16,62
2017-07-23,89
2017-07-30,82
2017-08-06,88
2017-08-13,80
2017-08-20,39
2017-08-27,78
2017-09-03,65
2017-09-10,54
2017-09-17,60
2017-09-24,41
2017-10-01,40
2017-10-08,26
2017-10-15,41
2017-10-22,31
2017-10-29,19
2017-11-05,27
2017-11-12,22
2017-11-19,20
2017-11-26,34
2017-12-03,25
2017-12-10,15
2017-12-17,18
2017-12-24,40
2017-12-31,26
2018-01-07,15
2018-01-14,39
2018-01-21,26
2018-01-28,24
2018-02-04,22
2018-02-11,27
2018-02-18,35
2018-02-25,39
2018-03-04,39
2018-03-11,37
2018-03-18,25
2018-03-25,65
2018-04-01,45
2018-04-08,47
2018-04-15,56
2018-04-22,48
2018-04-29,63
2018-05-06,83
2018-05-13,32
2018-05-20,41
2018-05-27,44
2018-06-03,44
2018-06-10,59
2018-06-17,42
2018-06-24,42
2018-07-01,41
2018-07-08,43
2018-07-15,91
2018-07-22,59
2018-07-29,70
2018-08-05,86
2018-08-12,100
2018-08-19,78
2018-08-26,75
2018-09-02,53
2018-09-09,38
2018-09-16,37
2018-09-23,58
2018-09-30,25
2018-10-07,52
2018-10-14,48
2018-10-21,43
2018-10-28,41
2018-11-04,24
2018-11-11,19
2018-11-18,17
2018-11-25,22
2018-12-02,11
2018-12-09,7
2018-12-16,18
2018-12-23,20
2018-12-30,32
2019-01-06,29
2019-01-13,22
2019-01-20,19
2019-01-27,37
2019-02-03,21
2019-02-10,30
2019-02-17,38
2019-02-24,35
2019-03-03,31
2019-03-10,17
2019-03-17,50
2019-03-24,55
2019-03-31,64
2019-04-07,45
2019-04-14,53
2019-04-21,55
2019-04-28,63
2019-05-05,84
2019-05-12,51
2019-05-19,55
2019-05-26,76
2019-06-02,52
2019-06-09,35
2019-06-16,51
2019-06-23,44
2019-06-30,43
2019-07-07,48
2019-07-14,60
2019-07-21,56
2019-07-28,65
2019-08-04,68
2019-08-11,83
2019-08-18,59
2019-08-25,53
2019-09-01,68
2019-09-08,49
2019-09-15,56
2019-09-22,43
2019-09-29,47
2019-10-06,50
2019-10-13,41
2019-10-20,39
2019-10-27,38
2019-11-03,24
2019-11-10,16
2019-11-17,13
2019-11-24,15
2019-12-01,13
2019-12-08,28
2019-12-15,10
2019-12-22,17
2019-12-29,31
2020-01-05,15
2020-01-12,17
2020-01-19,43
2020-01-26,55
2020-02-02,35
2020-02-09,40
2020-02-16,45
2020-02-23,29
2020-03-01,25
2020-03-08,24
2020-03-15,12
2020-03-22,20
2020-03-29,21
2020-04-05,14
2020-04-12,12
2020-04-19,19
2020-04-26,20
2020-05-03,13
2020-05-10,21
2020-05-17,23
2020-05-24,14
2020-05-31,24
2020-06-07,25
2020-06-14,22
2020-06-21,19
2020-06-28,20
2020-07-05,34
2020-07-12,31
2020-07-19,27
