Categoría: Todas las categorías

Semana,Es Vedra: (Todo el mundo)
2015-08-02,48
2015-08-09,54
2015-08-16,44
2015-08-23,32
2015-08-30,43
2015-09-06,30
2015-09-13,18
2015-09-20,34
2015-09-27,23
2015-10-04,20
2015-10-11,29
2015-10-18,17
2015-10-25,24
2015-11-01,18
2015-11-08,18
2015-11-15,9
2015-11-22,12
2015-11-29,6
2015-12-06,9
2015-12-13,8
2015-12-20,8
2015-12-27,22
2016-01-03,5
2016-01-10,20
2016-01-17,24
2016-01-24,19
2016-01-31,41
2016-02-07,41
2016-02-14,30
2016-02-21,20
2016-02-28,11
2016-03-06,23
2016-03-13,20
2016-03-20,31
2016-03-27,24
2016-04-03,27
2016-04-10,23
2016-04-17,38
2016-04-24,34
2016-05-01,25
2016-05-08,38
2016-05-15,38
2016-05-22,26
2016-05-29,49
2016-06-05,32
2016-06-12,28
2016-06-19,40
2016-06-26,53
2016-07-03,58
2016-07-10,46
2016-07-17,73
2016-07-24,54
2016-07-31,43
2016-08-07,49
2016-08-14,56
2016-08-21,55
2016-08-28,30
2016-09-04,30
2016-09-11,46
2016-09-18,39
2016-09-25,36
2016-10-02,22
2016-10-09,26
2016-10-16,13
2016-10-23,24
2016-10-30,13
2016-11-06,9
2016-11-13,8
2016-11-20,39
2016-11-27,21
2016-12-04,13
2016-12-11,8
2016-12-18,11
2016-12-25,15
2017-01-01,16
2017-01-08,16
2017-01-15,27
2017-01-22,16
2017-01-29,13
2017-02-05,14
2017-02-12,12
2017-02-19,13
2017-02-26,17
2017-03-05,24
2017-03-12,20
2017-03-19,22
2017-03-26,20
2017-04-02,17
2017-04-09,34
2017-04-16,20
2017-04-23,27
2017-04-30,43
2017-05-07,36
2017-05-14,35
2017-05-21,35
2017-05-28,31
2017-06-04,51
2017-06-11,43
2017-06-18,52
2017-06-25,54
2017-07-02,69
2017-07-09,71
2017-07-16,65
2017-07-23,62
2017-07-30,69
2017-08-06,89
2017-08-13,63
2017-08-20,59
2017-08-27,58
2017-09-03,71
2017-09-10,51
2017-09-17,30
2017-09-24,40
2017-10-01,43
2017-10-08,38
2017-10-15,24
2017-10-22,23
2017-10-29,12
2017-11-05,23
2017-11-12,8
2017-11-19,31
2017-11-26,10
2017-12-03,11
2017-12-10,14
2017-12-17,9
2017-12-24,22
2017-12-31,18
2018-01-07,8
2018-01-14,15
2018-01-21,15
2018-01-28,7
2018-02-04,12
2018-02-11,14
2018-02-18,16
2018-02-25,23
2018-03-04,18
2018-03-11,20
2018-03-18,22
2018-03-25,41
2018-04-01,31
2018-04-08,33
2018-04-15,18
2018-04-22,37
2018-04-29,56
2018-05-06,46
2018-05-13,51
2018-05-20,41
2018-05-27,43
2018-06-03,49
2018-06-10,54
2018-06-17,63
2018-06-24,58
2018-07-01,55
2018-07-08,66
2018-07-15,44
2018-07-22,51
2018-07-29,79
2018-08-05,77
2018-08-12,70
2018-08-19,73
2018-08-26,56
2018-09-02,63
2018-09-09,67
2018-09-16,48
2018-09-23,36
2018-09-30,47
2018-10-07,38
2018-10-14,39
2018-10-21,15
2018-10-28,20
2018-11-04,9
2018-11-11,9
2018-11-18,10
2018-11-25,12
2018-12-02,19
2018-12-09,11
2018-12-16,10
2018-12-23,17
2018-12-30,12
2019-01-06,14
2019-01-13,15
2019-01-20,11
2019-01-27,22
2019-02-03,18
2019-02-10,16
2019-02-17,21
2019-02-24,17
2019-03-03,12
2019-03-10,45
2019-03-17,23
2019-03-24,16
2019-03-31,20
2019-04-07,40
2019-04-14,35
2019-04-21,41
2019-04-28,46
2019-05-05,37
2019-05-12,42
2019-05-19,58
2019-05-26,53
2019-06-02,54
2019-06-09,60
2019-06-16,55
2019-06-23,62
2019-06-30,83
2019-07-07,70
2019-07-14,76
2019-07-21,75
2019-07-28,66
2019-08-04,100
2019-08-11,82
2019-08-18,81
2019-08-25,69
2019-09-01,69
2019-09-08,63
2019-09-15,51
2019-09-22,55
2019-09-29,39
2019-10-06,35
2019-10-13,45
2019-10-20,22
2019-10-27,11
2019-11-03,12
2019-11-10,15
2019-11-17,10
2019-11-24,9
2019-12-01,9
2019-12-08,15
2019-12-15,6
2019-12-22,8
2019-12-29,37
2020-01-05,26
2020-01-12,26
2020-01-19,18
2020-01-26,18
2020-02-02,19
2020-02-09,11
2020-02-16,11
2020-02-23,17
2020-03-01,24
2020-03-08,17
2020-03-15,16
2020-03-22,18
2020-03-29,12
2020-04-05,24
2020-04-12,18
2020-04-19,31
2020-04-26,29
2020-05-03,10
2020-05-10,38
2020-05-17,31
2020-05-24,23
2020-05-31,32
2020-06-07,21
2020-06-14,28
2020-06-21,33
2020-06-28,37
2020-07-05,47
2020-07-12,53
2020-07-19,38
