Categoría: Todas las categorías

Semana,Cala Salada: (Todo el mundo)
2015-08-02,79
2015-08-09,80
2015-08-16,53
2015-08-23,72
2015-08-30,35
2015-09-06,27
2015-09-13,27
2015-09-20,21
2015-09-27,10
2015-10-04,7
2015-10-11,15
2015-10-18,9
2015-10-25,10
2015-11-01,4
2015-11-08,7
2015-11-15,4
2015-11-22,6
2015-11-29,7
2015-12-06,7
2015-12-13,9
2015-12-20,5
2015-12-27,0
2016-01-03,7
2016-01-10,4
2016-01-17,14
2016-01-24,6
2016-01-31,6
2016-02-07,9
2016-02-14,7
2016-02-21,7
2016-02-28,12
2016-03-06,9
2016-03-13,11
2016-03-20,11
2016-03-27,12
2016-04-03,8
2016-04-10,20
2016-04-17,12
2016-04-24,20
2016-05-01,21
2016-05-08,21
2016-05-15,35
2016-05-22,41
2016-05-29,31
2016-06-05,40
2016-06-12,30
2016-06-19,50
2016-06-26,53
2016-07-03,66
2016-07-10,33
2016-07-17,60
2016-07-24,68
2016-07-31,70
2016-08-07,81
2016-08-14,67
2016-08-21,71
2016-08-28,63
2016-09-04,62
2016-09-11,40
2016-09-18,36
2016-09-25,23
2016-10-02,14
2016-10-09,9
2016-10-16,14
2016-10-23,8
2016-10-30,7
2016-11-06,6
2016-11-13,5
2016-11-20,6
2016-11-27,6
2016-12-04,4
2016-12-11,4
2016-12-18,0
2016-12-25,10
2017-01-01,9
2017-01-08,10
2017-01-15,9
2017-01-22,4
2017-01-29,13
2017-02-05,15
2017-02-12,10
2017-02-19,10
2017-02-26,15
2017-03-05,5
2017-03-12,8
2017-03-19,15
2017-03-26,8
2017-04-02,14
2017-04-09,23
2017-04-16,15
2017-04-23,21
2017-04-30,23
2017-05-07,29
2017-05-14,34
2017-05-21,41
2017-05-28,41
2017-06-04,40
2017-06-11,62
2017-06-18,51
2017-06-25,58
2017-07-02,68
2017-07-09,74
2017-07-16,76
2017-07-23,73
2017-07-30,85
2017-08-06,83
2017-08-13,69
2017-08-20,88
2017-08-27,63
2017-09-03,64
2017-09-10,37
2017-09-17,41
2017-09-24,43
2017-10-01,23
2017-10-08,13
2017-10-15,13
2017-10-22,12
2017-10-29,8
2017-11-05,4
2017-11-12,6
2017-11-19,7
2017-11-26,4
2017-12-03,0
2017-12-10,6
2017-12-17,4
2017-12-24,5
2017-12-31,0
2018-01-07,9
2018-01-14,8
2018-01-21,26
2018-01-28,15
2018-02-04,9
2018-02-11,9
2018-02-18,12
2018-02-25,12
2018-03-04,8
2018-03-11,9
2018-03-18,14
2018-03-25,14
2018-04-01,19
2018-04-08,18
2018-04-15,19
2018-04-22,22
2018-04-29,31
2018-05-06,24
2018-05-13,31
2018-05-20,38
2018-05-27,44
2018-06-03,46
2018-06-10,50
2018-06-17,50
2018-06-24,64
2018-07-01,65
2018-07-08,62
2018-07-15,71
2018-07-22,77
2018-07-29,88
2018-08-05,84
2018-08-12,77
2018-08-19,97
2018-08-26,85
2018-09-02,63
2018-09-09,42
2018-09-16,44
2018-09-23,28
2018-09-30,23
2018-10-07,16
2018-10-14,13
2018-10-21,17
2018-10-28,8
2018-11-04,8
2018-11-11,6
2018-11-18,8
2018-11-25,6
2018-12-02,6
2018-12-09,4
2018-12-16,10
2018-12-23,7
2018-12-30,14
2019-01-06,7
2019-01-13,9
2019-01-20,10
2019-01-27,4
2019-02-03,5
2019-02-10,6
2019-02-17,9
2019-02-24,9
2019-03-03,6
2019-03-10,11
2019-03-17,9
2019-03-24,13
2019-03-31,23
2019-04-07,12
2019-04-14,23
2019-04-21,33
2019-04-28,21
2019-05-05,31
2019-05-12,26
2019-05-19,45
2019-05-26,31
2019-06-02,59
2019-06-09,45
2019-06-16,55
2019-06-23,57
2019-06-30,64
2019-07-07,68
2019-07-14,65
2019-07-21,87
2019-07-28,70
2019-08-04,100
2019-08-11,86
2019-08-18,77
2019-08-25,60
2019-09-01,65
2019-09-08,40
2019-09-15,42
2019-09-22,23
2019-09-29,32
2019-10-06,21
2019-10-13,13
2019-10-20,4
2019-10-27,10
2019-11-03,4
2019-11-10,5
2019-11-17,7
2019-11-24,5
2019-12-01,4
2019-12-08,4
2019-12-15,10
2019-12-22,6
2019-12-29,11
2020-01-05,7
2020-01-12,6
2020-01-19,7
2020-01-26,7
2020-02-02,6
2020-02-09,11
2020-02-16,9
2020-02-23,9
2020-03-01,8
2020-03-08,5
2020-03-15,3
2020-03-22,6
2020-03-29,8
2020-04-05,6
2020-04-12,6
2020-04-19,5
2020-04-26,5
2020-05-03,4
2020-05-10,8
2020-05-17,6
2020-05-24,13
2020-05-31,5
2020-06-07,16
2020-06-14,14
2020-06-21,20
2020-06-28,13
2020-07-05,23
2020-07-12,27
2020-07-19,30
