Categoría: Todas las categorías

Semana,Cala Macarella: (Todo el mundo)
2015-08-02,64
2015-08-09,69
2015-08-16,47
2015-08-23,42
2015-08-30,42
2015-09-06,19
2015-09-13,30
2015-09-20,9
2015-09-27,11
2015-10-04,11
2015-10-11,0
2015-10-18,5
2015-10-25,11
2015-11-01,5
2015-11-08,5
2015-11-15,0
2015-11-22,0
2015-11-29,5
2015-12-06,8
2015-12-13,6
2015-12-20,8
2015-12-27,9
2016-01-03,6
2016-01-10,6
2016-01-17,6
2016-01-24,14
2016-01-31,6
2016-02-07,11
2016-02-14,15
2016-02-21,9
2016-02-28,11
2016-03-06,11
2016-03-13,13
2016-03-20,8
2016-03-27,6
2016-04-03,6
2016-04-10,11
2016-04-17,29
2016-04-24,17
2016-05-01,12
2016-05-08,32
2016-05-15,13
2016-05-22,15
2016-05-29,27
2016-06-05,27
2016-06-12,36
2016-06-19,35
2016-06-26,57
2016-07-03,41
2016-07-10,44
2016-07-17,64
2016-07-24,55
2016-07-31,31
2016-08-07,49
2016-08-14,41
2016-08-21,60
2016-08-28,56
2016-09-04,38
2016-09-11,32
2016-09-18,37
2016-09-25,18
2016-10-02,17
2016-10-09,6
2016-10-16,9
2016-10-23,12
2016-10-30,12
2016-11-06,6
2016-11-13,6
2016-11-20,11
2016-11-27,0
2016-12-04,5
2016-12-11,6
2016-12-18,0
2016-12-25,9
2017-01-01,6
2017-01-08,11
2017-01-15,11
2017-01-22,8
2017-01-29,5
2017-02-05,19
2017-02-12,5
2017-02-19,13
2017-02-26,10
2017-03-05,15
2017-03-12,15
2017-03-19,14
2017-03-26,16
2017-04-02,16
2017-04-09,15
2017-04-16,34
2017-04-23,14
2017-04-30,14
2017-05-07,13
2017-05-14,30
2017-05-21,19
2017-05-28,32
2017-06-04,46
2017-06-11,39
2017-06-18,38
2017-06-25,52
2017-07-02,62
2017-07-09,59
2017-07-16,74
2017-07-23,62
2017-07-30,50
2017-08-06,62
2017-08-13,67
2017-08-20,53
2017-08-27,44
2017-09-03,42
2017-09-10,34
2017-09-17,30
2017-09-24,21
2017-10-01,5
2017-10-08,16
2017-10-15,14
2017-10-22,9
2017-10-29,5
2017-11-05,10
2017-11-12,5
2017-11-19,10
2017-11-26,5
2017-12-03,5
2017-12-10,0
2017-12-17,5
2017-12-24,11
2017-12-31,8
2018-01-07,5
2018-01-14,12
2018-01-21,13
2018-01-28,10
2018-02-04,8
2018-02-11,7
2018-02-18,7
2018-02-25,5
2018-03-04,10
2018-03-11,10
2018-03-18,10
2018-03-25,5
2018-04-01,13
2018-04-08,17
2018-04-15,12
2018-04-22,13
2018-04-29,24
2018-05-06,12
2018-05-13,20
2018-05-20,27
2018-05-27,41
2018-06-03,30
2018-06-10,47
2018-06-17,56
2018-06-24,64
2018-07-01,67
2018-07-08,50
2018-07-15,59
2018-07-22,63
2018-07-29,75
2018-08-05,59
2018-08-12,94
2018-08-19,78
2018-08-26,58
2018-09-02,84
2018-09-09,34
2018-09-16,45
2018-09-23,28
2018-09-30,16
2018-10-07,13
2018-10-14,7
2018-10-21,7
2018-10-28,10
2018-11-04,5
2018-11-11,7
2018-11-18,5
2018-11-25,5
2018-12-02,10
2018-12-09,0
2018-12-16,10
2018-12-23,11
2018-12-30,11
2019-01-06,0
2019-01-13,8
2019-01-20,11
2019-01-27,12
2019-02-03,19
2019-02-10,6
2019-02-17,11
2019-02-24,6
2019-03-03,8
2019-03-10,12
2019-03-17,13
2019-03-24,11
2019-03-31,26
2019-04-07,13
2019-04-14,15
2019-04-21,18
2019-04-28,16
2019-05-05,16
2019-05-12,23
2019-05-19,18
2019-05-26,34
2019-06-02,38
2019-06-09,49
2019-06-16,61
2019-06-23,54
2019-06-30,78
2019-07-07,61
2019-07-14,83
2019-07-21,79
2019-07-28,100
2019-08-04,96
2019-08-11,91
2019-08-18,94
2019-08-25,47
2019-09-01,68
2019-09-08,56
2019-09-15,40
2019-09-22,43
2019-09-29,24
2019-10-06,17
2019-10-13,14
2019-10-20,14
2019-10-27,20
2019-11-03,5
2019-11-10,4
2019-11-17,4
2019-11-24,4
2019-12-01,7
2019-12-08,0
2019-12-15,5
2019-12-22,5
2019-12-29,14
2020-01-05,9
2020-01-12,6
2020-01-19,9
2020-01-26,14
2020-02-02,4
2020-02-09,13
2020-02-16,15
2020-02-23,7
2020-03-01,10
2020-03-08,8
2020-03-15,7
2020-03-22,4
2020-03-29,0
2020-04-05,4
2020-04-12,10
2020-04-19,8
2020-04-26,11
2020-05-03,0
2020-05-10,10
2020-05-17,4
2020-05-24,6
2020-05-31,14
2020-06-07,10
2020-06-14,8
2020-06-21,14
2020-06-28,28
2020-07-05,29
2020-07-12,34
2020-07-19,40
