Categoría: Todas las categorías

Semana,Cala Macarelleta: (Todo el mundo)
2015-08-02,33
2015-08-09,71
2015-08-16,40
2015-08-23,25
2015-08-30,49
2015-09-06,42
2015-09-13,17
2015-09-20,17
2015-09-27,21
2015-10-04,10
2015-10-11,0
2015-10-18,10
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,10
2015-11-29,10
2015-12-06,10
2015-12-13,10
2015-12-20,11
2015-12-27,0
2016-01-03,11
2016-01-10,10
2016-01-17,11
2016-01-24,25
2016-01-31,32
2016-02-07,16
2016-02-14,10
2016-02-21,21
2016-02-28,15
2016-03-06,0
2016-03-13,10
2016-03-20,11
2016-03-27,11
2016-04-03,21
2016-04-10,21
2016-04-17,21
2016-04-24,21
2016-05-01,27
2016-05-08,21
2016-05-15,21
2016-05-22,18
2016-05-29,43
2016-06-05,39
2016-06-12,32
2016-06-19,47
2016-06-26,44
2016-07-03,61
2016-07-10,28
2016-07-17,53
2016-07-24,60
2016-07-31,30
2016-08-07,100
2016-08-14,28
2016-08-21,38
2016-08-28,44
2016-09-04,22
2016-09-11,29
2016-09-18,22
2016-09-25,18
2016-10-02,11
2016-10-09,11
2016-10-16,0
2016-10-23,11
2016-10-30,11
2016-11-06,10
2016-11-13,0
2016-11-20,10
2016-11-27,10
2016-12-04,10
2016-12-11,10
2016-12-18,22
2016-12-25,22
2017-01-01,16
2017-01-08,30
2017-01-15,10
2017-01-22,16
2017-01-29,10
2017-02-05,19
2017-02-12,15
2017-02-19,36
2017-02-26,24
2017-03-05,19
2017-03-12,19
2017-03-19,19
2017-03-26,39
2017-04-02,39
2017-04-09,27
2017-04-16,29
2017-04-23,13
2017-04-30,36
2017-05-07,32
2017-05-14,28
2017-05-21,39
2017-05-28,46
2017-06-04,41
2017-06-11,42
2017-06-18,94
2017-06-25,64
2017-07-02,43
2017-07-09,60
2017-07-16,85
2017-07-23,73
2017-07-30,82
2017-08-06,81
2017-08-13,48
2017-08-20,44
2017-08-27,51
2017-09-03,34
2017-09-10,23
2017-09-17,36
2017-09-24,23
2017-10-01,30
2017-10-08,13
2017-10-15,13
2017-10-22,10
2017-10-29,10
2017-11-05,10
2017-11-12,14
2017-11-19,9
2017-11-26,0
2017-12-03,14
2017-12-10,0
2017-12-17,10
2017-12-24,11
2017-12-31,15
2018-01-07,24
2018-01-14,9
2018-01-21,15
2018-01-28,28
2018-02-04,15
2018-02-11,19
2018-02-18,37
2018-02-25,9
2018-03-04,9
2018-03-11,9
2018-03-18,21
2018-03-25,19
2018-04-01,22
2018-04-08,14
2018-04-15,9
2018-04-22,18
2018-04-29,9
2018-05-06,16
2018-05-13,28
2018-05-20,28
2018-05-27,9
2018-06-03,40
2018-06-10,42
2018-06-17,70
2018-06-24,34
2018-07-01,40
2018-07-08,68
2018-07-15,73
2018-07-22,50
2018-07-29,77
2018-08-05,43
2018-08-12,31
2018-08-19,38
2018-08-26,34
2018-09-02,33
2018-09-09,21
2018-09-16,21
2018-09-23,21
2018-09-30,14
2018-10-07,9
2018-10-14,14
2018-10-21,14
2018-10-28,23
2018-11-04,9
2018-11-11,9
2018-11-18,0
2018-11-25,0
2018-12-02,18
2018-12-09,9
2018-12-16,9
2018-12-23,10
2018-12-30,13
2019-01-06,9
2019-01-13,9
2019-01-20,9
2019-01-27,18
2019-02-03,0
2019-02-10,13
2019-02-17,22
2019-02-24,18
2019-03-03,15
2019-03-10,9
2019-03-17,12
2019-03-24,18
2019-03-31,14
2019-04-07,9
2019-04-14,15
2019-04-21,14
2019-04-28,12
2019-05-05,21
2019-05-12,18
2019-05-19,12
2019-05-26,27
2019-06-02,38
2019-06-09,32
2019-06-16,57
2019-06-23,33
2019-06-30,39
2019-07-07,30
2019-07-14,33
2019-07-21,65
2019-07-28,77
2019-08-04,58
2019-08-11,48
2019-08-18,81
2019-08-25,35
2019-09-01,43
2019-09-08,31
2019-09-15,20
2019-09-22,13
2019-09-29,28
2019-10-06,17
2019-10-13,8
2019-10-20,11
2019-10-27,17
2019-11-03,8
2019-11-10,8
2019-11-17,8
2019-11-24,8
2019-12-01,8
2019-12-08,13
2019-12-15,8
2019-12-22,18
2019-12-29,22
2020-01-05,16
2020-01-12,16
2020-01-19,19
2020-01-26,16
2020-02-02,16
2020-02-09,11
2020-02-16,12
2020-02-23,8
2020-03-01,13
2020-03-08,11
2020-03-15,7
2020-03-22,7
2020-03-29,7
2020-04-05,18
2020-04-12,18
2020-04-19,11
2020-04-26,11
2020-05-03,0
2020-05-10,7
2020-05-17,22
2020-05-24,11
2020-05-31,7
2020-06-07,15
2020-06-14,11
2020-06-21,18
2020-06-28,20
2020-07-05,26
2020-07-12,32
2020-07-19,11
