Categoría: Todas las categorías

Semana,cala mitjana: (Italia)
2015-08-02,46
2015-08-09,0
2015-08-16,31
2015-08-23,29
2015-08-30,40
2015-09-06,26
2015-09-13,26
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,26
2015-11-15,25
2015-11-22,0
2015-11-29,26
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,27
2016-03-06,28
2016-03-13,56
2016-03-20,0
2016-03-27,30
2016-04-03,28
2016-04-10,48
2016-04-17,28
2016-04-24,29
2016-05-01,0
2016-05-08,28
2016-05-15,0
2016-05-22,0
2016-05-29,29
2016-06-05,28
2016-06-12,28
2016-06-19,43
2016-06-26,0
2016-07-03,31
2016-07-10,31
2016-07-17,48
2016-07-24,32
2016-07-31,66
2016-08-07,60
2016-08-14,0
2016-08-21,33
2016-08-28,30
2016-09-04,0
2016-09-11,0
2016-09-18,29
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,26
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,26
2017-03-19,26
2017-03-26,0
2017-04-02,27
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,28
2017-05-21,0
2017-05-28,30
2017-06-04,28
2017-06-11,28
2017-06-18,28
2017-06-25,28
2017-07-02,44
2017-07-09,0
2017-07-16,29
2017-07-23,28
2017-07-30,0
2017-08-06,29
2017-08-13,65
2017-08-20,43
2017-08-27,39
2017-09-03,77
2017-09-10,50
2017-09-17,26
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,25
2018-01-14,0
2018-01-21,25
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,24
2018-02-25,23
2018-03-04,0
2018-03-11,24
2018-03-18,49
2018-03-25,26
2018-04-01,26
2018-04-08,0
2018-04-15,51
2018-04-22,26
2018-04-29,25
2018-05-06,24
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,50
2018-07-01,37
2018-07-08,49
2018-07-15,42
2018-07-22,25
2018-07-29,25
2018-08-05,35
2018-08-12,56
2018-08-19,55
2018-08-26,63
2018-09-02,24
2018-09-09,24
2018-09-16,71
2018-09-23,0
2018-09-30,24
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,26
2018-12-23,0
2018-12-30,0
2019-01-06,25
2019-01-13,24
2019-01-20,23
2019-01-27,23
2019-02-03,46
2019-02-10,23
2019-02-17,0
2019-02-24,0
2019-03-03,25
2019-03-10,24
2019-03-17,49
2019-03-24,24
2019-03-31,0
2019-04-07,24
2019-04-14,25
2019-04-21,0
2019-04-28,0
2019-05-05,23
2019-05-12,23
2019-05-19,24
2019-05-26,34
2019-06-02,0
2019-06-09,24
2019-06-16,41
2019-06-23,25
2019-06-30,66
2019-07-07,72
2019-07-14,57
2019-07-21,100
2019-07-28,51
2019-08-04,61
2019-08-11,37
2019-08-18,43
2019-08-25,24
2019-09-01,37
2019-09-08,46
2019-09-15,0
2019-09-22,22
2019-09-29,0
2019-10-06,23
2019-10-13,23
2019-10-20,0
2019-10-27,0
2019-11-03,22
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,23
2020-01-12,0
2020-01-19,21
2020-01-26,0
2020-02-02,21
2020-02-09,21
2020-02-16,0
2020-02-23,0
2020-03-01,20
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,20
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,21
2020-06-21,22
2020-06-28,21
2020-07-05,22
2020-07-12,22
2020-07-19,0
