Categoría: Todas las categorías

Semana,albufera: (Países Bajos)
2015-08-02,8
2015-08-09,18
2015-08-16,11
2015-08-23,16
2015-08-30,17
2015-09-06,9
2015-09-13,11
2015-09-20,13
2015-09-27,13
2015-10-04,7
2015-10-11,8
2015-10-18,6
2015-10-25,8
2015-11-01,19
2015-11-08,12
2015-11-15,18
2015-11-22,6
2015-11-29,10
2015-12-06,10
2015-12-13,7
2015-12-20,7
2015-12-27,7
2016-01-03,13
2016-01-10,16
2016-01-17,22
2016-01-24,10
2016-01-31,13
2016-02-07,14
2016-02-14,7
2016-02-21,14
2016-02-28,11
2016-03-06,14
2016-03-13,10
2016-03-20,11
2016-03-27,20
2016-04-03,20
2016-04-10,14
2016-04-17,7
2016-04-24,11
2016-05-01,24
2016-05-08,14
2016-05-15,11
2016-05-22,15
2016-05-29,13
2016-06-05,14
2016-06-12,6
2016-06-19,23
2016-06-26,10
2016-07-03,14
2016-07-10,15
2016-07-17,16
2016-07-24,11
2016-07-31,22
2016-08-07,24
2016-08-14,17
2016-08-21,18
2016-08-28,0
2016-09-04,15
2016-09-11,17
2016-09-18,7
2016-09-25,14
2016-10-02,21
2016-10-09,12
2016-10-16,7
2016-10-23,7
2016-10-30,7
2016-11-06,14
2016-11-13,18
2016-11-20,14
2016-11-27,7
2016-12-04,13
2016-12-11,20
2016-12-18,12
2016-12-25,8
2017-01-01,20
2017-01-08,17
2017-01-15,33
2017-01-22,15
2017-01-29,6
2017-02-05,23
2017-02-12,22
2017-02-19,11
2017-02-26,11
2017-03-05,15
2017-03-12,11
2017-03-19,6
2017-03-26,13
2017-04-02,20
2017-04-09,13
2017-04-16,13
2017-04-23,9
2017-04-30,15
2017-05-07,9
2017-05-14,13
2017-05-21,12
2017-05-28,7
2017-06-04,13
2017-06-11,7
2017-06-18,22
2017-06-25,6
2017-07-02,7
2017-07-09,18
2017-07-16,9
2017-07-23,16
2017-07-30,19
2017-08-06,35
2017-08-13,7
2017-08-20,10
2017-08-27,16
2017-09-03,13
2017-09-10,12
2017-09-17,13
2017-09-24,15
2017-10-01,12
2017-10-08,12
2017-10-15,13
2017-10-22,18
2017-10-29,21
2017-11-05,12
2017-11-12,6
2017-11-19,6
2017-11-26,18
2017-12-03,14
2017-12-10,15
2017-12-17,10
2017-12-24,7
2017-12-31,10
2018-01-07,16
2018-01-14,12
2018-01-21,21
2018-01-28,8
2018-02-04,8
2018-02-11,12
2018-02-18,10
2018-02-25,18
2018-03-04,14
2018-03-11,10
2018-03-18,12
2018-03-25,9
2018-04-01,8
2018-04-08,16
2018-04-15,15
2018-04-22,16
2018-04-29,8
2018-05-06,15
2018-05-13,8
2018-05-20,6
2018-05-27,15
2018-06-03,18
2018-06-10,11
2018-06-17,12
2018-06-24,6
2018-07-01,8
2018-07-08,14
2018-07-15,11
2018-07-22,13
2018-07-29,16
2018-08-05,15
2018-08-12,17
2018-08-19,11
2018-08-26,8
2018-09-02,21
2018-09-09,21
2018-09-16,6
2018-09-23,15
2018-09-30,18
2018-10-07,10
2018-10-14,6
2018-10-21,18
2018-10-28,6
2018-11-04,9
2018-11-11,9
2018-11-18,18
2018-11-25,9
2018-12-02,6
2018-12-09,6
2018-12-16,6
2018-12-23,7
2018-12-30,10
2019-01-06,18
2019-01-13,8
2019-01-20,15
2019-01-27,14
2019-02-03,14
2019-02-10,8
2019-02-17,16
2019-02-24,9
2019-03-03,16
2019-03-10,18
2019-03-17,12
2019-03-24,28
2019-03-31,8
2019-04-07,24
2019-04-14,6
2019-04-21,12
2019-04-28,20
2019-05-05,12
2019-05-12,9
2019-05-19,12
2019-05-26,21
2019-06-02,14
2019-06-09,13
2019-06-16,17
2019-06-23,12
2019-06-30,17
2019-07-07,11
2019-07-14,53
2019-07-21,100
2019-07-28,50
2019-08-04,43
2019-08-11,49
2019-08-18,12
2019-08-25,24
2019-09-01,14
2019-09-08,11
2019-09-15,19
2019-09-22,14
2019-09-29,13
2019-10-06,5
2019-10-13,13
2019-10-20,8
2019-10-27,15
2019-11-03,11
2019-11-10,11
2019-11-17,9
2019-11-24,5
2019-12-01,8
2019-12-08,6
2019-12-15,11
2019-12-22,6
2019-12-29,6
2020-01-05,8
2020-01-12,13
2020-01-19,23
2020-01-26,14
2020-02-02,8
2020-02-09,10
2020-02-16,8
2020-02-23,16
2020-03-01,12
2020-03-08,10
2020-03-15,8
2020-03-22,5
2020-03-29,13
2020-04-05,0
2020-04-12,5
2020-04-19,0
2020-04-26,7
2020-05-03,15
2020-05-10,5
2020-05-17,7
2020-05-24,9
2020-05-31,5
2020-06-07,12
2020-06-14,5
2020-06-21,11
2020-06-28,9
2020-07-05,25
2020-07-12,11
2020-07-19,11
