Categoría: Todas las categorías

Semana,cuevas del drach: (Reino Unido)
2015-08-02,35
2015-08-09,0
2015-08-16,34
2015-08-23,100
2015-08-30,0
2015-09-06,0
2015-09-13,33
2015-09-20,66
2015-09-27,32
2015-10-04,32
2015-10-11,0
2015-10-18,32
2015-10-25,32
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,39
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,32
2016-02-07,0
2016-02-14,33
2016-02-21,33
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,33
2016-03-27,34
2016-04-03,0
2016-04-10,33
2016-04-17,66
2016-04-24,32
2016-05-01,0
2016-05-08,0
2016-05-15,32
2016-05-22,0
2016-05-29,34
2016-06-05,0
2016-06-12,32
2016-06-19,33
2016-06-26,0
2016-07-03,35
2016-07-10,70
2016-07-17,37
2016-07-24,0
2016-07-31,61
2016-08-07,0
2016-08-14,0
2016-08-21,37
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,35
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,31
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,29
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,32
2017-04-02,0
2017-04-09,49
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,31
2017-06-11,33
2017-06-18,53
2017-06-25,0
2017-07-02,0
2017-07-09,33
2017-07-16,0
2017-07-23,48
2017-07-30,31
2017-08-06,0
2017-08-13,48
2017-08-20,0
2017-08-27,33
2017-09-03,31
2017-09-10,46
2017-09-17,31
2017-09-24,30
2017-10-01,30
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,29
2018-01-14,0
2018-01-21,29
2018-01-28,29
2018-02-04,29
2018-02-11,0
2018-02-18,59
2018-02-25,28
2018-03-04,29
2018-03-11,0
2018-03-18,30
2018-03-25,30
2018-04-01,60
2018-04-08,44
2018-04-15,45
2018-04-22,43
2018-04-29,30
2018-05-06,30
2018-05-13,0
2018-05-20,30
2018-05-27,30
2018-06-03,49
2018-06-10,28
2018-06-17,60
2018-06-24,31
2018-07-01,0
2018-07-08,30
2018-07-15,31
2018-07-22,30
2018-07-29,30
2018-08-05,30
2018-08-12,30
2018-08-19,31
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,30
2018-09-23,0
2018-09-30,0
2018-10-07,30
2018-10-14,0
2018-10-21,31
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,35
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,29
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,29
2019-03-10,0
2019-03-17,30
2019-03-24,0
2019-03-31,59
2019-04-07,0
2019-04-14,31
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,30
2019-05-19,29
2019-05-26,29
2019-06-02,41
2019-06-09,28
2019-06-16,58
2019-06-23,0
2019-06-30,29
2019-07-07,29
2019-07-14,0
2019-07-21,60
2019-07-28,30
2019-08-04,0
2019-08-11,29
2019-08-18,30
2019-08-25,29
2019-09-01,28
2019-09-08,28
2019-09-15,28
2019-09-22,0
2019-09-29,0
2019-10-06,27
2019-10-13,27
2019-10-20,27
2019-10-27,27
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,26
2019-12-08,0
2019-12-15,0
2019-12-22,30
2019-12-29,0
2020-01-05,25
2020-01-12,25
2020-01-19,26
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,24
2020-03-15,0
2020-03-22,0
2020-03-29,23
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,22
2020-05-10,0
2020-05-17,45
2020-05-24,24
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,23
2020-07-12,0
2020-07-19,34
