Categoría: Todas las categorías

Semana,soller: (Reino Unido)
2015-08-02,76
2015-08-09,64
2015-08-16,79
2015-08-23,67
2015-08-30,51
2015-09-06,57
2015-09-13,100
2015-09-20,57
2015-09-27,47
2015-10-04,36
2015-10-11,30
2015-10-18,31
2015-10-25,31
2015-11-01,17
2015-11-08,22
2015-11-15,15
2015-11-22,26
2015-11-29,24
2015-12-06,21
2015-12-13,15
2015-12-20,13
2015-12-27,35
2016-01-03,42
2016-01-10,48
2016-01-17,68
2016-01-24,42
2016-01-31,46
2016-02-07,50
2016-02-14,35
2016-02-21,51
2016-02-28,49
2016-03-06,39
2016-03-13,56
2016-03-20,43
2016-03-27,52
2016-04-03,54
2016-04-10,63
2016-04-17,79
2016-04-24,62
2016-05-01,69
2016-05-08,86
2016-05-15,66
2016-05-22,67
2016-05-29,93
2016-06-05,95
2016-06-12,81
2016-06-19,73
2016-06-26,67
2016-07-03,76
2016-07-10,87
2016-07-17,95
2016-07-24,93
2016-07-31,80
2016-08-07,80
2016-08-14,67
2016-08-21,86
2016-08-28,84
2016-09-04,86
2016-09-11,71
2016-09-18,65
2016-09-25,58
2016-10-02,65
2016-10-09,32
2016-10-16,42
2016-10-23,42
2016-10-30,26
2016-11-06,25
2016-11-13,25
2016-11-20,18
2016-11-27,29
2016-12-04,22
2016-12-11,13
2016-12-18,21
2016-12-25,28
2017-01-01,38
2017-01-08,54
2017-01-15,45
2017-01-22,48
2017-01-29,44
2017-02-05,34
2017-02-12,32
2017-02-19,36
2017-02-26,40
2017-03-05,53
2017-03-12,45
2017-03-19,50
2017-03-26,61
2017-04-02,63
2017-04-09,68
2017-04-16,73
2017-04-23,65
2017-04-30,83
2017-05-07,58
2017-05-14,77
2017-05-21,73
2017-05-28,100
2017-06-04,69
2017-06-11,66
2017-06-18,68
2017-06-25,82
2017-07-02,87
2017-07-09,76
2017-07-16,99
2017-07-23,73
2017-07-30,76
2017-08-06,90
2017-08-13,85
2017-08-20,79
2017-08-27,74
2017-09-03,76
2017-09-10,66
2017-09-17,59
2017-09-24,58
2017-10-01,49
2017-10-08,48
2017-10-15,38
2017-10-22,37
2017-10-29,19
2017-11-05,34
2017-11-12,44
2017-11-19,13
2017-11-26,17
2017-12-03,11
2017-12-10,16
2017-12-17,17
2017-12-24,22
2017-12-31,41
2018-01-07,39
2018-01-14,39
2018-01-21,47
2018-01-28,46
2018-02-04,33
2018-02-11,62
2018-02-18,59
2018-02-25,38
2018-03-04,43
2018-03-11,52
2018-03-18,60
2018-03-25,63
2018-04-01,85
2018-04-08,62
2018-04-15,60
2018-04-22,66
2018-04-29,63
2018-05-06,68
2018-05-13,63
2018-05-20,70
2018-05-27,67
2018-06-03,81
2018-06-10,91
2018-06-17,76
2018-06-24,78
2018-07-01,70
2018-07-08,91
2018-07-15,67
2018-07-22,78
2018-07-29,81
2018-08-05,81
2018-08-12,77
2018-08-19,83
2018-08-26,74
2018-09-02,60
2018-09-09,57
2018-09-16,75
2018-09-23,58
2018-09-30,41
2018-10-07,47
2018-10-14,36
2018-10-21,40
2018-10-28,31
2018-11-04,24
2018-11-11,36
2018-11-18,23
2018-11-25,17
2018-12-02,16
2018-12-09,9
2018-12-16,18
2018-12-23,21
2018-12-30,27
2019-01-06,49
2019-01-13,47
2019-01-20,43
2019-01-27,39
2019-02-03,43
2019-02-10,41
2019-02-17,39
2019-02-24,35
2019-03-03,46
2019-03-10,48
2019-03-17,43
2019-03-24,57
2019-03-31,53
2019-04-07,87
2019-04-14,61
2019-04-21,68
2019-04-28,71
2019-05-05,83
2019-05-12,80
2019-05-19,74
2019-05-26,84
2019-06-02,98
2019-06-09,84
2019-06-16,92
2019-06-23,79
2019-06-30,76
2019-07-07,75
2019-07-14,80
2019-07-21,76
2019-07-28,83
2019-08-04,88
2019-08-11,89
2019-08-18,77
2019-08-25,79
2019-09-01,62
2019-09-08,72
2019-09-15,67
2019-09-22,68
2019-09-29,55
2019-10-06,47
2019-10-13,50
2019-10-20,40
2019-10-27,26
2019-11-03,20
2019-11-10,15
2019-11-17,22
2019-11-24,25
2019-12-01,21
2019-12-08,19
2019-12-15,22
2019-12-22,21
2019-12-29,36
2020-01-05,48
2020-01-12,37
2020-01-19,49
2020-01-26,35
2020-02-02,38
2020-02-09,41
2020-02-16,38
2020-02-23,31
2020-03-01,21
2020-03-08,23
2020-03-15,11
2020-03-22,10
2020-03-29,11
2020-04-05,19
2020-04-12,15
2020-04-19,17
2020-04-26,13
2020-05-03,10
2020-05-10,14
2020-05-17,20
2020-05-24,29
2020-05-31,21
2020-06-07,24
2020-06-14,19
2020-06-21,31
2020-06-28,32
2020-07-05,39
2020-07-12,50
2020-07-19,58
