Categoría: Todas las categorías

Semana,magaluf: (Rusia)
2015-08-02,44
2015-08-09,45
2015-08-16,0
2015-08-23,42
2015-08-30,42
2015-09-06,0
2015-09-13,40
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,35
2015-12-27,40
2016-01-03,0
2016-01-10,34
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,34
2016-03-06,0
2016-03-13,0
2016-03-20,35
2016-03-27,71
2016-04-03,71
2016-04-10,0
2016-04-17,72
2016-04-24,0
2016-05-01,0
2016-05-08,38
2016-05-15,36
2016-05-22,38
2016-05-29,39
2016-06-05,0
2016-06-12,80
2016-06-19,41
2016-06-26,42
2016-07-03,0
2016-07-10,0
2016-07-17,44
2016-07-24,67
2016-07-31,45
2016-08-07,45
2016-08-14,46
2016-08-21,0
2016-08-28,0
2016-09-04,40
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,39
2017-01-08,0
2017-01-15,0
2017-01-22,33
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,32
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,33
2017-04-23,34
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,38
2017-05-28,0
2017-06-04,77
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,40
2017-07-09,62
2017-07-16,42
2017-07-23,0
2017-07-30,40
2017-08-06,81
2017-08-13,0
2017-08-20,80
2017-08-27,40
2017-09-03,0
2017-09-10,37
2017-09-17,36
2017-09-24,36
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,34
2018-01-14,33
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,34
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,33
2018-04-08,34
2018-04-15,0
2018-04-22,34
2018-04-29,0
2018-05-06,37
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,37
2018-06-24,0
2018-07-01,75
2018-07-08,0
2018-07-15,59
2018-07-22,0
2018-07-29,40
2018-08-05,39
2018-08-12,0
2018-08-19,81
2018-08-26,38
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,35
2018-10-07,35
2018-10-14,35
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,51
2018-11-18,0
2018-11-25,0
2018-12-02,100
2018-12-09,0
2018-12-16,33
2018-12-23,72
2018-12-30,42
2019-01-06,72
2019-01-13,34
2019-01-20,66
2019-01-27,33
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,35
2019-03-10,34
2019-03-17,33
2019-03-24,0
2019-03-31,70
2019-04-07,0
2019-04-14,69
2019-04-21,0
2019-04-28,39
2019-05-05,95
2019-05-12,36
2019-05-19,35
2019-05-26,55
2019-06-02,37
2019-06-09,37
2019-06-16,0
2019-06-23,38
2019-06-30,38
2019-07-07,38
2019-07-14,39
2019-07-21,0
2019-07-28,0
2019-08-04,38
2019-08-11,0
2019-08-18,38
2019-08-25,38
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,68
2019-10-13,0
2019-10-20,0
2019-10-27,34
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,35
2019-12-29,0
2020-01-05,36
2020-01-12,32
2020-01-19,0
2020-01-26,32
2020-02-02,32
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,30
2020-04-05,28
2020-04-12,0
2020-04-19,28
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,33
2020-06-07,0
2020-06-14,70
2020-06-21,0
2020-06-28,36
2020-07-05,0
2020-07-12,38
2020-07-19,0
