Categoría: Todas las categorías

Semana,magaluf: (Suiza)
2015-08-02,63
2015-08-09,76
2015-08-16,58
2015-08-23,51
2015-08-30,39
2015-09-06,19
2015-09-13,39
2015-09-20,22
2015-09-27,17
2015-10-04,11
2015-10-11,11
2015-10-18,11
2015-10-25,11
2015-11-01,11
2015-11-08,16
2015-11-15,11
2015-11-22,16
2015-11-29,11
2015-12-06,11
2015-12-13,17
2015-12-20,32
2015-12-27,13
2016-01-03,19
2016-01-10,28
2016-01-17,28
2016-01-24,35
2016-01-31,19
2016-02-07,38
2016-02-14,19
2016-02-21,19
2016-02-28,15
2016-03-06,23
2016-03-13,25
2016-03-20,27
2016-03-27,51
2016-04-03,38
2016-04-10,26
2016-04-17,16
2016-04-24,41
2016-05-01,38
2016-05-08,51
2016-05-15,13
2016-05-22,29
2016-05-29,24
2016-06-05,53
2016-06-12,46
2016-06-19,55
2016-06-26,56
2016-07-03,77
2016-07-10,81
2016-07-17,79
2016-07-24,89
2016-07-31,70
2016-08-07,39
2016-08-14,55
2016-08-21,36
2016-08-28,42
2016-09-04,45
2016-09-11,51
2016-09-18,24
2016-09-25,38
2016-10-02,21
2016-10-09,17
2016-10-16,24
2016-10-23,20
2016-10-30,0
2016-11-06,10
2016-11-13,16
2016-11-20,20
2016-11-27,19
2016-12-04,20
2016-12-11,10
2016-12-18,41
2016-12-25,18
2017-01-01,17
2017-01-08,12
2017-01-15,22
2017-01-22,28
2017-01-29,28
2017-02-05,28
2017-02-12,13
2017-02-19,31
2017-02-26,21
2017-03-05,18
2017-03-12,27
2017-03-19,39
2017-03-26,38
2017-04-02,34
2017-04-09,31
2017-04-16,17
2017-04-23,40
2017-04-30,33
2017-05-07,36
2017-05-14,32
2017-05-21,46
2017-05-28,36
2017-06-04,45
2017-06-11,98
2017-06-18,59
2017-06-25,52
2017-07-02,75
2017-07-09,75
2017-07-16,73
2017-07-23,93
2017-07-30,100
2017-08-06,22
2017-08-13,45
2017-08-20,47
2017-08-27,48
2017-09-03,24
2017-09-10,39
2017-09-17,27
2017-09-24,15
2017-10-01,9
2017-10-08,19
2017-10-15,19
2017-10-22,18
2017-10-29,17
2017-11-05,9
2017-11-12,14
2017-11-19,0
2017-11-26,0
2017-12-03,22
2017-12-10,9
2017-12-17,9
2017-12-24,11
2017-12-31,19
2018-01-07,17
2018-01-14,19
2018-01-21,25
2018-01-28,28
2018-02-04,17
2018-02-11,14
2018-02-18,30
2018-02-25,12
2018-03-04,36
2018-03-11,33
2018-03-18,20
2018-03-25,15
2018-04-01,38
2018-04-08,24
2018-04-15,42
2018-04-22,38
2018-04-29,38
2018-05-06,39
2018-05-13,34
2018-05-20,35
2018-05-27,23
2018-06-03,40
2018-06-10,28
2018-06-17,43
2018-06-24,55
2018-07-01,40
2018-07-08,71
2018-07-15,90
2018-07-22,53
2018-07-29,69
2018-08-05,55
2018-08-12,30
2018-08-19,61
2018-08-26,26
2018-09-02,29
2018-09-09,29
2018-09-16,14
2018-09-23,26
2018-09-30,12
2018-10-07,23
2018-10-14,12
2018-10-21,12
2018-10-28,8
2018-11-04,0
2018-11-11,14
2018-11-18,11
2018-11-25,24
2018-12-02,17
2018-12-09,11
2018-12-16,9
2018-12-23,14
2018-12-30,29
2019-01-06,24
2019-01-13,14
2019-01-20,16
2019-01-27,13
2019-02-03,17
2019-02-10,28
2019-02-17,17
2019-02-24,17
2019-03-03,20
2019-03-10,20
2019-03-17,19
2019-03-24,17
2019-03-31,25
2019-04-07,23
2019-04-14,30
2019-04-21,45
2019-04-28,32
2019-05-05,32
2019-05-12,35
2019-05-19,46
2019-05-26,49
2019-06-02,33
2019-06-09,30
2019-06-16,28
2019-06-23,41
2019-06-30,38
2019-07-07,67
2019-07-14,56
2019-07-21,77
2019-07-28,51
2019-08-04,40
2019-08-11,54
2019-08-18,22
2019-08-25,47
2019-09-01,18
2019-09-08,41
2019-09-15,14
2019-09-22,22
2019-09-29,22
2019-10-06,22
2019-10-13,24
2019-10-20,8
2019-10-27,8
2019-11-03,12
2019-11-10,0
2019-11-17,8
2019-11-24,15
2019-12-01,8
2019-12-08,8
2019-12-15,12
2019-12-22,0
2019-12-29,12
2020-01-05,15
2020-01-12,15
2020-01-19,7
2020-01-26,17
2020-02-02,17
2020-02-09,17
2020-02-16,11
2020-02-23,14
2020-03-01,18
2020-03-08,10
2020-03-15,7
2020-03-22,7
2020-03-29,0
2020-04-05,15
2020-04-12,7
2020-04-19,0
2020-04-26,16
2020-05-03,7
2020-05-10,0
2020-05-17,10
2020-05-24,11
2020-05-31,14
2020-06-07,21
2020-06-14,28
2020-06-21,25
2020-06-28,10
2020-07-05,13
2020-07-12,29
2020-07-19,48
