index,bellver: (Francia),cuevas del drach: (Francia),formentor: (Francia),palma aquarium: (Francia),soller: (Francia),cala galdana: (Francia),cala mitjana: (Francia),cala macarella: (Francia),cala macarelleta: (Francia),albufera: (Francia),cala pregonda: (Francia),favaritx: (Francia),benirras: (Francia),es vedra: (Francia),ses salines: (Francia),cala salada: (Francia),ses illetes: (Francia),es pujols: (Francia),babaria: (Francia),magaluf: (Francia),date
0,33,41,32,100,72,40,76,0,55,66,0,51,50,64,72,69,44,53,35,91,2015-08-01
1,19,35,13,44,55,26,32,33,49,29,0,0,41,34,60,31,0,47,31,20,2015-09-01
2,27,0,9,42,42,0,32,0,0,23,0,0,40,65,62,29,0,0,30,14,2015-10-01
3,13,0,9,41,31,0,31,0,44,47,46,0,0,32,29,0,0,0,29,8,2015-11-01
4,16,38,10,47,23,25,0,0,0,41,53,0,46,0,34,0,0,45,0,13,2015-12-01
5,40,0,9,0,62,25,31,0,0,68,47,0,0,32,30,29,0,0,87,17,2016-01-01
6,28,0,17,0,56,38,0,31,0,51,46,0,0,32,31,0,37,44,86,22,2016-02-01
7,21,0,18,42,55,50,33,32,46,48,0,0,0,32,46,30,74,0,30,23,2016-03-01
8,23,0,15,43,64,26,33,32,48,69,0,50,43,100,31,0,38,45,30,28,2016-04-01
9,62,0,18,46,66,74,33,0,0,68,50,48,41,64,32,58,79,47,59,33,2016-05-01
10,22,0,19,88,61,26,33,32,0,64,50,0,41,34,45,44,39,46,31,40,2016-06-01
11,25,42,39,52,73,60,78,57,78,91,0,55,100,82,68,54,89,55,74,58,2016-07-01
12,56,47,33,57,85,34,43,43,62,68,0,0,57,44,41,66,100,0,36,82,2016-08-01
13,38,38,30,47,47,54,0,35,51,50,52,54,46,36,34,33,0,72,50,28,2016-09-01
14,31,38,29,47,46,0,0,35,0,45,52,0,0,36,100,0,0,49,33,14,2016-10-01
15,28,0,9,0,33,26,0,0,49,44,48,0,42,34,32,32,38,0,30,9,2016-11-01
16,30,0,19,0,22,27,0,0,0,38,0,0,0,35,32,30,0,44,62,11,2016-12-01
17,28,0,17,0,49,25,32,32,48,45,0,0,0,63,30,0,36,46,31,12,2017-01-01
18,33,33,9,0,60,76,64,31,0,55,0,48,42,64,31,0,37,45,30,19,2017-02-01
19,26,33,27,41,40,25,33,30,46,47,0,0,42,31,31,0,53,45,30,22,2017-03-01
20,43,36,19,61,71,51,0,30,48,67,50,100,43,34,31,31,39,0,58,34,2017-04-01
21,46,33,32,43,51,28,36,32,47,66,0,0,86,33,0,100,76,46,33,57,2017-05-01
22,65,0,23,43,60,78,33,32,47,43,0,0,42,33,47,31,39,46,31,63,2017-06-01
23,52,37,43,68,89,40,68,100,100,67,51,52,45,85,65,63,41,62,48,62,2017-07-01
24,52,39,37,89,88,72,36,35,52,68,54,0,88,55,34,33,37,100,50,67,2017-08-01
25,100,34,24,41,65,25,32,31,46,40,47,0,41,32,75,29,37,44,29,40,2017-09-01
26,63,34,9,41,41,49,0,31,45,47,0,0,40,32,30,0,0,43,29,13,2017-10-01
27,43,0,17,40,34,24,30,29,0,26,45,45,39,30,29,28,0,0,28,10,2017-11-01
28,36,0,17,45,40,81,0,0,0,50,0,45,41,35,0,0,40,44,32,10,2017-12-01
29,38,0,17,39,39,34,0,29,43,59,0,0,38,30,28,27,34,41,28,21,2018-01-01
30,46,32,17,59,39,35,0,30,43,32,0,0,39,60,29,27,36,0,54,17,2018-02-01
31,39,33,14,39,65,71,0,30,0,52,0,45,0,31,29,28,35,42,28,26,2018-03-01
32,47,35,26,60,63,96,31,0,47,48,0,47,42,61,62,58,36,85,30,29,2018-04-01
33,46,33,21,40,83,35,32,31,46,70,47,0,59,32,29,29,35,0,59,44,2018-05-01
34,39,32,28,79,59,95,31,30,44,48,45,45,78,30,41,42,35,0,28,57,2018-06-01
35,52,100,30,64,91,26,59,65,43,56,96,0,86,45,31,41,38,91,46,74,2018-07-01
36,40,37,66,86,100,68,100,48,98,68,100,51,87,68,47,30,76,93,63,84,2018-08-01
37,40,33,52,81,58,36,31,61,0,44,0,0,40,61,87,42,36,43,85,36,2018-09-01
38,46,33,30,80,52,36,0,0,45,39,0,0,0,31,59,28,0,0,28,19,2018-10-01
39,30,0,17,39,24,23,0,0,0,34,0,0,0,0,28,28,0,41,27,8,2018-11-01
40,45,0,29,39,32,26,0,0,0,93,0,0,0,33,0,32,0,0,65,10,2018-12-01
41,30,32,22,0,37,35,0,0,0,84,44,0,38,30,28,26,33,40,28,14,2019-01-01
42,49,33,41,60,38,32,31,30,0,63,0,0,0,31,30,0,35,84,29,19,2019-02-01
43,62,33,33,80,64,58,31,30,44,69,0,44,0,31,29,29,35,43,56,22,2019-03-01
44,53,33,30,41,63,47,60,29,0,61,0,0,40,31,29,83,0,43,28,49,2019-04-01
45,38,32,55,58,84,46,30,29,0,55,44,45,57,60,28,54,34,41,27,42,2019-05-01
46,44,31,33,39,52,46,40,87,80,56,44,0,39,60,28,27,51,41,42,44,2019-06-01
47,25,0,40,63,65,36,77,31,45,69,95,0,57,32,59,56,49,43,100,89,2019-07-01
48,30,68,65,84,83,100,59,47,45,100,93,44,82,53,59,44,74,44,41,100,2019-08-01
49,62,31,43,71,68,33,57,28,62,49,61,0,55,58,41,26,33,39,53,43,2019-09-01
50,36,30,64,36,50,22,0,27,0,64,41,42,72,28,53,25,32,38,26,21,2019-10-01
51,39,0,23,36,24,21,27,0,39,47,0,0,0,53,26,25,32,37,25,12,2019-11-01
52,50,32,29,37,31,24,27,28,41,56,0,0,0,54,27,24,0,40,0,11,2019-12-01
53,50,0,20,0,55,40,51,25,37,49,0,39,34,26,25,24,30,36,24,19,2020-01-01
54,97,0,24,34,45,41,27,26,36,45,39,0,33,25,25,24,30,0,24,17,2020-02-01
55,50,27,100,0,25,36,25,0,0,29,0,35,31,25,47,0,29,32,23,18,2020-03-01
56,58,0,25,0,20,18,0,0,0,27,34,0,30,24,22,22,27,0,43,6,2020-04-01
57,66,25,44,29,24,39,24,0,0,31,33,0,31,45,24,0,26,30,41,12,2020-05-01
58,60,28,84,33,25,38,25,24,35,35,0,0,31,98,23,47,30,53,45,17,2020-06-01
59,32,40,66,36,34,43,26,27,40,48,0,0,36,55,49,0,31,51,51,29,2020-07-01
