index,bellver: (Países Bajos),cuevas del drach: (Países Bajos),formentor: (Países Bajos),palma aquarium: (Países Bajos),soller: (Países Bajos),cala galdana: (Países Bajos),cala mitjana: (Países Bajos),cala macarelleta: (Países Bajos),albufera: (Países Bajos),cala benirras: (Países Bajos),es vedra: (Países Bajos),ses salines: (Países Bajos),Cala salada: (Países Bajos),magaluf: (Países Bajos),date
0,61,86,75,34,69,59,0,89,18,60,27,54,69,18,2015-08-01
1,50,0,34,34,38,46,0,0,13,0,34,31,37,6,2015-09-01
2,48,0,22,33,44,46,0,0,8,52,17,30,0,6,2015-10-01
3,0,78,0,0,43,44,0,0,19,0,16,29,34,6,2015-11-01
4,49,78,23,0,33,0,0,0,10,0,28,0,39,4,2015-12-01
5,50,0,23,0,47,47,80,0,22,0,26,61,36,10,2016-01-01
6,51,0,23,34,42,49,0,0,14,0,18,32,37,100,2016-02-01
7,51,0,23,34,95,97,0,0,20,55,36,64,0,13,2016-03-01
8,51,0,34,34,54,49,0,0,20,57,55,33,0,10,2016-04-01
9,59,0,35,33,73,0,0,0,24,0,54,63,39,14,2016-05-01
10,100,85,36,66,46,49,80,0,23,0,92,32,71,16,2016-06-01
11,61,100,48,41,82,58,87,0,22,67,75,67,65,17,2016-07-01
12,59,0,41,0,77,59,100,100,24,68,39,79,44,14,2016-08-01
13,0,0,48,37,51,77,85,0,17,61,38,34,58,16,2016-09-01
14,0,0,47,35,55,51,0,0,21,59,19,34,0,5,2016-10-01
15,0,86,34,34,21,0,0,0,18,0,18,0,0,17,2016-11-01
16,0,85,23,0,53,0,0,0,20,0,40,31,42,9,2016-12-01
17,49,82,22,34,58,97,0,0,33,0,35,31,0,7,2017-01-01
18,0,0,21,0,45,46,0,0,23,53,59,30,36,10,2017-02-01
19,0,0,43,0,68,90,0,0,15,52,34,30,36,36,2017-03-01
20,49,0,44,33,55,93,0,80,20,56,35,62,36,8,2017-04-01
21,50,89,47,0,74,47,79,0,13,0,53,100,73,15,2017-05-01
22,49,0,42,96,71,48,76,0,22,54,34,40,36,15,2017-06-01
23,52,89,31,35,78,100,84,83,19,59,73,33,63,18,2017-07-01
24,52,85,55,35,70,49,82,83,35,57,52,33,74,12,2017-08-01
25,47,77,42,32,66,45,0,0,15,52,42,30,51,11,2017-09-01
26,45,79,41,32,57,44,0,0,21,52,49,30,33,35,2017-10-01
27,45,0,20,0,27,0,0,0,18,0,0,0,0,23,2017-11-01
28,51,0,40,30,58,44,0,0,15,0,16,32,0,6,2017-12-01
29,86,75,0,29,41,85,70,0,21,0,32,28,32,13,2018-01-01
30,46,78,21,31,47,0,73,0,18,0,33,0,34,9,2018-02-01
31,45,0,33,0,77,43,0,0,14,0,32,29,0,7,2018-03-01
32,94,77,42,0,52,44,0,0,16,51,50,59,51,11,2018-04-01
33,0,0,50,30,73,44,72,0,15,100,42,54,49,14,2018-05-01
34,45,0,58,28,65,43,69,0,18,49,77,28,100,10,2018-06-01
35,89,81,65,100,70,48,78,79,16,54,56,62,65,22,2018-07-01
36,47,81,43,64,64,46,76,0,17,52,100,41,70,15,2018-08-01
37,44,76,40,0,61,0,72,74,21,50,56,29,65,11,2018-09-01
38,44,0,20,31,43,0,0,0,18,0,25,59,34,6,2018-10-01
39,44,0,20,0,35,42,0,0,18,49,16,27,0,4,2018-11-01
40,0,0,23,0,39,0,0,0,10,0,25,0,37,4,2018-12-01
41,42,0,20,0,53,42,0,0,18,48,16,27,31,4,2019-01-01
42,0,0,20,30,49,0,0,0,16,0,32,28,33,4,2019-02-01
43,45,75,100,30,50,42,72,73,28,48,31,28,33,6,2019-03-01
44,91,0,40,30,62,62,0,0,24,97,62,29,47,9,2019-04-01
45,43,0,58,29,63,41,69,71,21,95,46,41,93,10,2019-05-01
46,43,72,96,29,54,41,69,66,17,97,47,54,46,9,2019-06-01
47,46,72,54,65,100,47,0,0,100,54,43,61,78,11,2019-07-01
48,0,79,42,31,95,0,77,73,49,54,49,56,65,12,2019-08-01
49,42,0,37,56,73,41,67,67,19,46,53,26,31,9,2019-09-01
50,0,0,19,29,38,0,66,0,15,0,60,26,61,6,2019-10-01
51,0,0,37,0,32,39,0,0,11,0,15,26,30,4,2019-11-01
52,45,0,29,0,39,0,0,0,11,0,16,27,0,4,2019-12-01
53,40,0,18,0,49,39,0,0,23,43,28,49,29,5,2020-01-01
54,0,0,18,0,36,37,64,0,16,44,14,25,0,6,2020-02-01
55,38,0,60,25,34,37,0,0,13,0,27,23,0,4,2020-03-01
56,0,0,33,0,23,0,0,0,7,0,13,0,0,4,2020-04-01
57,0,62,32,0,43,0,56,58,15,0,25,0,0,4,2020-05-01
58,37,0,39,47,33,35,0,0,12,40,25,23,0,4,2020-06-01
59,56,0,35,37,43,54,0,61,25,62,40,25,27,7,2020-07-01
