Categoría: Todas las categorías

Semana,Plaza de Toros de Las Ventas: (Portugal)
2015-08-02,28
2015-08-09,0
2015-08-16,28
2015-08-23,55
2015-08-30,0
2015-09-06,0
2015-09-13,26
2015-09-20,26
2015-09-27,51
2015-10-04,0
2015-10-11,0
2015-10-18,25
2015-10-25,25
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,28
2015-12-13,28
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,24
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,37
2016-03-13,49
2016-03-20,25
2016-03-27,24
2016-04-03,36
2016-04-10,24
2016-04-17,24
2016-04-24,25
2016-05-01,24
2016-05-08,78
2016-05-15,49
2016-05-22,66
2016-05-29,25
2016-06-05,35
2016-06-12,25
2016-06-19,78
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,28
2016-07-24,28
2016-07-31,29
2016-08-07,29
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,27
2016-09-11,0
2016-09-18,0
2016-09-25,27
2016-10-02,0
2016-10-09,39
2016-10-16,26
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,26
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,29
2017-01-01,26
2017-01-08,26
2017-01-15,26
2017-01-22,25
2017-01-29,24
2017-02-05,0
2017-02-12,24
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,24
2017-03-19,24
2017-03-26,24
2017-04-02,25
2017-04-09,26
2017-04-16,25
2017-04-23,25
2017-04-30,25
2017-05-07,39
2017-05-14,53
2017-05-21,26
2017-05-28,65
2017-06-04,26
2017-06-11,28
2017-06-18,26
2017-06-25,0
2017-07-02,28
2017-07-09,27
2017-07-16,27
2017-07-23,0
2017-07-30,0
2017-08-06,26
2017-08-13,56
2017-08-20,0
2017-08-27,25
2017-09-03,26
2017-09-10,0
2017-09-17,0
2017-09-24,50
2017-10-01,24
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,25
2017-11-05,0
2017-11-12,0
2017-11-19,23
2017-11-26,0
2017-12-03,26
2017-12-10,50
2017-12-17,27
2017-12-24,27
2017-12-31,24
2018-01-07,24
2018-01-14,24
2018-01-21,0
2018-01-28,24
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,22
2018-03-04,23
2018-03-11,22
2018-03-18,24
2018-03-25,24
2018-04-01,23
2018-04-08,34
2018-04-15,45
2018-04-22,23
2018-04-29,70
2018-05-06,100
2018-05-13,35
2018-05-20,61
2018-05-27,32
2018-06-03,55
2018-06-10,22
2018-06-17,23
2018-06-24,23
2018-07-01,23
2018-07-08,23
2018-07-15,23
2018-07-22,23
2018-07-29,23
2018-08-05,22
2018-08-12,47
2018-08-19,24
2018-08-26,23
2018-09-02,23
2018-09-09,0
2018-09-16,23
2018-09-23,23
2018-09-30,24
2018-10-07,31
2018-10-14,0
2018-10-21,0
2018-10-28,24
2018-11-04,0
2018-11-11,24
2018-11-18,0
2018-11-25,0
2018-12-02,25
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,27
2019-01-06,25
2019-01-13,24
2019-01-20,35
2019-01-27,23
2019-02-03,0
2019-02-10,0
2019-02-17,23
2019-02-24,23
2019-03-03,25
2019-03-10,24
2019-03-17,48
2019-03-24,36
2019-03-31,47
2019-04-07,24
2019-04-14,23
2019-04-21,23
2019-04-28,35
2019-05-05,22
2019-05-12,52
2019-05-19,45
2019-05-26,56
2019-06-02,32
2019-06-09,68
2019-06-16,22
2019-06-23,0
2019-06-30,29
2019-07-07,22
2019-07-14,0
2019-07-21,34
2019-07-28,23
2019-08-04,32
2019-08-11,44
2019-08-18,0
2019-08-25,22
2019-09-01,0
2019-09-08,21
2019-09-15,41
2019-09-22,21
2019-09-29,21
2019-10-06,31
2019-10-13,20
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,20
2019-12-01,0
2019-12-08,22
2019-12-15,21
2019-12-22,48
2019-12-29,23
2020-01-05,20
2020-01-12,0
2020-01-19,0
2020-01-26,19
2020-02-02,20
2020-02-09,19
2020-02-16,0
2020-02-23,0
2020-03-01,18
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,17
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,16
2020-05-03,16
2020-05-10,17
2020-05-17,17
2020-05-24,17
2020-05-31,16
2020-06-07,0
2020-06-14,0
2020-06-21,18
2020-06-28,0
2020-07-05,18
2020-07-12,0
2020-07-19,0
2020-07-26,0
