Categoría: Todas las categorías

Semana,Chueca: (Portugal)
2015-08-02,30
2015-08-09,30
2015-08-16,31
2015-08-23,29
2015-08-30,0
2015-09-06,29
2015-09-13,28
2015-09-20,0
2015-09-27,0
2015-10-04,54
2015-10-11,46
2015-10-18,27
2015-10-25,28
2015-11-01,28
2015-11-08,0
2015-11-15,57
2015-11-22,0
2015-11-29,29
2015-12-06,0
2015-12-13,30
2015-12-20,36
2015-12-27,32
2016-01-03,26
2016-01-10,0
2016-01-17,26
2016-01-24,26
2016-01-31,27
2016-02-07,26
2016-02-14,27
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,27
2016-03-20,28
2016-03-27,53
2016-04-03,0
2016-04-10,26
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,25
2016-05-15,27
2016-05-22,0
2016-05-29,27
2016-06-05,29
2016-06-12,27
2016-06-19,28
2016-06-26,28
2016-07-03,0
2016-07-10,50
2016-07-17,0
2016-07-24,0
2016-07-31,32
2016-08-07,0
2016-08-14,100
2016-08-21,31
2016-08-28,0
2016-09-04,59
2016-09-11,29
2016-09-18,30
2016-09-25,0
2016-10-02,0
2016-10-09,57
2016-10-16,28
2016-10-23,0
2016-10-30,29
2016-11-06,29
2016-11-13,29
2016-11-20,57
2016-11-27,29
2016-12-04,28
2016-12-11,38
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,28
2017-01-15,56
2017-01-22,0
2017-01-29,0
2017-02-05,27
2017-02-12,26
2017-02-19,55
2017-02-26,26
2017-03-05,38
2017-03-12,0
2017-03-19,39
2017-03-26,0
2017-04-02,0
2017-04-09,42
2017-04-16,0
2017-04-23,0
2017-04-30,27
2017-05-07,0
2017-05-14,29
2017-05-21,29
2017-05-28,0
2017-06-04,29
2017-06-11,31
2017-06-18,28
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,57
2017-08-13,30
2017-08-20,29
2017-08-27,0
2017-09-03,27
2017-09-10,28
2017-09-17,27
2017-09-24,0
2017-10-01,0
2017-10-08,27
2017-10-15,26
2017-10-22,0
2017-10-29,40
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,41
2017-12-03,28
2017-12-10,28
2017-12-17,0
2017-12-24,0
2017-12-31,27
2018-01-07,26
2018-01-14,26
2018-01-21,0
2018-01-28,26
2018-02-04,26
2018-02-11,26
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,25
2018-03-18,0
2018-03-25,27
2018-04-01,0
2018-04-08,33
2018-04-15,24
2018-04-22,25
2018-04-29,26
2018-05-06,25
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,24
2018-06-17,25
2018-06-24,25
2018-07-01,25
2018-07-08,0
2018-07-15,25
2018-07-22,0
2018-07-29,25
2018-08-05,24
2018-08-12,39
2018-08-19,0
2018-08-26,26
2018-09-02,25
2018-09-09,25
2018-09-16,25
2018-09-23,25
2018-09-30,26
2018-10-07,25
2018-10-14,26
2018-10-21,51
2018-10-28,27
2018-11-04,25
2018-11-11,26
2018-11-18,25
2018-11-25,26
2018-12-02,27
2018-12-09,28
2018-12-16,0
2018-12-23,30
2018-12-30,29
2019-01-06,54
2019-01-13,26
2019-01-20,26
2019-01-27,0
2019-02-03,26
2019-02-10,26
2019-02-17,0
2019-02-24,25
2019-03-03,40
2019-03-10,26
2019-03-17,0
2019-03-24,0
2019-03-31,50
2019-04-07,26
2019-04-14,38
2019-04-21,51
2019-04-28,26
2019-05-05,0
2019-05-12,0
2019-05-19,24
2019-05-26,0
2019-06-02,23
2019-06-09,25
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,23
2019-07-14,24
2019-07-21,24
2019-07-28,0
2019-08-04,23
2019-08-11,49
2019-08-18,24
2019-08-25,24
2019-09-01,0
2019-09-08,23
2019-09-15,23
2019-09-22,23
2019-09-29,22
2019-10-06,23
2019-10-13,0
2019-10-20,23
2019-10-27,45
2019-11-03,23
2019-11-10,23
2019-11-17,0
2019-11-24,33
2019-12-01,0
2019-12-08,23
2019-12-15,0
2019-12-22,52
2019-12-29,36
2020-01-05,0
2020-01-12,31
2020-01-19,22
2020-01-26,21
2020-02-02,21
2020-02-09,21
2020-02-16,0
2020-02-23,21
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,18
2020-05-03,0
2020-05-10,0
2020-05-17,19
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,19
2020-07-05,0
2020-07-12,21
2020-07-19,0
2020-07-26,0
