Categoría: Todas las categorías

Semana,Templo de Debod: (Portugal)
2015-08-02,0
2015-08-09,0
2015-08-16,51
2015-08-23,0
2015-08-30,95
2015-09-06,48
2015-09-13,0
2015-09-20,0
2015-09-27,46
2015-10-04,0
2015-10-11,45
2015-10-18,91
2015-10-25,46
2015-11-01,0
2015-11-08,0
2015-11-15,47
2015-11-22,48
2015-11-29,0
2015-12-06,50
2015-12-13,50
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,43
2016-01-24,43
2016-01-31,0
2016-02-07,43
2016-02-14,45
2016-02-21,43
2016-02-28,0
2016-03-06,44
2016-03-13,0
2016-03-20,46
2016-03-27,87
2016-04-03,43
2016-04-10,0
2016-04-17,43
2016-04-24,0
2016-05-01,0
2016-05-08,42
2016-05-15,44
2016-05-22,45
2016-05-29,44
2016-06-05,0
2016-06-12,45
2016-06-19,70
2016-06-26,0
2016-07-03,49
2016-07-10,50
2016-07-17,100
2016-07-24,50
2016-07-31,52
2016-08-07,0
2016-08-14,55
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,48
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,47
2016-12-11,0
2016-12-18,53
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,44
2017-02-12,0
2017-02-19,0
2017-02-26,43
2017-03-05,85
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,68
2017-04-09,0
2017-04-16,89
2017-04-23,44
2017-04-30,90
2017-05-07,0
2017-05-14,47
2017-05-21,0
2017-05-28,47
2017-06-04,0
2017-06-11,51
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,48
2017-07-23,0
2017-07-30,47
2017-08-06,47
2017-08-13,50
2017-08-20,47
2017-08-27,46
2017-09-03,45
2017-09-10,46
2017-09-17,0
2017-09-24,45
2017-10-01,66
2017-10-08,44
2017-10-15,43
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,45
2017-11-19,0
2017-11-26,91
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,42
2018-01-14,43
2018-01-21,42
2018-01-28,0
2018-02-04,43
2018-02-11,42
2018-02-18,43
2018-02-25,0
2018-03-04,41
2018-03-11,41
2018-03-18,43
2018-03-25,45
2018-04-01,41
2018-04-08,41
2018-04-15,41
2018-04-22,0
2018-04-29,42
2018-05-06,0
2018-05-13,63
2018-05-20,41
2018-05-27,0
2018-06-03,40
2018-06-10,40
2018-06-17,41
2018-06-24,41
2018-07-01,41
2018-07-08,41
2018-07-15,42
2018-07-22,0
2018-07-29,41
2018-08-05,0
2018-08-12,64
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,41
2018-09-16,0
2018-09-23,82
2018-09-30,43
2018-10-07,42
2018-10-14,85
2018-10-21,0
2018-10-28,44
2018-11-04,0
2018-11-11,44
2018-11-18,0
2018-11-25,0
2018-12-02,44
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,48
2019-01-06,0
2019-01-13,43
2019-01-20,42
2019-01-27,0
2019-02-03,43
2019-02-10,41
2019-02-17,83
2019-02-24,42
2019-03-03,43
2019-03-10,0
2019-03-17,43
2019-03-24,0
2019-03-31,41
2019-04-07,85
2019-04-14,0
2019-04-21,42
2019-04-28,42
2019-05-05,81
2019-05-12,40
2019-05-19,41
2019-05-26,40
2019-06-02,38
2019-06-09,0
2019-06-16,0
2019-06-23,39
2019-06-30,39
2019-07-07,39
2019-07-14,0
2019-07-21,40
2019-07-28,41
2019-08-04,38
2019-08-11,0
2019-08-18,39
2019-08-25,0
2019-09-01,0
2019-09-08,38
2019-09-15,74
2019-09-22,0
2019-09-29,37
2019-10-06,37
2019-10-13,0
2019-10-20,38
2019-10-27,0
2019-11-03,37
2019-11-10,37
2019-11-17,0
2019-11-24,73
2019-12-01,38
2019-12-08,0
2019-12-15,0
2019-12-22,43
2019-12-29,0
2020-01-05,0
2020-01-12,34
2020-01-19,36
2020-01-26,35
2020-02-02,35
2020-02-09,0
2020-02-16,35
2020-02-23,0
2020-03-01,97
2020-03-08,33
2020-03-15,0
2020-03-22,0
2020-03-29,31
2020-04-05,0
2020-04-12,30
2020-04-19,0
2020-04-26,0
2020-05-03,29
2020-05-10,0
2020-05-17,31
2020-05-24,31
2020-05-31,0
2020-06-07,0
2020-06-14,30
2020-06-21,31
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
