Categoría: Todas las categorías

Semana,Palacio de Cristal: (Portugal)
2015-08-02,32
2015-08-09,58
2015-08-16,54
2015-08-23,32
2015-08-30,30
2015-09-06,30
2015-09-13,29
2015-09-20,100
2015-09-27,29
2015-10-04,33
2015-10-11,29
2015-10-18,43
2015-10-25,29
2015-11-01,64
2015-11-08,35
2015-11-15,25
2015-11-22,46
2015-11-29,15
2015-12-06,48
2015-12-13,16
2015-12-20,57
2015-12-27,51
2016-01-03,48
2016-01-10,51
2016-01-17,35
2016-01-24,46
2016-01-31,47
2016-02-07,46
2016-02-14,24
2016-02-21,35
2016-02-28,65
2016-03-06,36
2016-03-13,56
2016-03-20,53
2016-03-27,42
2016-04-03,41
2016-04-10,14
2016-04-17,28
2016-04-24,68
2016-05-01,28
2016-05-08,27
2016-05-15,56
2016-05-22,47
2016-05-29,85
2016-06-05,53
2016-06-12,71
2016-06-19,39
2016-06-26,35
2016-07-03,57
2016-07-10,16
2016-07-17,56
2016-07-24,54
2016-07-31,50
2016-08-07,45
2016-08-14,35
2016-08-21,39
2016-08-28,58
2016-09-04,62
2016-09-11,46
2016-09-18,78
2016-09-25,51
2016-10-02,26
2016-10-09,15
2016-10-16,60
2016-10-23,45
2016-10-30,46
2016-11-06,41
2016-11-13,41
2016-11-20,25
2016-11-27,45
2016-12-04,20
2016-12-11,15
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,14
2017-02-12,0
2017-02-19,0
2017-02-26,14
2017-03-05,20
2017-03-12,20
2017-03-19,14
2017-03-26,21
2017-04-02,43
2017-04-09,15
2017-04-16,0
2017-04-23,0
2017-04-30,14
2017-05-07,0
2017-05-14,15
2017-05-21,0
2017-05-28,15
2017-06-04,15
2017-06-11,16
2017-06-18,15
2017-06-25,0
2017-07-02,16
2017-07-09,0
2017-07-16,23
2017-07-23,15
2017-07-30,0
2017-08-06,0
2017-08-13,27
2017-08-20,23
2017-08-27,15
2017-09-03,14
2017-09-10,29
2017-09-17,14
2017-09-24,0
2017-10-01,21
2017-10-08,14
2017-10-15,14
2017-10-22,14
2017-10-29,14
2017-11-05,0
2017-11-12,29
2017-11-19,13
2017-11-26,14
2017-12-03,15
2017-12-10,14
2017-12-17,0
2017-12-24,23
2017-12-31,14
2018-01-07,27
2018-01-14,0
2018-01-21,14
2018-01-28,41
2018-02-04,14
2018-02-11,41
2018-02-18,0
2018-02-25,19
2018-03-04,13
2018-03-11,13
2018-03-18,0
2018-03-25,14
2018-04-01,13
2018-04-08,13
2018-04-15,17
2018-04-22,13
2018-04-29,18
2018-05-06,13
2018-05-13,18
2018-05-20,26
2018-05-27,14
2018-06-03,13
2018-06-10,25
2018-06-17,0
2018-06-24,13
2018-07-01,20
2018-07-08,13
2018-07-15,22
2018-07-22,13
2018-07-29,26
2018-08-05,39
2018-08-12,41
2018-08-19,27
2018-08-26,18
2018-09-02,20
2018-09-09,27
2018-09-16,20
2018-09-23,26
2018-09-30,28
2018-10-07,18
2018-10-14,14
2018-10-21,0
2018-10-28,33
2018-11-04,13
2018-11-11,21
2018-11-18,0
2018-11-25,14
2018-12-02,14
2018-12-09,14
2018-12-16,15
2018-12-23,0
2018-12-30,31
2019-01-06,0
2019-01-13,14
2019-01-20,20
2019-01-27,31
2019-02-03,77
2019-02-10,57
2019-02-17,48
2019-02-24,40
2019-03-03,65
2019-03-10,59
2019-03-17,78
2019-03-24,36
2019-03-31,18
2019-04-07,27
2019-04-14,18
2019-04-21,13
2019-04-28,20
2019-05-05,19
2019-05-12,13
2019-05-19,13
2019-05-26,13
2019-06-02,12
2019-06-09,19
2019-06-16,19
2019-06-23,17
2019-06-30,17
2019-07-07,12
2019-07-14,21
2019-07-21,17
2019-07-28,13
2019-08-04,33
2019-08-11,21
2019-08-18,29
2019-08-25,21
2019-09-01,24
2019-09-08,18
2019-09-15,20
2019-09-22,30
2019-09-29,18
2019-10-06,32
2019-10-13,12
2019-10-20,12
2019-10-27,28
2019-11-03,20
2019-11-10,12
2019-11-17,12
2019-11-24,12
2019-12-01,25
2019-12-08,12
2019-12-15,0
2019-12-22,21
2019-12-29,26
2020-01-05,18
2020-01-12,11
2020-01-19,23
2020-01-26,11
2020-02-02,11
2020-02-09,15
2020-02-16,11
2020-02-23,27
2020-03-01,10
2020-03-08,21
2020-03-15,10
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,9
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,19
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,15
2020-06-14,19
2020-06-21,10
2020-06-28,10
2020-07-05,0
2020-07-12,0
2020-07-19,15
2020-07-26,0
