,Museo Nacional del Prado: (Austria),plaza mayor: (Austria),puerta del sol: (Austria),gran via: (Austria),Museo Nacional Thyssen-Bornemisza: (Austria),Catedral de Santa María la Real de la Almudena: (Austria),cibeles: (Austria),puerta de alcala: (Austria),chueca: (Austria),callao: (Austria),date
0,<1,62,30,38,98,63,51,0,0,41,2015-08-01
1,<1,100,57,100,70,57,49,0,0,36,2015-09-01
2,<1,40,55,63,90,55,44,73,0,0,2015-10-01
3,<1,0,56,32,85,56,45,0,0,35,2015-11-01
4,<1,0,63,73,49,66,53,0,93,41,2015-12-01
5,<1,40,57,67,68,0,47,0,0,73,2016-01-01
6,<1,38,84,64,66,0,45,0,84,71,2016-02-01
7,<1,42,30,48,86,0,46,0,0,37,2016-03-01
8,<1,40,87,35,68,0,47,0,0,76,2016-04-01
9,<1,65,45,70,48,59,100,0,92,38,2016-05-01
10,<1,0,30,35,46,0,0,0,88,37,2016-06-01
11,<1,47,51,38,79,69,0,0,100,0,2016-07-01
12,<1,48,100,60,0,0,0,100,0,94,2016-08-01
13,<1,45,64,37,100,0,0,0,95,41,2016-09-01
14,<1,44,32,37,99,60,51,85,0,0,2016-10-01
15,<1,42,0,34,47,59,49,0,0,38,2016-11-01
16,<1,91,33,38,0,59,0,0,96,61,2016-12-01
17,<1,38,28,32,64,54,0,74,0,38,2017-01-01
18,<1,57,55,30,0,0,0,74,0,35,2017-02-01
19,<1,38,41,66,41,53,43,0,80,35,2017-03-01
20,<1,41,42,52,46,0,47,0,84,37,2017-04-01
21,<1,41,56,48,0,0,0,0,89,36,2017-05-01
22,<1,40,61,35,48,0,47,0,0,0,2017-06-01
23,<1,42,60,36,47,0,0,0,0,0,2017-07-01
24,<1,40,44,50,47,59,46,0,90,39,2017-08-01
25,<1,38,41,47,44,55,0,0,0,0,2017-09-01
26,<1,38,54,32,42,55,44,0,80,35,2017-10-01
27,<1,36,53,45,41,53,0,0,0,0,2017-11-01
28,<1,37,37,68,42,53,48,0,80,51,2017-12-01
29,<1,34,49,84,38,49,39,0,73,31,2018-01-01
30,<1,33,49,56,37,100,39,0,71,32,2018-02-01
31,<1,34,39,30,41,52,39,0,0,31,2018-03-01
32,<1,36,53,45,41,0,43,0,0,100,2018-04-01
33,<1,36,40,31,0,53,42,70,0,0,2018-05-01
34,<1,35,26,29,38,49,0,0,74,32,2018-06-01
35,<1,37,54,31,80,0,0,0,77,34,2018-07-01
36,<1,37,52,50,41,52,0,0,0,34,2018-08-01
37,<1,36,26,88,40,0,41,0,76,33,2018-09-01
38,<1,35,26,90,40,52,42,0,76,33,2018-10-01
39,<1,34,37,57,40,48,41,68,73,32,2018-11-01
40,<1,68,33,33,44,0,40,0,85,32,2018-12-01
41,<1,64,23,26,36,46,37,0,69,30,2019-01-01
42,<1,32,24,53,55,47,38,0,69,30,2019-02-01
43,<1,34,48,55,37,46,78,0,0,46,2019-03-01
44,<1,33,27,37,38,51,41,0,78,33,2019-04-01
45,<1,32,47,54,36,47,0,63,0,60,2019-05-01
46,<1,34,50,56,76,49,40,0,75,0,2019-06-01
47,1,70,26,58,40,48,0,0,75,32,2019-07-01
48,<1,33,52,83,40,51,0,0,72,32,2019-08-01
49,<1,33,24,55,74,0,39,63,0,0,2019-09-01
50,<1,32,47,27,0,46,37,0,67,29,2019-10-01
51,<1,46,34,26,0,0,0,0,0,0,2019-11-01
52,<1,62,26,27,0,45,41,0,70,32,2019-12-01
53,<1,28,43,33,0,0,0,58,61,55,2020-01-01
54,<1,0,42,45,32,41,34,0,57,0,2020-02-01
55,<1,27,34,23,31,0,0,0,59,0,2020-03-01
56,<1,56,22,23,31,85,33,0,0,26,2020-04-01
57,<1,29,41,35,0,0,33,0,0,28,2020-05-01
58,<1,28,41,24,0,0,0,54,61,26,2020-06-01
59,<1,0,22,25,0,0,0,0,0,0,2020-07-01
