Semana,Museo Nacional del Prado: (Austria),plaza mayor: (Austria),puerta del sol: (Austria),gran via: (Austria),Museo Nacional Thyssen-Bornemisza: (Austria),Catedral de Santa María la Real de la Almudena: (Austria),cibeles: (Austria),puerta de alcala: (Austria),chueca: (Austria),callao: (Austria)
2015-08-02,<1,45,0,38,50,0,0,0,0,0
2015-08-09,<1,0,0,0,98,63,51,0,0,41
2015-08-16,0,0,0,0,47,60,48,0,0,0
2015-08-23,1,0,0,36,48,0,0,0,0,39
2015-08-30,0,62,30,34,46,0,48,0,0,0
2015-09-06,<1,0,0,0,70,0,49,0,0,0
2015-09-13,<1,100,29,100,45,0,0,0,0,0
2015-09-20,1,0,0,33,0,0,0,0,0,0
2015-09-27,<1,0,57,33,44,57,0,0,0,36
2015-10-04,<1,38,27,32,42,0,0,0,0,0
2015-10-11,<1,37,0,63,0,0,44,73,0,0
2015-10-18,<1,0,55,32,43,55,0,0,0,0
2015-10-25,<1,40,39,0,90,0,0,0,0,0
2015-11-01,0,0,42,32,0,0,45,0,0,0
2015-11-08,<1,0,56,32,57,56,0,0,0,0
2015-11-15,<1,0,54,31,0,0,0,0,0,34
2015-11-22,<1,0,27,0,85,0,0,0,0,35
2015-11-29,<1,0,27,32,0,0,0,0,0,0
2015-12-06,<1,0,42,0,43,0,0,0,0,35
2015-12-13,<1,0,28,32,0,0,0,0,0,0
2015-12-20,1,0,33,38,0,66,53,0,0,41
2015-12-27,0,0,63,73,49,0,51,0,93,40
2016-01-03,1,40,44,67,68,0,47,0,0,73
2016-01-10,1,0,28,32,43,0,0,0,0,35
2016-01-17,<1,39,0,0,44,0,45,0,0,0
2016-01-24,0,0,57,33,44,0,0,0,0,36
2016-01-31,<1,0,28,0,0,0,0,0,0,0
2016-02-07,1,0,28,32,66,0,45,0,84,0
2016-02-14,<1,0,84,48,44,0,0,0,0,71
2016-02-21,<1,38,28,64,0,0,0,0,0,35
2016-02-28,<1,0,27,0,42,0,0,0,79,34
2016-03-06,<1,38,27,48,86,0,0,0,0,0
2016-03-13,<1,0,29,33,44,0,46,0,0,0
2016-03-20,0,0,30,34,46,0,0,0,0,37
2016-03-27,<1,42,30,0,72,0,0,0,0,0
2016-04-03,<1,40,87,33,68,0,47,0,0,37
2016-04-10,<1,0,30,0,46,0,0,0,0,0
2016-04-17,1,0,40,35,46,0,0,0,0,76
2016-04-24,<1,0,0,33,45,0,47,0,0,0
2016-05-01,1,65,31,0,48,0,100,0,0,0
2016-05-08,0,0,45,34,46,59,0,0,87,0
2016-05-15,<1,0,31,70,0,0,0,0,0,0
2016-05-22,1,0,32,36,0,0,51,0,92,0
2016-05-29,<1,40,29,67,0,0,0,0,0,38
2016-06-05,<1,0,30,0,46,0,0,0,0,37
2016-06-12,<1,0,0,0,45,0,0,0,0,37
2016-06-19,0,0,0,35,0,0,0,0,88,0
2016-06-26,<1,0,30,34,46,0,0,0,88,0
2016-07-03,<1,0,33,38,51,65,0,0,97,0
2016-07-10,0,0,32,37,50,0,0,0,0,0
