Semana,Museo Nacional del Prado: (Bélgica),Plaza Mayor: (Bélgica),Parque de El Retiro: (Bélgica),puerta del sol: (Bélgica),gran via: (Bélgica),Museo Nacional Thyssen-Bornemisza: (Bélgica),Templo de Debod: (Bélgica),Catedral de Santa María la Real de la Almudena: (Bélgica),cibeles: (Bélgica),Palacio de Cristal: (Bélgica),El Rastro: (Bélgica),Plaza de Toros de Las Ventas: (Bélgica),Chueca: (Bélgica),callao: (Bélgica),Calle de Serrano: (Bélgica)
2015-08-02,0,100,72,100,26,0,77,70,0,0,0,0,0,28,89
2015-08-09,0,62,0,31,0,0,0,65,0,0,0,0,0,39,0
2015-08-16,25,63,0,0,24,30,0,66,0,0,0,0,98,26,0
2015-08-23,0,59,0,0,23,28,0,0,72,0,0,0,0,25,0
2015-08-30,23,0,0,0,31,28,0,0,0,0,0,72,0,25,0
2015-09-06,24,0,0,30,24,44,0,0,0,0,0,0,0,51,0
2015-09-13,23,57,0,0,22,55,0,60,0,0,0,0,0,24,0
2015-09-20,23,0,0,29,22,0,0,60,0,0,0,0,91,24,0
2015-09-27,46,58,63,0,0,28,0,61,0,0,0,0,0,48,0
2015-10-04,33,0,61,0,44,53,0,0,0,0,0,0,0,63,0
2015-10-11,22,57,0,0,22,41,67,60,0,0,63,0,90,71,0
2015-10-18,22,56,0,84,21,40,0,0,0,64,62,0,0,69,0
2015-10-25,0,57,0,0,33,27,0,0,0,0,0,0,0,24,0
2015-11-01,0,0,0,0,47,0,0,0,0,0,0,0,0,25,0
2015-11-08,23,58,0,58,23,28,68,62,0,0,0,0,0,74,0
2015-11-15,22,0,61,28,0,27,0,0,0,0,0,0,0,23,0
2015-11-22,0,0,0,0,22,0,0,0,67,0,0,0,0,23,0
2015-11-29,22,0,62,28,32,27,0,0,69,0,0,0,0,46,0
2015-12-06,23,0,0,0,22,27,0,0,69,0,0,0,0,84,0
2015-12-13,0,0,0,0,0,28,69,0,0,0,0,0,0,25,0
2015-12-20,28,0,0,0,0,50,82,0,0,0,0,0,0,29,0
2015-12-27,25,0,0,48,25,31,0,0,0,0,0,0,0,45,0
2016-01-03,16,41,0,21,32,39,0,0,0,0,0,51,0,63,0
2016-01-10,0,40,0,20,24,19,0,0,49,0,0,0,0,28,0
2016-01-17,16,41,0,20,16,39,0,0,50,0,0,0,0,69,0
2016-01-24,16,0,45,20,16,0,0,0,0,0,0,0,0,17,0
2016-01-31,17,42,91,21,0,20,0,44,0,0,0,0,66,0,0
2016-02-07,0,0,45,21,24,0,49,0,50,48,0,0,0,35,0
2016-02-14,16,42,0,21,22,20,0,0,0,48,46,0,65,41,0
2016-02-21,0,41,44,0,0,19,0,43,49,0,0,0,0,34,0
2016-02-28,49,0,44,31,16,20,0,0,0,0,0,0,0,34,55
2016-03-06,16,84,0,21,33,40,49,0,51,0,0,0,65,0,0
2016-03-13,25,0,0,42,0,0,0,0,0,0,0,0,67,18,0
2016-03-20,50,42,68,31,24,40,0,44,76,0,0,0,0,18,56
2016-03-27,36,0,49,0,18,22,0,0,0,0,0,0,0,19,0
2016-04-03,17,43,0,0,17,21,0,0,0,50,48,0,0,37,0
2016-04-10,25,42,46,21,16,20,0,45,51,0,0,0,67,18,0
2016-04-17,0,0,0,21,41,40,0,44,0,48,0,0,0,18,0
2016-04-24,24,0,44,20,0,29,0,0,0,0,0,49,0,34,0
