Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),Parque de El Retiro: (Dinamarca),puerta del sol: (Dinamarca),gran via: (Dinamarca),Museo Nacional Thyssen-Bornemisza: (Dinamarca),cibeles: (Dinamarca),El Rastro: (Dinamarca),Plaza de Toros de Las Ventas: (Dinamarca),Chueca: (Dinamarca),callao: (Dinamarca)
2015-08-02,0,0,0,0,0,0,0,54,0,0,34
2015-08-09,0,45,0,0,62,0,0,0,0,0,65
2015-08-16,0,0,0,0,0,47,45,0,53,0,0
2015-08-23,50,0,0,0,29,45,0,47,51,0,0
2015-08-30,0,0,0,0,29,0,43,0,0,0,30
2015-09-06,51,65,0,52,30,0,0,0,0,48,46
2015-09-13,0,0,0,0,43,0,0,0,50,0,59
2015-09-20,0,63,0,52,29,0,0,0,50,0,0
2015-09-27,26,44,0,0,50,0,45,0,0,0,63
2015-10-04,34,42,0,51,0,46,0,0,51,0,60
2015-10-11,27,46,0,55,47,0,0,52,0,0,66
2015-10-18,0,0,0,0,28,44,0,0,0,0,30
2015-10-25,24,0,0,0,0,0,41,0,0,45,0
2015-11-01,24,0,26,49,28,43,0,0,0,0,58
2015-11-08,0,0,0,50,0,0,0,0,0,0,29
2015-11-15,24,41,0,49,0,0,0,0,0,0,29
2015-11-22,24,40,0,0,28,0,0,0,48,0,29
2015-11-29,24,0,0,0,27,43,0,0,48,0,28
2015-12-06,23,0,0,48,27,0,0,0,0,0,28
2015-12-13,25,0,0,51,0,0,0,0,0,0,30
2015-12-20,31,0,0,0,0,56,53,0,62,0,0
2015-12-27,29,0,0,0,34,0,0,0,60,0,70
2016-01-03,26,44,0,53,30,0,0,0,0,0,31
2016-01-10,26,44,0,53,30,47,0,0,0,0,32
2016-01-17,40,0,0,0,47,0,0,0,0,0,43
2016-01-24,79,88,0,0,30,0,0,0,0,0,63
2016-01-31,26,44,28,0,60,47,0,0,0,0,47
2016-02-07,79,0,0,0,46,48,0,100,0,0,75
2016-02-14,38,0,0,0,0,0,0,0,57,52,68
2016-02-21,26,44,0,54,0,48,0,0,0,0,32
2016-02-28,39,0,0,53,0,0,45,0,0,0,31
2016-03-06,26,43,28,0,30,47,0,0,0,0,31
2016-03-13,27,45,0,55,31,0,0,0,54,0,32
2016-03-20,60,50,0,61,0,0,0,0,0,0,36
2016-03-27,27,0,0,55,31,48,0,50,0,0,0
2016-04-03,52,0,0,53,60,47,45,0,0,0,42
2016-04-10,26,0,0,0,31,0,0,0,0,0,32
2016-04-17,54,91,29,0,31,0,0,0,55,0,65
2016-04-24,39,42,28,0,60,0,0,0,0,0,31
2016-05-01,29,0,0,60,34,53,0,0,0,54,0
2016-05-08,0,93,0,0,32,50,0,0,0,0,33
2016-05-15,0,46,0,54,31,0,0,0,0,0,0
2016-05-22,0,47,0,57,32,49,48,0,0,0,0
2016-05-29,28,0,0,0,32,50,0,0,0,0,0
2016-06-05,27,0,30,0,32,50,0,0,0,0,33
2016-06-12,27,45,0,54,31,0,0,0,0,0,32
2016-06-19,28,0,0,0,33,0,49,54,0,0,0
2016-06-26,0,0,31,58,100,0,0,0,0,0,0
2016-07-03,0,0,0,0,35,0,0,0,0,0,37
2016-07-10,0,53,0,65,37,57,0,0,0,0,38
2016-07-17,47,59,38,0,41,0,0,0,0,0,0
2016-07-24,66,0,0,0,38,0,0,0,67,0,0
2016-07-31,31,51,0,0,0,0,0,0,0,0,37
2016-08-07,29,0,0,0,35,0,51,0,0,55,36
2016-08-14,30,100,0,61,35,0,0,57,0,0,0
2016-08-21,30,51,0,60,35,0,0,0,0,0,37
2016-08-28,28,0,61,58,0,0,0,0,0,0,0
2016-09-04,29,0,0,0,45,0,100,0,0,0,35
2016-09-11,29,0,0,60,34,53,0,0,0,0,35
2016-09-18,29,48,31,0,66,52,50,0,0,53,0
2016-09-25,0,0,0,0,33,0,0,0,57,0,0
2016-10-02,42,47,0,0,33,100,0,0,0,0,0
2016-10-09,43,71,0,58,66,0,0,54,0,53,34
2016-10-16,61,0,0,0,0,0,0,0,0,0,37
2016-10-23,28,0,31,0,33,51,0,0,58,0,86
2016-10-30,56,0,0,57,0,50,0,0,0,0,33
2016-11-06,55,46,0,0,0,0,0,0,0,0,33
2016-11-13,0,0,0,56,95,50,0,0,0,0,66
2016-11-20,0,0,0,0,62,0,0,0,0,0,0
2016-11-27,27,0,58,0,0,0,0,0,0,100,33
2016-12-04,26,0,0,53,0,0,0,0,0,0,31
2016-12-11,53,44,0,0,31,0,0,0,0,0,48
2016-12-18,50,51,0,61,35,54,0,0,0,0,36
2016-12-25,31,51,0,0,0,0,0,0,0,0,37
2017-01-01,27,0,29,0,31,0,0,0,54,0,53
2017-01-08,26,0,0,52,0,0,0,0,0,0,41
2017-01-15,43,43,0,0,30,0,0,0,0,48,31
2017-01-22,39,43,0,0,45,47,0,0,0,0,47
2017-01-29,51,43,28,0,30,0,0,0,0,0,0
2017-02-05,39,44,0,54,40,0,0,0,0,0,47
2017-02-12,56,0,0,57,32,0,0,0,0,0,50
2017-02-19,51,0,0,52,39,46,0,0,0,0,31
2017-02-26,25,41,0,0,28,0,0,46,0,45,59
2017-03-05,37,41,26,50,28,44,0,0,0,0,0
2017-03-12,24,0,0,50,28,44,0,46,49,0,39
2017-03-19,38,0,27,51,0,45,0,0,51,0,46
2017-03-26,38,0,0,0,45,46,0,0,52,48,31
2017-04-02,26,0,28,52,60,0,45,0,0,0,93
2017-04-09,28,47,0,0,33,0,0,0,0,0,34
2017-04-16,0,44,0,0,0,46,0,0,0,0,41
2017-04-23,24,41,0,50,57,0,0,0,0,0,0
2017-04-30,51,43,0,0,0,46,0,0,0,0,0
2017-05-07,39,0,0,0,0,46,0,49,52,0,31
2017-05-14,28,47,0,0,0,49,0,0,56,0,33
2017-05-21,30,51,0,0,35,0,52,0,61,0,36
2017-05-28,0,0,0,0,32,0,0,0,0,0,0
2017-06-04,27,0,29,0,31,0,46,0,0,0,48
2017-06-11,27,45,0,55,31,48,0,51,0,0,0
2017-06-18,0,0,0,0,32,0,0,0,0,51,34
2017-06-25,0,98,0,59,34,0,0,0,0,54,0
2017-07-02,30,0,0,0,47,0,0,0,0,0,0
2017-07-09,31,79,0,0,36,0,0,0,64,0,38
2017-07-16,63,53,0,0,73,0,0,0,0,0,38
2017-07-23,49,50,0,0,0,0,0,0,0,0,0
2017-07-30,37,46,0,0,32,49,0,0,0,0,33
2017-08-06,27,46,0,55,31,0,0,0,0,0,66
2017-08-13,27,45,0,54,31,0,0,0,0,0,0
2017-08-20,51,0,0,0,30,47,0,0,0,0,0
2017-08-27,39,44,0,53,0,0,45,0,0,0,31
2017-09-03,25,42,27,52,29,0,0,0,0,0,30
2017-09-10,25,42,0,0,0,0,44,0,0,0,45
2017-09-17,26,0,0,0,30,0,0,0,52,0,31
2017-09-24,50,42,0,51,0,0,0,0,0,0,60
2017-10-01,24,41,26,0,28,0,0,47,49,0,44
2017-10-08,26,43,0,0,60,46,44,49,0,47,31
2017-10-15,0,46,0,0,0,50,0,0,0,51,33
2017-10-22,25,42,0,51,29,0,0,0,51,46,30
2017-10-29,0,41,0,0,56,0,0,0,0,0,29
2017-11-05,25,41,0,49,0,0,0,0,0,0,29
2017-11-12,24,0,0,50,0,0,0,0,0,0,74
