Museo Nacional del Prado: (Francia),plaza mayor: (Francia),Parque de El Retiro: (Francia),puerta del sol: (Francia),gran via: (Francia),Museo Nacional Thyssen-Bornemisza: (Francia),templo de debod: (Francia),Catedral de Santa María la Real de la Almudena: (Francia),Plaza de Cibeles: (Francia),Palacio de Cristal: (Francia),Puerta de Alcalá: (Francia),El Rastro: (Francia),Plaza de Toros de Las Ventas: (Francia),Chueca: (Francia),san gines: (Francia),callao: (Francia),Calle de Serrano: (Francia),date
4,35,26,31,69,41,42,27,77,34,62,71,45,46,36,62,43,2015-08-01
6,54,44,22,70,71,37,23,67,45,27,40,68,45,34,46,72,2015-09-01
7,53,86,23,68,83,52,66,65,29,26,79,43,44,34,54,71,2015-10-01
7,47,42,30,50,51,35,51,63,55,25,65,36,54,0,40,53,2015-11-01
6,68,33,48,61,67,39,74,53,32,43,44,27,66,38,36,40,2015-12-01
7,63,43,45,78,68,35,37,41,28,63,78,37,43,51,46,47,2016-01-01
10,52,33,38,81,92,70,44,32,47,25,40,45,29,34,41,36,2016-02-01
9,73,100,44,76,80,72,45,65,29,26,40,50,44,69,54,36,2016-03-01
16,90,53,45,69,83,36,33,66,30,27,60,82,23,35,64,37,2016-04-01
11,69,73,52,53,100,38,44,64,63,80,100,100,86,36,38,78,2016-05-01
9,58,46,25,61,83,37,33,68,60,27,42,52,23,36,33,71,2016-06-01
7,55,79,75,80,85,0,54,39,35,29,50,47,50,43,56,43,2016-07-01
9,40,74,35,87,77,0,68,44,39,36,54,51,27,46,52,0,2016-08-01
7,44,24,31,64,77,40,36,36,32,29,43,52,25,77,35,41,2016-09-01
7,64,48,31,82,100,39,49,36,48,29,65,41,73,37,68,60,2016-10-01
8,60,67,35,79,59,36,47,34,30,53,83,38,68,36,32,55,2016-11-01
100,51,50,74,52,34,37,25,67,100,45,45,29,25,39,80,41,2016-12-01
6,57,43,51,67,44,36,23,47,42,52,58,37,57,50,71,36,2017-01-01
8,49,65,39,55,54,70,100,33,83,52,41,46,42,69,46,73,2017-02-01
9,69,85,63,73,69,69,56,49,44,79,80,60,65,34,54,35,2017-03-01
10,62,68,38,89,44,69,68,78,60,53,77,51,45,67,59,37,2017-04-01
8,45,53,30,58,51,40,69,72,56,54,67,83,34,100,53,56,2017-05-01
4,46,44,37,59,35,0,31,100,40,27,61,64,67,35,53,50,2017-06-01
5,47,32,44,74,49,0,73,67,31,28,85,48,54,75,50,58,2017-07-01
6,58,46,48,63,46,60,49,73,49,30,63,31,48,37,26,41,2017-08-01
6,39,22,25,56,45,34,22,63,57,26,80,55,33,34,56,52,2017-09-01
7,42,43,43,62,77,35,54,62,57,25,39,27,43,67,55,35,2017-10-01
7,64,82,27,66,43,50,42,61,27,50,38,36,52,48,37,34,2017-11-01
6,58,65,56,56,45,66,45,64,31,26,73,52,65,64,66,39,2017-12-01
5,41,61,43,100,49,33,62,70,27,24,37,35,100,32,48,33,2018-01-01
8,64,47,47,77,54,51,42,46,27,49,75,42,43,48,59,51,2018-02-01
11,64,61,27,54,43,67,42,91,27,25,38,64,42,32,43,34,2018-03-01
9,66,70,58,76,77,34,52,45,30,100,58,78,43,49,47,51,2018-04-01
8,78,91,32,80,64,52,22,100,29,50,59,82,33,51,29,70,2018-05-01
5,39,41,27,52,54,0,42,45,27,47,53,30,30,49,39,67,2018-06-01
6,45,44,42,59,46,36,23,49,42,26,54,38,56,35,68,37,2018-07-01
5,43,46,46,79,97,52,38,47,59,50,85,30,47,70,32,37,2018-08-01
7,49,42,32,73,44,34,64,52,55,50,76,45,43,65,35,69,2018-09-01
8,52,31,20,67,33,34,64,62,69,25,75,36,42,49,50,35,2018-10-01
6,61,40,36,37,42,0,62,44,27,48,37,35,21,32,57,50,2018-11-01
8,45,55,53,73,50,49,68,63,42,38,38,38,62,74,70,37,2018-12-01
7,46,52,37,62,31,100,27,75,27,23,86,34,40,31,63,33,2019-01-01
9,49,62,43,56,43,34,85,62,28,25,77,35,84,54,59,49,2019-02-01
9,69,62,46,77,57,83,42,60,28,48,76,54,35,33,39,35,2019-03-01
9,100,56,32,72,28,34,65,76,54,37,77,60,49,63,98,34,2019-04-01
9,90,61,39,64,50,33,34,76,40,48,37,68,51,63,57,34,2019-05-01
6,66,40,31,63,72,33,21,89,52,36,55,52,42,63,50,100,2019-06-01
5,55,43,54,66,33,70,33,78,28,26,54,53,33,65,75,51,2019-07-01
5,93,43,46,75,45,35,22,48,42,51,79,46,66,68,48,36,2019-08-01
6,50,47,27,74,69,32,60,57,74,23,35,33,59,30,37,64,2019-09-01
8,51,56,33,55,40,30,29,69,37,34,69,47,38,59,79,47,2019-10-01
10,57,37,31,78,32,30,50,40,35,22,33,32,28,43,39,31,2019-11-01
7,37,42,63,53,38,32,46,93,36,43,65,33,53,97,42,34,2019-12-01
9,48,44,29,56,37,29,37,88,24,21,32,45,71,56,50,29,2020-01-01
5,52,35,25,59,37,57,23,52,46,22,65,37,30,56,51,59,2020-02-01
8,64,57,22,41,36,52,43,63,34,30,62,29,29,49,36,53,2020-03-01
5,30,47,16,21,50,26,32,47,21,19,59,20,16,24,28,26,2020-04-01
6,42,42,19,17,54,27,25,59,40,39,30,17,17,27,20,26,2020-05-01
5,19,26,21,18,18,0,17,35,23,19,30,30,25,27,25,29,2020-06-01
2,37,37,100,76,28,30,38,55,25,21,32,32,27,0,100,30,2020-07-01
