Semana,Museo Nacional del Prado: (Francia),plaza mayor: (Francia),Parque de El Retiro: (Francia),puerta del sol: (Francia),gran via: (Francia),Museo Nacional Thyssen-Bornemisza: (Francia),templo de debod: (Francia),Catedral de Santa María la Real de la Almudena: (Francia),Plaza de Cibeles: (Francia),Palacio de Cristal: (Francia),Puerta de Alcalá: (Francia),El Rastro: (Francia),Plaza de Toros de Las Ventas: (Francia),Chueca: (Francia),san gines: (Francia),callao: (Francia),Calle de Serrano: (Francia)
2015-08-02,3,29,26,22,69,27,0,27,77,34,0,71,45,26,0,62,43
2015-08-09,3,23,0,31,41,41,42,27,39,0,31,47,45,26,0,25,0
2015-08-16,3,35,0,27,54,27,0,26,38,0,62,47,33,26,0,49,0
2015-08-23,4,31,0,8,61,24,37,0,0,0,0,0,20,35,36,25,0
2015-08-30,2,15,23,24,54,32,0,24,68,0,27,63,20,46,36,22,0
2015-09-06,5,41,0,22,30,71,37,23,67,45,27,0,68,23,0,43,0
2015-09-13,6,29,43,13,17,45,35,22,32,0,26,0,18,22,0,46,36
2015-09-20,5,25,22,16,70,46,0,0,65,0,26,0,25,45,0,32,37
2015-09-27,6,54,44,21,23,54,35,22,49,0,26,40,31,22,34,36,72
2015-10-04,6,53,43,21,46,83,52,22,32,29,26,0,43,33,34,26,0
2015-10-11,4,36,36,20,46,69,0,34,65,29,0,60,37,29,0,39,36
2015-10-18,5,24,32,23,68,83,35,44,0,0,26,39,18,33,34,54,0
2015-10-25,7,34,86,20,46,52,0,66,0,29,0,79,37,44,33,20,71
2015-11-01,6,29,21,25,22,45,0,43,63,28,25,58,27,43,0,35,35
2015-11-08,6,24,42,28,34,33,35,51,32,28,25,65,36,43,0,40,53
2015-11-15,6,42,31,30,33,44,34,22,31,42,0,39,18,54,0,20,35
2015-11-22,6,47,21,15,50,44,0,21,31,42,0,38,24,21,0,35,35
2015-11-29,7,42,35,22,44,51,34,0,31,55,25,38,36,28,0,37,0
2015-12-06,5,64,21,17,61,37,34,32,31,28,0,38,27,21,33,25,0
2015-12-13,5,68,29,33,29,30,35,44,32,0,0,0,19,66,34,36,36
2015-12-20,6,22,33,12,32,26,0,74,36,0,29,44,21,25,38,26,40
2015-12-27,5,16,24,48,44,67,39,0,53,32,43,44,21,0,38,34,39
2016-01-03,6,42,42,45,78,59,34,0,41,28,25,0,36,43,33,40,0
2016-01-10,5,57,42,28,39,59,34,32,31,28,0,58,36,32,33,30,0
2016-01-17,5,63,36,31,45,68,0,37,0,28,0,78,31,22,51,31,47
2016-01-24,4,22,43,23,57,23,35,22,31,28,0,40,37,43,0,46,0
2016-01-31,7,43,42,25,34,22,34,22,31,28,63,0,18,32,33,20,35
2016-02-07,9,28,21,17,50,74,34,43,0,47,25,38,45,21,33,35,35
2016-02-14,6,34,29,29,29,92,36,22,32,0,0,40,37,22,0,41,36
2016-02-21,6,29,33,26,81,57,70,44,0,29,0,40,31,22,34,41,36
2016-02-28,10,52,32,38,34,67,34,22,31,0,25,39,27,29,0,30,0
2016-03-06,9,73,33,44,35,80,0,0,0,0,26,0,50,22,34,46,36
2016-03-13,9,55,100,26,76,62,72,23,0,29,26,0,29,23,0,31,0
2016-03-20,9,59,22,31,64,77,0,45,32,29,0,40,44,44,69,31,0
2016-03-27,8,49,44,34,64,77,72,30,65,29,0,0,31,33,0,54,36
2016-04-03,9,24,36,34,69,46,35,33,32,0,26,40,75,22,0,62,0
2016-04-10,6,90,45,27,47,71,36,23,66,30,27,41,45,23,0,64,0
2016-04-17,9,40,53,45,59,83,0,23,0,0,27,0,77,23,0,48,37
2016-04-24,16,45,33,34,58,39,0,23,33,0,0,60,82,23,35,31,0
2016-05-01,10,69,24,42,38,50,38,24,35,63,28,44,61,32,0,17,78
2016-05-08,9,29,73,21,41,100,0,22,43,0,0,100,100,22,0,31,72
2016-05-15,11,67,68,52,24,60,0,0,34,0,27,0,85,23,36,38,37
2016-05-22,9,64,22,29,53,62,0,0,33,30,80,40,76,34,0,16,36
2016-05-29,6,48,22,26,46,60,0,44,64,43,26,0,43,86,0,31,36
2016-06-05,9,46,38,22,42,83,0,31,34,60,27,42,52,23,36,27,37
2016-06-12,7,58,32,18,28,45,0,33,0,29,0,0,18,22,0,20,71
2016-06-19,4,31,0,25,61,64,0,0,0,0,27,42,40,23,0,33,38
2016-06-26,5,39,46,24,54,48,37,23,68,30,27,0,0,23,36,27,38
2016-07-03,3,38,24,46,58,85,0,25,36,0,29,0,28,50,0,35,0
2016-07-10,5,41,79,25,21,28,0,0,39,35,0,48,45,26,41,44,0
2016-07-17,4,41,26,25,35,42,0,0,39,0,0,0,46,0,0,38,43
2016-07-24,4,35,40,75,28,46,0,54,39,0,0,48,45,27,41,56,0
2016-07-31,7,55,27,45,80,38,0,28,0,0,0,50,47,28,43,45,0
2016-08-07,9,40,0,35,87,41,0,0,44,0,36,0,26,0,0,21,0
2016-08-14,6,40,74,35,39,62,0,30,44,39,0,54,51,0,46,52,0
2016-08-21,5,24,27,25,35,28,0,68,40,0,0,49,0,27,42,25,0
2016-08-28,7,16,49,30,45,77,0,25,36,0,0,45,21,25,0,23,0
2016-09-04,4,38,24,26,26,26,40,25,36,0,29,0,42,25,38,35,41
2016-09-11,5,16,24,25,44,62,0,36,0,32,28,0,30,0,37,17,39
2016-09-18,7,44,24,12,64,77,40,0,36,32,29,0,52,25,77,26,0
2016-09-25,5,16,24,31,44,42,39,24,35,0,28,43,41,24,0,34,0
2016-10-02,6,43,24,9,38,59,39,49,36,48,29,44,41,57,0,28,60
2016-10-09,7,43,24,31,82,100,0,37,0,0,28,43,41,24,0,68,0
2016-10-16,7,64,48,28,69,67,39,25,35,32,0,65,41,73,37,34,0
2016-10-23,6,32,36,20,63,50,0,36,0,31,28,43,41,32,0,39,0
2016-10-30,6,24,47,17,44,33,38,24,35,0,28,0,27,24,37,34,0
2016-11-06,6,20,46,16,48,32,0,47,34,30,0,42,20,47,36,24,0
2016-11-13,7,31,23,35,79,56,0,47,34,0,27,83,20,0,0,16,38
2016-11-20,8,60,30,21,29,54,36,23,0,0,53,0,0,0,35,21,0
2016-11-27,8,52,67,34,65,59,0,23,33,30,27,41,38,68,35,32,55
2016-12-04,6,29,22,28,40,34,0,22,48,29,26,0,19,22,0,36,0
2016-12-11,4,51,23,40,48,24,37,23,67,30,0,41,29,0,0,21,37
2016-12-18,100,40,48,11,38,25,0,0,35,32,0,0,20,24,37,59,40
2016-12-25,4,50,50,74,52,26,0,25,37,100,45,45,21,25,39,80,41
2017-01-01,4,45,33,40,35,35,36,23,0,0,27,0,29,57,0,64,0
2017-01-08,6,52,21,28,67,44,0,22,47,42,0,39,0,43,0,38,36
2017-01-15,5,54,43,23,63,34,35,22,43,0,52,0,37,22,0,46,0
2017-01-22,5,57,43,51,34,22,35,22,47,0,0,0,37,29,50,71,35
2017-01-29,3,47,28,30,39,44,0,22,31,28,25,58,24,43,0,40,0
2017-02-05,6,34,65,39,35,23,70,100,32,29,26,40,46,22,0,46,36
2017-02-12,6,30,44,31,35,46,0,22,33,29,26,41,19,34,0,21,73
2017-02-19,8,49,55,31,47,54,0,30,32,59,52,0,25,22,69,31,0
2017-02-26,6,42,35,29,55,22,0,21,31,83,37,0,30,42,0,29,34
2017-03-05,9,42,42,25,55,44,0,21,31,41,25,76,30,42,33,54,35
2017-03-12,7,38,85,25,56,45,69,33,31,28,25,39,45,22,0,25,35
2017-03-19,5,28,42,25,73,0,35,22,47,28,25,0,60,65,0,50,35
2017-03-26,6,69,66,63,52,69,35,56,49,44,79,80,38,37,34,36,0
2017-04-02,7,25,37,21,89,39,36,68,0,29,53,40,51,45,35,32,0
2017-04-09,10,56,68,38,84,36,37,23,34,30,27,42,48,23,35,24,37
2017-04-16,7,61,23,16,42,24,0,23,34,60,27,0,39,45,36,59,0
2017-04-23,5,29,56,23,78,22,34,33,31,0,0,39,42,43,67,25,35
2017-04-30,6,62,42,20,22,44,69,22,78,56,38,77,30,21,33,30,0
2017-05-07,8,33,53,30,28,45,35,43,31,56,0,39,61,0,100,20,0
2017-05-14,8,35,37,19,53,35,36,69,33,30,0,41,45,23,35,16,37
2017-05-21,5,44,33,26,58,51,40,25,72,33,0,67,56,33,38,35,41
2017-05-28,7,45,30,19,47,35,0,31,66,29,54,41,83,34,0,53,56
2017-06-04,4,46,30,37,59,0,0,0,100,0,27,0,64,23,0,24,50
2017-06-11,3,40,22,19,30,24,0,31,66,40,27,0,51,23,35,53,0
2017-06-18,4,15,0,12,29,31,0,23,65,0,26,61,64,67,35,21,37
2017-06-25,4,35,44,26,41,35,0,23,65,30,27,40,28,45,0,39,0
2017-07-02,3,47,23,11,18,24,0,31,57,31,0,42,39,54,36,49,38
2017-07-09,5,24,32,39,44,33,0,73,0,0,0,43,48,24,75,25,39
2017-07-16,4,26,23,42,74,25,0,24,35,31,0,43,30,24,0,50,0
2017-07-23,5,36,0,44,62,24,0,23,67,30,0,85,26,0,36,38,38
2017-07-30,4,37,23,30,49,49,0,24,0,0,28,0,40,36,37,50,58
2017-08-06,5,58,36,48,63,37,38,49,35,31,28,43,30,48,37,17,39
2017-08-13,6,33,25,21,59,39,60,25,73,49,30,45,28,25,0,17,41
