Categoría: Todas las categorías

Semana,plaza mayor: (Francia)
2015-08-02,29
2015-08-09,23
2015-08-16,35
2015-08-23,31
2015-08-30,15
2015-09-06,41
2015-09-13,29
2015-09-20,25
2015-09-27,54
2015-10-04,53
2015-10-11,36
2015-10-18,24
2015-10-25,34
2015-11-01,29
2015-11-08,24
2015-11-15,42
2015-11-22,47
2015-11-29,42
2015-12-06,64
2015-12-13,68
2015-12-20,22
2015-12-27,16
2016-01-03,42
2016-01-10,57
2016-01-17,63
2016-01-24,22
2016-01-31,43
2016-02-07,28
2016-02-14,34
2016-02-21,29
2016-02-28,52
2016-03-06,73
2016-03-13,55
2016-03-20,59
2016-03-27,49
2016-04-03,24
2016-04-10,90
2016-04-17,40
2016-04-24,45
2016-05-01,69
2016-05-08,29
2016-05-15,67
2016-05-22,64
2016-05-29,48
2016-06-05,46
2016-06-12,58
2016-06-19,31
2016-06-26,39
2016-07-03,38
2016-07-10,41
2016-07-17,41
2016-07-24,35
2016-07-31,55
2016-08-07,40
2016-08-14,40
2016-08-21,24
2016-08-28,16
2016-09-04,38
2016-09-11,16
2016-09-18,44
2016-09-25,16
2016-10-02,43
2016-10-09,43
2016-10-16,64
2016-10-23,32
2016-10-30,24
2016-11-06,20
2016-11-13,31
2016-11-20,60
2016-11-27,52
2016-12-04,29
2016-12-11,51
2016-12-18,40
2016-12-25,50
2017-01-01,45
2017-01-08,52
2017-01-15,54
2017-01-22,57
2017-01-29,47
2017-02-05,34
2017-02-12,30
2017-02-19,49
2017-02-26,42
2017-03-05,42
2017-03-12,38
2017-03-19,28
2017-03-26,69
2017-04-02,25
2017-04-09,56
2017-04-16,61
2017-04-23,29
2017-04-30,62
2017-05-07,33
2017-05-14,35
2017-05-21,44
2017-05-28,45
2017-06-04,46
2017-06-11,40
2017-06-18,15
2017-06-25,35
2017-07-02,47
2017-07-09,24
2017-07-16,26
2017-07-23,36
2017-07-30,37
2017-08-06,58
2017-08-13,33
2017-08-20,26
2017-08-27,22
2017-09-03,38
2017-09-10,33
2017-09-17,39
2017-09-24,28
2017-10-01,42
2017-10-08,19
2017-10-15,38
2017-10-22,24
2017-10-29,33
2017-11-05,64
2017-11-12,48
2017-11-19,46
2017-11-26,27
2017-12-03,32
2017-12-10,32
2017-12-17,58
2017-12-24,37
2017-12-31,22
2018-01-07,34
2018-01-14,31
2018-01-21,40
2018-01-28,41
2018-02-04,36
2018-02-11,55
2018-02-18,63
2018-02-25,64
2018-03-04,59
2018-03-11,64
2018-03-18,55
2018-03-25,55
2018-04-01,47
2018-04-08,64
2018-04-15,35
2018-04-22,47
2018-04-29,66
2018-05-06,39
2018-05-13,78
2018-05-20,78
2018-05-27,54
2018-06-03,32
2018-06-10,39
2018-06-17,28
2018-06-24,28
2018-07-01,31
2018-07-08,19
2018-07-15,45
2018-07-22,30
2018-07-29,37
2018-08-05,30
2018-08-12,36
2018-08-19,38
2018-08-26,43
2018-09-02,21
2018-09-09,33
2018-09-16,19
2018-09-23,14
2018-09-30,49
2018-10-07,51
2018-10-14,28
2018-10-21,23
2018-10-28,52
2018-11-04,61
2018-11-11,32
2018-11-18,31
2018-11-25,27
2018-12-02,37
2018-12-09,32
2018-12-16,24
2018-12-23,40
2018-12-30,45
2019-01-06,41
2019-01-13,36
2019-01-20,35
2019-01-27,46
2019-02-03,49
2019-02-10,49
2019-02-17,38
2019-02-24,41
2019-03-03,49
2019-03-10,68
2019-03-17,61
2019-03-24,23
2019-03-31,69
2019-04-07,74
2019-04-14,24
2019-04-21,28
2019-04-28,100
2019-05-05,90
2019-05-12,54
2019-05-19,54
2019-05-26,55
2019-06-02,59
2019-06-09,66
2019-06-16,41
2019-06-23,32
2019-06-30,31
2019-07-07,34
2019-07-14,55
2019-07-21,43
2019-07-28,44
2019-08-04,44
2019-08-11,34
2019-08-18,93
2019-08-25,27
2019-09-01,46
2019-09-08,22
2019-09-15,35
2019-09-22,34
2019-09-29,50
2019-10-06,38
2019-10-13,51
2019-10-20,33
2019-10-27,33
2019-11-03,41
2019-11-10,25
2019-11-17,57
2019-11-24,18
2019-12-01,36
2019-12-08,36
2019-12-15,37
2019-12-22,28
2019-12-29,35
2020-01-05,16
2020-01-12,43
2020-01-19,48
2020-01-26,43
2020-02-02,52
2020-02-09,28
2020-02-16,48
2020-02-23,29
2020-03-01,46
2020-03-08,23
2020-03-15,64
2020-03-22,39
2020-03-29,21
2020-04-05,21
2020-04-12,16
2020-04-19,11
2020-04-26,30
2020-05-03,20
2020-05-10,21
2020-05-17,27
2020-05-24,22
2020-05-31,42
2020-06-07,16
2020-06-14,17
2020-06-21,12
2020-06-28,19
2020-07-05,28
2020-07-12,25
2020-07-19,37
2020-07-26,0
