Categoría: Todas las categorías

Semana,gran via: (Francia)
2015-08-02,69
2015-08-09,41
2015-08-16,54
2015-08-23,61
2015-08-30,54
2015-09-06,30
2015-09-13,17
2015-09-20,70
2015-09-27,23
2015-10-04,46
2015-10-11,46
2015-10-18,68
2015-10-25,46
2015-11-01,22
2015-11-08,34
2015-11-15,33
2015-11-22,50
2015-11-29,44
2015-12-06,61
2015-12-13,29
2015-12-20,32
2015-12-27,44
2016-01-03,78
2016-01-10,39
2016-01-17,45
2016-01-24,57
2016-01-31,34
2016-02-07,50
2016-02-14,29
2016-02-21,81
2016-02-28,34
2016-03-06,35
2016-03-13,76
2016-03-20,64
2016-03-27,64
2016-04-03,69
2016-04-10,47
2016-04-17,59
2016-04-24,58
2016-05-01,38
2016-05-08,41
2016-05-15,24
2016-05-22,53
2016-05-29,46
2016-06-05,42
2016-06-12,28
2016-06-19,61
2016-06-26,54
2016-07-03,58
2016-07-10,21
2016-07-17,35
2016-07-24,28
2016-07-31,80
2016-08-07,87
2016-08-14,39
2016-08-21,35
2016-08-28,45
2016-09-04,26
2016-09-11,44
2016-09-18,64
2016-09-25,44
2016-10-02,38
2016-10-09,82
2016-10-16,69
2016-10-23,63
2016-10-30,44
2016-11-06,48
2016-11-13,79
2016-11-20,29
2016-11-27,65
2016-12-04,40
2016-12-11,48
2016-12-18,38
2016-12-25,52
2017-01-01,35
2017-01-08,67
2017-01-15,63
2017-01-22,34
2017-01-29,39
2017-02-05,35
2017-02-12,35
2017-02-19,47
2017-02-26,55
2017-03-05,55
2017-03-12,56
2017-03-19,73
2017-03-26,52
2017-04-02,89
2017-04-09,84
2017-04-16,42
2017-04-23,78
2017-04-30,22
2017-05-07,28
2017-05-14,53
2017-05-21,58
2017-05-28,47
2017-06-04,59
2017-06-11,30
2017-06-18,29
2017-06-25,41
2017-07-02,18
2017-07-09,44
2017-07-16,74
2017-07-23,62
2017-07-30,49
2017-08-06,63
2017-08-13,59
2017-08-20,55
2017-08-27,34
2017-09-03,40
2017-09-10,22
2017-09-17,52
2017-09-24,56
2017-10-01,22
2017-10-08,51
2017-10-15,62
2017-10-22,56
2017-10-29,56
2017-11-05,49
2017-11-12,66
2017-11-19,43
2017-11-26,54
2017-12-03,49
2017-12-10,27
2017-12-17,40
2017-12-24,56
2017-12-31,34
2018-01-07,69
2018-01-14,53
2018-01-21,100
2018-01-28,53
2018-02-04,26
2018-02-11,38
2018-02-18,77
2018-02-25,43
2018-03-04,43
2018-03-11,54
2018-03-18,54
2018-03-25,38
2018-04-01,22
2018-04-08,65
2018-04-15,76
2018-04-22,28
2018-04-29,33
2018-05-06,40
2018-05-13,70
2018-05-20,28
2018-05-27,80
2018-06-03,38
2018-06-10,52
2018-06-17,43
2018-06-24,39
2018-07-01,32
2018-07-08,50
2018-07-15,35
2018-07-22,41
2018-07-29,59
2018-08-05,59
2018-08-12,79
2018-08-19,41
2018-08-26,50
2018-09-02,73
2018-09-09,33
2018-09-16,22
2018-09-23,55
2018-09-30,27
2018-10-07,38
2018-10-14,44
2018-10-21,28
2018-10-28,67
2018-11-04,27
2018-11-11,16
2018-11-18,37
2018-11-25,32
2018-12-02,60
2018-12-09,38
2018-12-16,73
2018-12-23,57
2018-12-30,47
2019-01-06,32
2019-01-13,27
2019-01-20,47
2019-01-27,62
2019-02-03,47
2019-02-10,27
2019-02-17,56
2019-02-24,22
2019-03-03,37
2019-03-10,48
2019-03-17,77
2019-03-24,50
2019-03-31,49
2019-04-07,49
2019-04-14,72
2019-04-21,60
2019-04-28,48
2019-05-05,64
2019-05-12,48
2019-05-19,37
2019-05-26,49
2019-06-02,40
2019-06-09,31
2019-06-16,21
2019-06-23,37
2019-06-30,63
2019-07-07,53
2019-07-14,66
2019-07-21,62
2019-07-28,40
2019-08-04,69
2019-08-11,75
2019-08-18,74
2019-08-25,48
2019-09-01,51
2019-09-08,52
2019-09-15,51
2019-09-22,74
2019-09-29,34
2019-10-06,55
2019-10-13,50
2019-10-20,44
2019-10-27,24
2019-11-03,34
2019-11-10,78
2019-11-17,44
2019-11-24,33
2019-12-01,48
2019-12-08,24
2019-12-15,53
2019-12-22,38
2019-12-29,31
2020-01-05,56
2020-01-12,46
2020-01-19,28
2020-01-26,51
2020-02-02,42
2020-02-09,37
2020-02-16,33
2020-02-23,59
2020-03-01,27
2020-03-08,31
2020-03-15,21
2020-03-22,41
2020-03-29,25
2020-04-05,21
2020-04-12,21
2020-04-19,21
2020-04-26,12
2020-05-03,16
2020-05-10,17
2020-05-17,9
2020-05-24,17
2020-05-31,0
2020-06-07,17
2020-06-14,13
2020-06-21,18
2020-06-28,13
2020-07-05,23
2020-07-12,25
2020-07-19,29
2020-07-26,76
