Categoría: Todas las categorías

Semana,templo de debod: (Francia)
2015-08-02,0
2015-08-09,42
2015-08-16,0
2015-08-23,37
2015-08-30,0
2015-09-06,37
2015-09-13,35
2015-09-20,0
2015-09-27,35
2015-10-04,52
2015-10-11,0
2015-10-18,35
2015-10-25,0
2015-11-01,0
2015-11-08,35
2015-11-15,34
2015-11-22,0
2015-11-29,34
2015-12-06,34
2015-12-13,35
2015-12-20,0
2015-12-27,39
2016-01-03,34
2016-01-10,34
2016-01-17,0
2016-01-24,35
2016-01-31,34
2016-02-07,34
2016-02-14,36
2016-02-21,70
2016-02-28,34
2016-03-06,0
2016-03-13,72
2016-03-20,0
2016-03-27,72
2016-04-03,35
2016-04-10,36
2016-04-17,0
2016-04-24,0
2016-05-01,38
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,37
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,40
2016-09-11,0
2016-09-18,40
2016-09-25,39
2016-10-02,39
2016-10-09,0
2016-10-16,39
2016-10-23,0
2016-10-30,38
2016-11-06,0
2016-11-13,0
2016-11-20,36
2016-11-27,0
2016-12-04,0
2016-12-11,37
2016-12-18,0
2016-12-25,0
2017-01-01,36
2017-01-08,0
2017-01-15,35
2017-01-22,35
2017-01-29,0
2017-02-05,70
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,69
2017-03-19,35
2017-03-26,35
2017-04-02,36
2017-04-09,37
2017-04-16,0
2017-04-23,34
2017-04-30,69
2017-05-07,35
2017-05-14,36
2017-05-21,40
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,38
2017-08-13,60
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,34
2017-10-01,0
2017-10-08,35
2017-10-15,35
2017-10-22,0
2017-10-29,34
2017-11-05,50
2017-11-12,34
2017-11-19,33
2017-11-26,0
2017-12-03,66
2017-12-10,0
2017-12-17,35
2017-12-24,38
2017-12-31,0
2018-01-07,0
2018-01-14,33
2018-01-21,0
2018-01-28,33
2018-02-04,0
2018-02-11,33
2018-02-18,51
2018-02-25,33
2018-03-04,33
2018-03-11,33
2018-03-18,0
2018-03-25,67
2018-04-01,34
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,34
2018-05-06,52
2018-05-13,33
2018-05-20,0
2018-05-27,33
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,36
2018-07-22,0
2018-07-29,36
2018-08-05,36
2018-08-12,0
2018-08-19,0
2018-08-26,52
2018-09-02,0
2018-09-09,34
2018-09-16,34
2018-09-23,34
2018-09-30,0
2018-10-07,33
2018-10-14,34
2018-10-21,34
2018-10-28,34
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,49
2018-12-09,0
2018-12-16,34
2018-12-23,39
2018-12-30,0
2019-01-06,100
2019-01-13,49
2019-01-20,0
2019-01-27,0
2019-02-03,32
2019-02-10,34
2019-02-17,34
2019-02-24,0
2019-03-03,0
2019-03-10,50
2019-03-17,0
2019-03-24,34
2019-03-31,83
2019-04-07,34
2019-04-14,0
2019-04-21,0
2019-04-28,33
2019-05-05,32
2019-05-12,0
2019-05-19,32
2019-05-26,33
2019-06-02,0
2019-06-09,0
2019-06-16,33
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,34
2019-07-28,70
2019-08-04,35
2019-08-11,35
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,32
2019-09-15,0
2019-09-22,30
2019-09-29,0
2019-10-06,0
2019-10-13,30
2019-10-20,0
2019-10-27,30
2019-11-03,30
2019-11-10,0
2019-11-17,0
2019-11-24,29
2019-12-01,29
2019-12-08,29
2019-12-15,30
2019-12-22,0
2019-12-29,32
2020-01-05,29
2020-01-12,28
2020-01-19,29
2020-01-26,28
2020-02-02,0
2020-02-09,57
2020-02-16,29
2020-02-23,28
2020-03-01,41
2020-03-08,27
2020-03-15,52
2020-03-22,25
2020-03-29,51
2020-04-05,26
2020-04-12,0
2020-04-19,0
2020-04-26,24
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,27
2020-05-31,26
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,30
2020-07-19,0
2020-07-26,0
