prado: (Alemania),plaza mayor: (Alemania),el retiro: (Alemania),puerta del sol: (Alemania),gran via: (Alemania),museo thyssen: (Alemania),templo de debod: (Alemania),catedral de la almudena: (Alemania),cibeles: (Alemania),palacio de cristal: (Alemania),puerta de alcala: (Alemania),el rastro: (Alemania),las ventas: (Alemania),chueca: (Alemania),san gines: (Alemania),callao: (Alemania),date
<1,56,88,41,74,0,57,0,45,0,55,57,21,63,59,66,2015-08-01
<1,36,42,50,71,0,56,60,66,75,52,43,29,31,57,40,2015-09-01
<1,35,41,39,62,49,54,58,42,0,50,61,19,58,55,79,2015-10-01
<1,76,100,38,60,48,53,0,85,0,50,81,19,48,55,68,2015-11-01
1,45,60,78,56,50,0,0,26,59,61,47,19,36,67,74,2015-12-01
<1,53,38,18,78,0,0,54,58,45,46,57,34,53,51,65,2016-01-01
<1,65,37,27,99,45,0,54,20,46,0,75,17,79,50,37,2016-02-01
<1,90,38,38,92,48,0,0,31,48,0,41,28,57,54,79,2016-03-01
1,75,78,46,62,44,75,0,29,47,48,78,18,54,53,19,2016-04-01
<1,69,86,38,71,47,56,0,78,48,52,56,37,36,55,50,2016-05-01
<1,100,39,27,62,46,51,0,30,47,46,77,27,28,52,55,2016-06-01
<1,61,42,51,57,0,55,0,33,50,52,41,20,45,57,74,2016-07-01
1,64,45,41,74,55,0,0,45,0,55,67,22,32,62,64,2016-08-01
<1,37,84,40,79,100,0,0,43,50,0,42,39,30,57,62,2016-09-01
<1,54,60,39,77,48,52,0,64,48,100,42,38,44,55,99,2016-10-01
<1,51,79,55,35,46,51,56,21,46,48,40,18,28,53,68,2016-11-01
<1,39,41,63,44,52,50,63,23,0,48,45,0,31,56,75,2016-12-01
<1,41,38,52,65,46,0,0,0,44,47,36,33,39,51,72,2017-01-01
<1,47,74,35,83,43,48,53,19,0,46,37,17,40,100,64,2017-02-01
<1,69,59,51,50,0,51,0,20,47,45,52,51,78,49,82,2017-03-01
<1,81,76,55,77,45,98,0,38,91,46,76,35,27,52,56,2017-04-01
<1,33,52,39,54,43,54,0,97,100,51,58,29,42,53,31,2017-05-01
<1,40,77,27,70,66,50,0,100,47,0,75,35,80,50,94,2017-06-01
<1,42,39,54,67,46,0,0,20,94,0,58,35,54,52,46,2017-07-01
<1,37,73,69,75,67,100,0,20,0,92,38,18,27,52,55,2017-08-01
<1,61,37,26,65,43,48,0,19,84,45,73,25,53,50,71,2017-09-01
<1,40,36,51,63,0,47,51,38,85,89,36,17,50,97,70,2017-10-01
<1,74,68,33,52,41,0,0,37,42,42,36,16,49,46,68,2017-11-01
<1,35,36,53,42,62,0,100,38,49,87,36,24,44,50,70,2017-12-01
<1,57,34,32,59,59,43,47,17,0,42,99,31,24,45,66,2018-01-01
<1,58,34,48,69,80,44,0,18,61,42,34,16,40,45,67,2018-02-01
<1,47,36,51,73,42,89,0,19,43,45,73,39,26,49,51,2018-03-01
<1,56,36,52,63,85,46,51,19,43,45,87,100,61,46,61,2018-04-01
<1,40,68,49,57,43,47,51,37,42,42,48,24,33,94,52,2018-05-01
<1,50,35,49,59,40,87,0,35,40,43,52,31,100,46,69,2018-06-01
<1,41,71,32,54,80,89,49,18,63,44,71,25,25,48,44,2018-07-01
<1,45,71,84,66,42,46,50,36,42,87,35,16,0,47,87,2018-08-01
<1,60,52,25,83,0,45,49,36,81,43,35,40,49,47,68,2018-09-01
<1,30,67,32,61,60,0,0,18,41,41,34,24,33,69,100,2018-10-01
1,29,33,16,57,40,42,46,51,0,79,66,15,48,45,33,2018-11-01
<1,33,33,100,46,40,47,49,17,79,42,69,18,25,44,96,2018-12-01
<1,41,47,22,100,0,0,44,32,75,78,31,22,37,43,69,2019-01-01
<1,57,33,30,49,39,42,0,17,38,79,100,15,45,43,63,2019-02-01
<1,43,97,39,46,40,43,47,34,39,41,49,29,24,45,65,2019-03-01
<1,51,34,50,70,42,45,45,18,41,40,33,22,23,48,64,2019-04-01
<1,42,63,31,62,39,87,45,33,39,41,64,30,47,0,39,2019-05-01
<1,58,64,47,63,38,42,46,34,40,41,99,45,47,88,64,2019-06-01
<1,28,68,33,44,0,88,0,36,38,87,33,16,24,48,67,2019-07-01
<1,21,68,33,44,0,43,0,34,41,0,34,16,36,46,48,2019-08-01
<1,37,32,37,60,77,83,0,33,94,40,53,15,46,43,64,2019-09-01
<1,31,47,45,60,37,40,45,16,38,39,42,14,44,41,68,2019-10-01
<1,34,60,41,63,36,0,43,24,36,74,46,20,43,41,45,2019-11-01
<1,27,49,46,60,37,40,43,32,0,40,90,33,70,47,40,2019-12-01
<1,45,29,20,67,34,37,0,15,50,36,29,20,21,39,57,2020-01-01
<1,32,57,40,42,33,38,0,15,34,0,29,20,31,39,70,2020-02-01
<1,46,42,37,36,31,34,0,15,33,0,26,26,19,75,51,2020-03-01
<1,41,54,31,27,33,33,0,15,34,32,53,25,0,36,45,2020-04-01
<1,24,55,38,26,31,36,39,14,32,33,27,12,19,35,55,2020-05-01
<1,30,27,26,33,0,34,0,14,31,0,41,13,38,36,32,2020-06-01
<1,34,58,14,21,33,0,40,38,36,36,55,27,21,37,22,2020-07-01
