Categoría: Todas las categorías

Semana,el retiro: (Alemania)
2015-08-02,45
2015-08-09,44
2015-08-16,0
2015-08-23,88
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,42
2015-10-04,41
2015-10-11,41
2015-10-18,0
2015-10-25,41
2015-11-01,0
2015-11-08,100
2015-11-15,40
2015-11-22,61
2015-11-29,0
2015-12-06,60
2015-12-13,42
2015-12-20,50
2015-12-27,0
2016-01-03,38
2016-01-10,36
2016-01-17,37
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,37
2016-03-06,38
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,78
2016-04-17,39
2016-04-24,38
2016-05-01,86
2016-05-08,81
2016-05-15,0
2016-05-22,40
2016-05-29,37
2016-06-05,39
2016-06-12,37
2016-06-19,39
2016-06-26,39
2016-07-03,0
2016-07-10,0
2016-07-17,42
2016-07-24,0
2016-07-31,0
2016-08-07,45
2016-08-14,0
2016-08-21,0
2016-08-28,43
2016-09-04,0
2016-09-11,42
2016-09-18,84
2016-09-25,0
2016-10-02,42
2016-10-09,41
2016-10-16,41
2016-10-23,60
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,39
2016-11-27,79
2016-12-04,38
2016-12-11,0
2016-12-18,41
2016-12-25,0
2017-01-01,38
2017-01-08,0
2017-01-15,37
2017-01-22,0
2017-01-29,36
2017-02-05,0
2017-02-12,74
2017-02-19,0
2017-02-26,36
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,59
2017-04-02,76
2017-04-09,39
2017-04-16,0
2017-04-23,72
2017-04-30,0
2017-05-07,37
2017-05-14,39
2017-05-21,0
2017-05-28,52
2017-06-04,38
2017-06-11,39
2017-06-18,77
2017-06-25,0
2017-07-02,39
2017-07-09,38
2017-07-16,39
2017-07-23,38
2017-07-30,38
2017-08-06,37
2017-08-13,0
2017-08-20,0
2017-08-27,73
2017-09-03,0
2017-09-10,36
2017-09-17,37
2017-09-24,35
2017-10-01,0
2017-10-08,36
2017-10-15,0
2017-10-22,35
2017-10-29,0
2017-11-05,68
2017-11-12,34
2017-11-19,0
2017-11-26,0
2017-12-03,35
2017-12-10,35
2017-12-17,0
2017-12-24,0
2017-12-31,36
2018-01-07,34
2018-01-14,33
2018-01-21,0
2018-01-28,33
2018-02-04,0
2018-02-11,34
2018-02-18,34
2018-02-25,33
2018-03-04,34
2018-03-11,0
2018-03-18,34
2018-03-25,36
2018-04-01,0
2018-04-08,35
2018-04-15,36
2018-04-22,34
2018-04-29,0
2018-05-06,36
2018-05-13,68
2018-05-20,0
2018-05-27,35
2018-06-03,35
2018-06-10,33
2018-06-17,34
2018-06-24,34
2018-07-01,0
2018-07-08,0
2018-07-15,35
2018-07-22,71
2018-07-29,36
2018-08-05,35
2018-08-12,35
2018-08-19,35
2018-08-26,71
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,52
2018-09-30,0
2018-10-07,34
2018-10-14,34
2018-10-21,34
2018-10-28,67
2018-11-04,33
2018-11-11,33
2018-11-18,32
2018-11-25,33
2018-12-02,33
2018-12-09,33
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,32
2019-01-13,47
2019-01-20,31
2019-01-27,31
2019-02-03,0
2019-02-10,32
2019-02-17,0
2019-02-24,33
2019-03-03,0
2019-03-10,31
2019-03-17,33
2019-03-24,33
2019-03-31,97
2019-04-07,33
2019-04-14,0
2019-04-21,34
2019-04-28,32
2019-05-05,42
2019-05-12,54
2019-05-19,63
2019-05-26,33
2019-06-02,64
2019-06-09,33
2019-06-16,33
2019-06-23,50
2019-06-30,0
2019-07-07,0
2019-07-14,33
2019-07-21,0
2019-07-28,68
2019-08-04,68
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,32
2019-09-08,0
2019-09-15,32
2019-09-22,32
2019-09-29,0
2019-10-06,47
2019-10-13,0
2019-10-20,0
2019-10-27,30
2019-11-03,29
2019-11-10,30
2019-11-17,60
2019-11-24,30
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,49
2020-01-05,29
2020-01-12,0
2020-01-19,29
2020-01-26,28
2020-02-02,29
2020-02-09,28
2020-02-16,29
2020-02-23,57
2020-03-01,42
2020-03-08,26
2020-03-15,26
2020-03-22,26
2020-03-29,26
2020-04-05,28
2020-04-12,54
2020-04-19,53
2020-04-26,26
2020-05-03,26
2020-05-10,26
2020-05-17,55
2020-05-24,0
2020-05-31,26
2020-06-07,26
2020-06-14,26
2020-06-21,0
2020-06-28,27
2020-07-05,28
2020-07-12,58
2020-07-19,29
2020-07-26,0
