Categoría: Todas las categorías

Semana,puerta del sol: (Alemania)
2015-08-02,0
2015-08-09,0
2015-08-16,21
2015-08-23,41
2015-08-30,31
2015-09-06,0
2015-09-13,20
2015-09-20,50
2015-09-27,30
2015-10-04,19
2015-10-11,19
2015-10-18,0
2015-10-25,39
2015-11-01,19
2015-11-08,38
2015-11-15,38
2015-11-22,19
2015-11-29,19
2015-12-06,48
2015-12-13,20
2015-12-20,0
2015-12-27,78
2016-01-03,18
2016-01-10,0
2016-01-17,0
2016-01-24,17
2016-01-31,18
2016-02-07,18
2016-02-14,18
2016-02-21,27
2016-02-28,27
2016-03-06,36
2016-03-13,37
2016-03-20,0
2016-03-27,38
2016-04-03,37
2016-04-10,18
2016-04-17,46
2016-04-24,18
2016-05-01,20
2016-05-08,38
2016-05-15,19
2016-05-22,29
2016-05-29,37
2016-06-05,18
2016-06-12,18
2016-06-19,18
2016-06-26,27
2016-07-03,20
2016-07-10,0
2016-07-17,20
2016-07-24,20
2016-07-31,51
2016-08-07,21
2016-08-14,0
2016-08-21,0
2016-08-28,41
2016-09-04,0
2016-09-11,19
2016-09-18,40
2016-09-25,20
2016-10-02,20
2016-10-09,0
2016-10-16,39
2016-10-23,19
2016-10-30,0
2016-11-06,0
2016-11-13,37
2016-11-20,37
2016-11-27,55
2016-12-04,18
2016-12-11,0
2016-12-18,39
2016-12-25,63
2017-01-01,18
2017-01-08,17
2017-01-15,35
2017-01-22,17
2017-01-29,52
2017-02-05,17
2017-02-12,17
2017-02-19,18
2017-02-26,35
2017-03-05,51
2017-03-12,0
2017-03-19,35
2017-03-26,46
2017-04-02,0
2017-04-09,55
2017-04-16,18
2017-04-23,0
2017-04-30,18
2017-05-07,17
2017-05-14,27
2017-05-21,39
2017-05-28,0
2017-06-04,27
2017-06-11,19
2017-06-18,0
2017-06-25,18
2017-07-02,18
2017-07-09,54
2017-07-16,19
2017-07-23,36
2017-07-30,18
2017-08-06,44
2017-08-13,18
2017-08-20,18
2017-08-27,69
2017-09-03,17
2017-09-10,26
2017-09-17,17
2017-09-24,25
2017-10-01,42
2017-10-08,51
2017-10-15,17
2017-10-22,33
2017-10-29,34
2017-11-05,17
2017-11-12,33
2017-11-19,16
2017-11-26,0
2017-12-03,33
2017-12-10,17
2017-12-17,53
2017-12-24,20
2017-12-31,43
2018-01-07,32
2018-01-14,16
2018-01-21,16
2018-01-28,16
2018-02-04,16
2018-02-11,0
2018-02-18,16
2018-02-25,48
2018-03-04,40
2018-03-11,32
2018-03-18,32
2018-03-25,51
2018-04-01,52
2018-04-08,17
2018-04-15,17
2018-04-22,24
2018-04-29,25
2018-05-06,17
2018-05-13,49
2018-05-20,34
2018-05-27,41
2018-06-03,49
2018-06-10,31
2018-06-17,32
2018-06-24,0
2018-07-01,24
2018-07-08,32
2018-07-15,17
2018-07-22,17
2018-07-29,17
2018-08-05,41
2018-08-12,34
2018-08-19,33
2018-08-26,84
2018-09-02,25
2018-09-09,16
2018-09-16,24
2018-09-23,16
2018-09-30,16
2018-10-07,16
2018-10-14,16
2018-10-21,32
2018-10-28,0
2018-11-04,15
2018-11-11,16
2018-11-18,0
2018-11-25,16
2018-12-02,0
2018-12-09,79
2018-12-16,24
2018-12-23,37
2018-12-30,100
2019-01-06,22
2019-01-13,15
2019-01-20,15
2019-01-27,22
2019-02-03,30
2019-02-10,15
2019-02-17,23
2019-02-24,15
2019-03-03,15
2019-03-10,15
2019-03-17,16
2019-03-24,39
2019-03-31,16
2019-04-07,38
2019-04-14,50
2019-04-21,24
2019-04-28,38
2019-05-05,30
2019-05-12,31
2019-05-19,23
2019-05-26,16
2019-06-02,15
2019-06-09,47
2019-06-16,47
2019-06-23,31
2019-06-30,31
2019-07-07,30
2019-07-14,16
2019-07-21,33
2019-07-28,16
2019-08-04,33
2019-08-11,16
2019-08-18,16
2019-08-25,16
2019-09-01,15
2019-09-08,0
2019-09-15,31
2019-09-22,0
2019-09-29,37
2019-10-06,45
2019-10-13,30
2019-10-20,15
2019-10-27,29
2019-11-03,41
2019-11-10,36
2019-11-17,14
2019-11-24,28
2019-12-01,29
2019-12-08,22
2019-12-15,29
2019-12-22,17
2019-12-29,46
2020-01-05,0
2020-01-12,20
2020-01-19,20
2020-01-26,13
2020-02-02,20
2020-02-09,40
2020-02-16,14
2020-02-23,13
2020-03-01,26
2020-03-08,25
2020-03-15,37
2020-03-22,31
2020-03-29,24
2020-04-05,27
2020-04-12,0
2020-04-19,31
2020-04-26,24
2020-05-03,25
2020-05-10,31
2020-05-17,13
2020-05-24,38
2020-05-31,12
2020-06-07,13
2020-06-14,25
2020-06-21,26
2020-06-28,13
2020-07-05,13
2020-07-12,14
2020-07-19,14
2020-07-26,0
