,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),Parque de El Retiro: (Grecia),Puerta del Sol: (Grecia),gran via: (Grecia),Museo Nacional Thyssen-Bornemisza: (Grecia),cibeles: (Grecia),Palacio de Cristal: (Grecia),chueca: (Grecia),callao: (Grecia),date
0,50,45,75,33,51,59,0,0,98,0,2015-08-01
1,51,65,0,32,46,51,0,0,0,47,2015-09-01
2,34,46,0,35,50,0,0,0,0,47,2015-10-01
3,24,41,0,35,49,56,0,100,94,100,2015-11-01
4,31,0,0,40,57,0,0,99,100,52,2015-12-01
5,79,88,55,60,84,50,88,0,80,0,2016-01-01
6,79,44,0,30,83,0,0,0,0,0,2016-02-01
7,60,50,0,31,44,0,88,88,81,0,2016-03-01
8,54,91,65,32,100,52,98,98,86,0,2016-04-01
9,29,93,63,30,48,49,86,86,0,43,2016-05-01
10,28,45,0,0,88,50,88,0,82,0,2016-06-01
11,66,59,0,36,50,0,100,0,89,51,2016-07-01
12,30,100,63,39,56,51,0,0,0,49,2016-08-01
13,29,48,0,31,68,51,0,0,0,47,2016-09-01
14,61,71,0,33,95,0,94,0,87,49,2016-10-01
15,55,46,61,0,47,50,0,88,86,0,2016-11-01
16,53,51,0,34,48,51,90,96,0,0,2016-12-01
17,51,43,56,29,42,95,0,0,0,43,2017-01-01
18,56,44,58,0,44,0,83,87,81,0,2017-02-01
19,38,41,0,0,43,0,88,0,76,92,2017-03-01
20,51,47,0,31,98,0,0,0,84,47,2017-04-01
21,39,51,60,0,46,0,92,0,86,47,2017-05-01
22,27,98,0,33,47,0,0,90,87,69,2017-06-01
23,63,79,61,32,47,53,0,0,0,49,2017-07-01
24,51,46,57,36,44,50,0,86,0,53,2017-08-01
25,50,42,58,0,44,49,85,86,0,44,2017-09-01
26,26,46,0,31,44,100,0,0,84,0,2017-10-01
27,25,41,0,31,0,51,0,0,84,0,2017-11-01
28,29,49,0,34,45,0,0,0,0,47,2017-12-01
29,49,41,0,100,43,48,85,0,0,44,2018-01-01
30,52,44,56,0,43,46,0,0,0,0,2018-02-01
31,24,46,56,61,0,50,0,85,0,44,2018-03-01
32,50,62,0,31,48,48,0,0,0,89,2018-04-01
33,37,43,55,29,42,48,0,84,79,44,2018-05-01
34,38,44,55,0,77,0,0,0,0,0,2018-06-01
35,55,50,54,28,41,47,79,0,75,40,2018-07-01
36,74,62,0,0,41,47,76,0,0,46,2018-08-01
37,37,61,53,28,80,43,0,0,0,41,2018-09-01
38,100,46,0,30,43,49,0,0,0,88,2018-10-01
39,36,42,0,30,43,0,0,0,78,43,2018-11-01
40,29,44,0,30,87,54,0,0,81,50,2018-12-01
41,48,41,53,29,54,45,82,82,75,0,2019-01-01
42,27,41,0,28,82,46,81,81,0,83,2019-02-01
43,51,41,0,30,44,48,0,86,79,90,2019-03-01
44,29,48,61,0,42,47,0,94,0,48,2019-04-01
45,49,82,0,28,40,0,0,80,75,83,2019-05-01
46,37,45,0,27,39,0,0,0,73,41,2019-06-01
47,68,97,49,28,38,0,0,0,71,78,2019-07-01
48,52,41,52,57,41,0,81,81,76,0,2019-08-01
49,59,40,0,25,36,0,0,72,68,0,2019-09-01
50,36,42,100,27,38,43,0,0,72,39,2019-10-01
51,94,37,48,26,38,41,76,0,0,39,2019-11-01
52,25,46,50,36,41,43,0,76,0,39,2019-12-01
53,53,76,0,0,37,80,0,73,0,0,2020-01-01
54,59,39,46,25,36,41,0,0,0,37,2020-02-01
55,63,71,0,24,0,39,60,0,0,62,2020-03-01
56,23,0,45,24,0,38,0,0,63,0,2020-04-01
57,44,36,0,25,36,0,0,0,65,37,2020-05-01
58,66,35,46,0,35,0,0,0,0,72,2020-06-01
59,41,42,0,0,0,0,0,0,0,0,2020-07-01
