Semana,Museo Nacional del Prado: (Todo el mundo),plaza mayor: (Todo el mundo),Parque de El Retiro: (Todo el mundo),puerta del sol: (Todo el mundo),gran via: (Todo el mundo),Museo Nacional Thyssen-Bornemisza: (Todo el mundo),templo de debod: (Todo el mundo),Catedral de Santa María la Real de la Almudena: (Todo el mundo),cibeles: (Todo el mundo),Palacio de Cristal: (Todo el mundo),puerta de alcala: (Todo el mundo),el rastro: (Todo el mundo),las ventas: (Todo el mundo),chueca: (Todo el mundo),san gines: (Todo el mundo),callao: (Todo el mundo),calle serrano: (Todo el mundo)
2015-08-02,<1,63,34,14,46,46,54,11,27,37,43,99,38,89,35,70,60
2015-08-09,1,61,34,16,46,48,57,10,25,44,56,100,48,89,44,76,50
2015-08-16,<1,59,37,14,38,42,55,10,24,45,52,99,41,96,50,83,59
2015-08-23,<1,55,29,14,44,51,64,12,22,31,48,97,44,98,72,66,58
2015-08-30,1,53,29,16,48,54,58,13,26,45,53,91,53,94,24,59,81
2015-09-06,1,61,41,15,49,54,57,15,24,67,57,77,54,92,25,65,88
2015-09-13,1,53,35,15,51,44,45,14,24,49,78,63,55,86,21,62,78
2015-09-20,1,54,37,14,51,46,58,15,27,71,52,83,59,90,24,63,65
2015-09-27,1,58,41,16,54,57,59,14,22,40,56,84,62,100,29,63,80
2015-10-04,1,55,37,15,56,92,50,18,21,53,59,91,51,96,25,59,79
2015-10-11,1,55,36,15,100,83,59,22,24,97,63,90,48,94,29,62,73
2015-10-18,1,52,33,14,75,63,69,21,35,66,55,87,48,91,26,65,70
2015-10-25,1,54,32,15,66,65,54,27,27,53,55,83,43,94,25,64,76
2015-11-01,1,70,28,15,66,77,44,56,23,47,60,90,42,90,35,64,87
2015-11-08,1,57,37,17,52,72,42,68,24,47,61,77,50,95,23,63,79
2015-11-15,1,55,32,14,50,59,47,14,24,51,64,83,45,85,23,62,65
2015-11-22,1,67,28,15,57,57,56,10,22,52,57,79,45,95,25,63,85
2015-11-29,1,67,35,16,61,50,57,12,19,55,54,70,44,87,26,67,85
2015-12-06,1,70,35,17,60,50,69,14,24,64,52,73,37,100,31,69,74
2015-12-13,1,69,32,19,59,49,42,12,21,52,56,67,31,91,21,62,100
2015-12-20,1,81,29,17,64,46,42,13,25,43,50,65,23,85,35,58,52
