Categoría: Todas las categorías

Semana,plaza mayor: (Todo el mundo)
2015-08-02,63
2015-08-09,61
2015-08-16,59
2015-08-23,55
2015-08-30,53
2015-09-06,61
2015-09-13,53
2015-09-20,54
2015-09-27,58
2015-10-04,55
2015-10-11,55
2015-10-18,52
2015-10-25,54
2015-11-01,70
2015-11-08,57
2015-11-15,55
2015-11-22,67
2015-11-29,67
2015-12-06,70
2015-12-13,69
2015-12-20,81
2015-12-27,72
2016-01-03,55
2016-01-10,51
2016-01-17,49
2016-01-24,49
2016-01-31,48
2016-02-07,49
2016-02-14,52
2016-02-21,53
2016-02-28,51
2016-03-06,49
2016-03-13,71
2016-03-20,61
2016-03-27,51
2016-04-03,45
2016-04-10,51
2016-04-17,52
2016-04-24,54
2016-05-01,63
2016-05-08,78
2016-05-15,61
2016-05-22,53
2016-05-29,53
2016-06-05,52
2016-06-12,56
2016-06-19,55
2016-06-26,59
2016-07-03,60
2016-07-10,57
2016-07-17,59
2016-07-24,69
2016-07-31,60
2016-08-07,58
2016-08-14,64
2016-08-21,61
2016-08-28,63
2016-09-04,66
2016-09-11,59
2016-09-18,56
2016-09-25,52
2016-10-02,55
2016-10-09,60
2016-10-16,53
2016-10-23,62
2016-10-30,54
2016-11-06,48
2016-11-13,53
2016-11-20,66
2016-11-27,60
2016-12-04,75
2016-12-11,64
2016-12-18,79
2016-12-25,74
2017-01-01,66
2017-01-08,50
2017-01-15,52
2017-01-22,52
2017-01-29,50
2017-02-05,57
2017-02-12,73
2017-02-19,66
2017-02-26,61
2017-03-05,58
2017-03-12,54
2017-03-19,61
2017-03-26,56
2017-04-02,53
2017-04-09,77
2017-04-16,69
2017-04-23,62
2017-04-30,62
2017-05-07,63
2017-05-14,63
2017-05-21,56
2017-05-28,52
2017-06-04,56
2017-06-11,53
2017-06-18,54
2017-06-25,58
2017-07-02,61
2017-07-09,63
2017-07-16,65
2017-07-23,64
2017-07-30,62
2017-08-06,66
2017-08-13,67
2017-08-20,62
2017-08-27,68
2017-09-03,63
2017-09-10,61
2017-09-17,62
2017-09-24,100
2017-10-01,76
2017-10-08,67
2017-10-15,62
2017-10-22,61
2017-10-29,68
2017-11-05,58
2017-11-12,59
2017-11-19,58
2017-11-26,62
2017-12-03,87
2017-12-10,67
2017-12-17,83
2017-12-24,79
2017-12-31,70
2018-01-07,49
2018-01-14,50
2018-01-21,50
2018-01-28,49
2018-02-04,54
2018-02-11,60
2018-02-18,55
2018-02-25,59
2018-03-04,54
2018-03-11,53
2018-03-18,57
2018-03-25,65
2018-04-01,52
2018-04-08,53
2018-04-15,56
2018-04-22,62
2018-04-29,71
2018-05-06,64
2018-05-13,64
2018-05-20,58
2018-05-27,57
2018-06-03,57
2018-06-10,55
2018-06-17,52
2018-06-24,54
2018-07-01,61
2018-07-08,64
2018-07-15,64
2018-07-22,65
2018-07-29,62
2018-08-05,66
2018-08-12,71
2018-08-19,71
2018-08-26,64
2018-09-02,72
2018-09-09,65
2018-09-16,60
2018-09-23,58
2018-09-30,61
2018-10-07,65
2018-10-14,58
2018-10-21,58
2018-10-28,69
2018-11-04,62
2018-11-11,59
2018-11-18,65
2018-11-25,62
2018-12-02,78
2018-12-09,68
2018-12-16,80
2018-12-23,90
2018-12-30,76
2019-01-06,54
2019-01-13,49
2019-01-20,53
2019-01-27,51
2019-02-03,48
2019-02-10,64
2019-02-17,60
2019-02-24,59
2019-03-03,53
2019-03-10,53
2019-03-17,54
2019-03-24,54
2019-03-31,56
2019-04-07,62
2019-04-14,79
2019-04-21,65
2019-04-28,69
2019-05-05,70
2019-05-12,71
2019-05-19,64
2019-05-26,69
2019-06-02,62
2019-06-09,61
2019-06-16,63
2019-06-23,68
2019-06-30,67
2019-07-07,68
2019-07-14,65
2019-07-21,72
2019-07-28,71
2019-08-04,71
2019-08-11,78
2019-08-18,67
2019-08-25,63
2019-09-01,69
2019-09-08,69
2019-09-15,67
2019-09-22,60
2019-09-29,66
2019-10-06,71
2019-10-13,64
2019-10-20,68
2019-10-27,71
2019-11-03,63
2019-11-10,63
2019-11-17,66
2019-11-24,77
2019-12-01,86
2019-12-08,84
2019-12-15,87
2019-12-22,96
2019-12-29,83
2020-01-05,55
2020-01-12,52
2020-01-19,56
2020-01-26,52
2020-02-02,57
2020-02-09,68
2020-02-16,65
2020-02-23,63
2020-03-01,56
2020-03-08,42
2020-03-15,24
2020-03-22,26
2020-03-29,22
2020-04-05,19
2020-04-12,22
2020-04-19,21
2020-04-26,21
2020-05-03,24
2020-05-10,26
2020-05-17,31
2020-05-24,32
2020-05-31,43
2020-06-07,35
2020-06-14,34
2020-06-21,36
2020-06-28,34
2020-07-05,34
2020-07-12,34
2020-07-19,37
2020-07-26,35
