Categoría: Todas las categorías

Semana,puerta de alcala: (Todo el mundo)
2015-08-02,43
2015-08-09,56
2015-08-16,52
2015-08-23,48
2015-08-30,53
2015-09-06,57
2015-09-13,78
2015-09-20,52
2015-09-27,56
2015-10-04,59
2015-10-11,63
2015-10-18,55
2015-10-25,55
2015-11-01,60
2015-11-08,61
2015-11-15,64
2015-11-22,57
2015-11-29,54
2015-12-06,52
2015-12-13,56
2015-12-20,50
2015-12-27,56
2016-01-03,57
2016-01-10,54
2016-01-17,62
2016-01-24,49
2016-01-31,55
2016-02-07,51
2016-02-14,49
2016-02-21,54
2016-02-28,62
2016-03-06,59
2016-03-13,53
2016-03-20,43
2016-03-27,54
2016-04-03,59
2016-04-10,64
2016-04-17,65
2016-04-24,61
2016-05-01,65
2016-05-08,60
2016-05-15,56
2016-05-22,63
2016-05-29,64
2016-06-05,59
2016-06-12,50
2016-06-19,50
2016-06-26,53
2016-07-03,58
2016-07-10,60
2016-07-17,46
2016-07-24,53
2016-07-31,43
2016-08-07,35
2016-08-14,34
2016-08-21,47
2016-08-28,45
2016-09-04,53
2016-09-11,54
2016-09-18,52
2016-09-25,44
2016-10-02,64
2016-10-09,48
2016-10-16,56
2016-10-23,52
2016-10-30,52
2016-11-06,80
2016-11-13,52
2016-11-20,61
2016-11-27,54
2016-12-04,78
2016-12-11,58
2016-12-18,75
2016-12-25,50
2017-01-01,51
2017-01-08,45
2017-01-15,63
2017-01-22,51
2017-01-29,52
2017-02-05,64
2017-02-12,56
2017-02-19,50
2017-02-26,69
2017-03-05,51
2017-03-12,49
2017-03-19,51
2017-03-26,61
2017-04-02,59
2017-04-09,49
2017-04-16,60
2017-04-23,60
2017-04-30,47
2017-05-07,54
2017-05-14,44
2017-05-21,56
2017-05-28,57
2017-06-04,51
2017-06-11,53
2017-06-18,52
2017-06-25,74
2017-07-02,49
2017-07-09,43
2017-07-16,49
2017-07-23,61
2017-07-30,50
2017-08-06,51
2017-08-13,59
2017-08-20,48
2017-08-27,47
2017-09-03,50
2017-09-10,50
2017-09-17,32
2017-09-24,53
2017-10-01,53
2017-10-08,69
2017-10-15,69
2017-10-22,56
2017-10-29,57
2017-11-05,56
2017-11-12,65
2017-11-19,60
2017-11-26,54
2017-12-03,68
2017-12-10,61
2017-12-17,42
2017-12-24,57
2017-12-31,55
2018-01-07,48
2018-01-14,60
2018-01-21,44
2018-01-28,52
2018-02-04,52
2018-02-11,59
2018-02-18,44
2018-02-25,47
2018-03-04,45
2018-03-11,64
2018-03-18,61
2018-03-25,55
2018-04-01,45
2018-04-08,49
2018-04-15,61
2018-04-22,47
2018-04-29,58
2018-05-06,56
2018-05-13,54
2018-05-20,48
2018-05-27,71
2018-06-03,65
2018-06-10,53
2018-06-17,49
2018-06-24,49
2018-07-01,53
2018-07-08,46
2018-07-15,61
2018-07-22,66
2018-07-29,61
2018-08-05,54
2018-08-12,44
2018-08-19,39
2018-08-26,47
2018-09-02,43
2018-09-09,57
2018-09-16,100
2018-09-23,66
2018-09-30,74
2018-10-07,86
2018-10-14,81
2018-10-21,99
2018-10-28,55
2018-11-04,57
2018-11-11,48
2018-11-18,53
2018-11-25,65
2018-12-02,61
2018-12-09,56
2018-12-16,59
2018-12-23,62
2018-12-30,61
2019-01-06,60
2019-01-13,55
2019-01-20,57
2019-01-27,59
2019-02-03,49
2019-02-10,60
2019-02-17,49
2019-02-24,48
2019-03-03,61
2019-03-10,54
2019-03-17,55
2019-03-24,59
2019-03-31,46
2019-04-07,55
2019-04-14,53
2019-04-21,43
2019-04-28,56
2019-05-05,48
2019-05-12,49
2019-05-19,68
2019-05-26,64
2019-06-02,65
2019-06-09,59
2019-06-16,59
2019-06-23,61
2019-06-30,66
2019-07-07,56
2019-07-14,52
2019-07-21,40
2019-07-28,61
2019-08-04,57
2019-08-11,45
2019-08-18,58
2019-08-25,45
2019-09-01,53
2019-09-08,56
2019-09-15,58
2019-09-22,59
2019-09-29,54
2019-10-06,59
2019-10-13,54
2019-10-20,55
2019-10-27,77
2019-11-03,49
2019-11-10,52
2019-11-17,56
2019-11-24,63
2019-12-01,55
2019-12-08,47
2019-12-15,44
2019-12-22,59
2019-12-29,71
2020-01-05,45
2020-01-12,46
2020-01-19,57
2020-01-26,47
2020-02-02,48
2020-02-09,58
2020-02-16,42
2020-02-23,55
2020-03-01,49
2020-03-08,37
2020-03-15,31
2020-03-22,30
2020-03-29,28
2020-04-05,26
2020-04-12,34
2020-04-19,44
2020-04-26,42
2020-05-03,37
2020-05-10,42
2020-05-17,33
2020-05-24,36
2020-05-31,36
2020-06-07,38
2020-06-14,38
2020-06-21,24
2020-06-28,33
2020-07-05,33
2020-07-12,31
2020-07-19,29
2020-07-26,32
