Categoría: Todas las categorías

Semana,el rastro: (Todo el mundo)
2015-08-02,99
2015-08-09,100
2015-08-16,99
2015-08-23,97
2015-08-30,91
2015-09-06,77
2015-09-13,63
2015-09-20,83
2015-09-27,84
2015-10-04,91
2015-10-11,90
2015-10-18,87
2015-10-25,83
2015-11-01,90
2015-11-08,77
2015-11-15,83
2015-11-22,79
2015-11-29,70
2015-12-06,73
2015-12-13,67
2015-12-20,65
2015-12-27,61
2016-01-03,69
2016-01-10,67
2016-01-17,65
2016-01-24,61
2016-01-31,59
2016-02-07,62
2016-02-14,60
2016-02-21,64
2016-02-28,66
2016-03-06,67
2016-03-13,71
2016-03-20,58
2016-03-27,75
2016-04-03,64
2016-04-10,68
2016-04-17,64
2016-04-24,59
2016-05-01,64
2016-05-08,68
2016-05-15,63
2016-05-22,69
2016-05-29,70
2016-06-05,63
2016-06-12,54
2016-06-19,54
2016-06-26,54
2016-07-03,67
2016-07-10,60
2016-07-17,66
2016-07-24,68
2016-07-31,65
2016-08-07,60
2016-08-14,72
2016-08-21,67
2016-08-28,67
2016-09-04,63
2016-09-11,49
2016-09-18,53
2016-09-25,68
2016-10-02,59
2016-10-09,65
2016-10-16,79
2016-10-23,64
2016-10-30,59
2016-11-06,63
2016-11-13,71
2016-11-20,63
2016-11-27,58
2016-12-04,56
2016-12-11,53
2016-12-18,38
2016-12-25,49
2017-01-01,58
2017-01-08,62
2017-01-15,56
2017-01-22,58
2017-01-29,54
2017-02-05,58
2017-02-12,57
2017-02-19,62
2017-02-26,60
2017-03-05,58
2017-03-12,60
2017-03-19,70
2017-03-26,56
2017-04-02,62
2017-04-09,56
2017-04-16,61
2017-04-23,58
2017-04-30,66
2017-05-07,58
2017-05-14,58
2017-05-21,57
2017-05-28,53
2017-06-04,61
2017-06-11,53
2017-06-18,57
2017-06-25,59
2017-07-02,66
2017-07-09,56
2017-07-16,57
2017-07-23,63
2017-07-30,55
2017-08-06,66
2017-08-13,60
2017-08-20,68
2017-08-27,62
2017-09-03,61
2017-09-10,49
2017-09-17,51
2017-09-24,62
2017-10-01,64
2017-10-08,65
2017-10-15,71
2017-10-22,59
2017-10-29,55
2017-11-05,64
2017-11-12,60
2017-11-19,55
2017-11-26,48
2017-12-03,50
2017-12-10,50
2017-12-17,41
2017-12-24,40
2017-12-31,53
2018-01-07,53
2018-01-14,51
2018-01-21,48
2018-01-28,50
2018-02-04,49
2018-02-11,49
2018-02-18,50
2018-02-25,56
2018-03-04,57
2018-03-11,63
2018-03-18,63
2018-03-25,54
2018-04-01,63
2018-04-08,63
2018-04-15,60
2018-04-22,59
2018-04-29,59
2018-05-06,57
2018-05-13,55
2018-05-20,54
2018-05-27,57
2018-06-03,59
2018-06-10,68
2018-06-17,52
2018-06-24,55
2018-07-01,60
2018-07-08,55
2018-07-15,62
2018-07-22,64
2018-07-29,59
2018-08-05,66
2018-08-12,61
2018-08-19,66
2018-08-26,65
2018-09-02,62
2018-09-09,51
2018-09-16,49
2018-09-23,62
2018-09-30,63
2018-10-07,56
2018-10-14,68
2018-10-21,61
2018-10-28,54
2018-11-04,63
2018-11-11,64
2018-11-18,53
2018-11-25,52
2018-12-02,50
2018-12-09,40
2018-12-16,38
2018-12-23,40
2018-12-30,45
2019-01-06,54
2019-01-13,50
2019-01-20,47
2019-01-27,45
2019-02-03,42
2019-02-10,44
2019-02-17,46
2019-02-24,44
2019-03-03,47
2019-03-10,48
2019-03-17,55
2019-03-24,55
2019-03-31,50
2019-04-07,42
2019-04-14,40
2019-04-21,46
2019-04-28,50
2019-05-05,50
2019-05-12,48
2019-05-19,44
2019-05-26,48
2019-06-02,57
2019-06-09,47
2019-06-16,43
2019-06-23,47
2019-06-30,49
2019-07-07,48
2019-07-14,43
2019-07-21,41
2019-07-28,45
2019-08-04,50
2019-08-11,44
2019-08-18,48
2019-08-25,44
2019-09-01,42
2019-09-08,41
2019-09-15,32
2019-09-22,50
2019-09-29,43
2019-10-06,44
2019-10-13,48
2019-10-20,35
2019-10-27,38
2019-11-03,51
2019-11-10,44
2019-11-17,46
2019-11-24,44
2019-12-01,41
2019-12-08,36
2019-12-15,35
2019-12-22,35
2019-12-29,36
2020-01-05,41
2020-01-12,38
2020-01-19,36
2020-01-26,40
2020-02-02,35
2020-02-09,32
2020-02-16,42
2020-02-23,37
2020-03-01,38
2020-03-08,40
2020-03-15,33
2020-03-22,38
2020-03-29,32
2020-04-05,32
2020-04-12,32
2020-04-19,33
2020-04-26,36
2020-05-03,36
2020-05-10,32
2020-05-17,33
2020-05-24,42
2020-05-31,34
2020-06-07,34
2020-06-14,37
2020-06-21,33
2020-06-28,37
2020-07-05,36
2020-07-12,30
2020-07-19,30
2020-07-26,42
