Categoría: Todas las categorías

Semana,chueca: (Todo el mundo)
2015-08-02,89
2015-08-09,89
2015-08-16,96
2015-08-23,98
2015-08-30,94
2015-09-06,92
2015-09-13,86
2015-09-20,90
2015-09-27,100
2015-10-04,96
2015-10-11,94
2015-10-18,91
2015-10-25,94
2015-11-01,90
2015-11-08,95
2015-11-15,85
2015-11-22,95
2015-11-29,87
2015-12-06,100
2015-12-13,91
2015-12-20,85
2015-12-27,90
2016-01-03,76
2016-01-10,68
2016-01-17,77
2016-01-24,77
2016-01-31,70
2016-02-07,74
2016-02-14,77
2016-02-21,69
2016-02-28,68
2016-03-06,73
2016-03-13,73
2016-03-20,72
2016-03-27,80
2016-04-03,71
2016-04-10,78
2016-04-17,78
2016-04-24,77
2016-05-01,74
2016-05-08,82
2016-05-15,71
2016-05-22,74
2016-05-29,78
2016-06-05,80
2016-06-12,75
2016-06-19,79
2016-06-26,94
2016-07-03,82
2016-07-10,70
2016-07-17,69
2016-07-24,74
2016-07-31,74
2016-08-07,73
2016-08-14,68
2016-08-21,67
2016-08-28,74
2016-09-04,75
2016-09-11,79
2016-09-18,75
2016-09-25,75
2016-10-02,75
2016-10-09,74
2016-10-16,77
2016-10-23,72
2016-10-30,72
2016-11-06,77
2016-11-13,74
2016-11-20,74
2016-11-27,74
2016-12-04,76
2016-12-11,67
2016-12-18,61
2016-12-25,74
2017-01-01,73
2017-01-08,69
2017-01-15,70
2017-01-22,69
2017-01-29,72
2017-02-05,77
2017-02-12,65
2017-02-19,66
2017-02-26,71
2017-03-05,59
2017-03-12,64
2017-03-19,70
2017-03-26,71
2017-04-02,72
2017-04-09,69
2017-04-16,65
2017-04-23,61
2017-04-30,61
2017-05-07,63
2017-05-14,70
2017-05-21,70
2017-05-28,70
2017-06-04,66
2017-06-11,67
2017-06-18,72
2017-06-25,96
2017-07-02,78
2017-07-09,62
2017-07-16,62
2017-07-23,64
2017-07-30,68
2017-08-06,61
2017-08-13,61
2017-08-20,61
2017-08-27,59
2017-09-03,59
2017-09-10,58
2017-09-17,53
2017-09-24,63
2017-10-01,51
2017-10-08,58
2017-10-15,56
2017-10-22,56
2017-10-29,57
2017-11-05,58
2017-11-12,58
2017-11-19,55
2017-11-26,50
2017-12-03,53
2017-12-10,46
2017-12-17,46
2017-12-24,57
2017-12-31,45
2018-01-07,52
2018-01-14,50
2018-01-21,50
2018-01-28,52
2018-02-04,47
2018-02-11,55
2018-02-18,55
2018-02-25,48
2018-03-04,50
2018-03-11,54
2018-03-18,53
2018-03-25,62
2018-04-01,54
2018-04-08,49
2018-04-15,62
2018-04-22,55
2018-04-29,52
2018-05-06,57
2018-05-13,53
2018-05-20,51
2018-05-27,52
2018-06-03,57
2018-06-10,54
2018-06-17,59
2018-06-24,62
2018-07-01,71
2018-07-08,57
2018-07-15,54
2018-07-22,54
2018-07-29,58
2018-08-05,54
2018-08-12,50
2018-08-19,52
2018-08-26,59
2018-09-02,58
2018-09-09,58
2018-09-16,51
2018-09-23,53
2018-09-30,59
2018-10-07,55
2018-10-14,55
2018-10-21,54
2018-10-28,55
2018-11-04,53
2018-11-11,57
2018-11-18,56
2018-11-25,58
2018-12-02,58
2018-12-09,54
2018-12-16,56
2018-12-23,54
2018-12-30,54
2019-01-06,47
2019-01-13,48
2019-01-20,57
2019-01-27,55
2019-02-03,55
2019-02-10,55
2019-02-17,53
2019-02-24,56
2019-03-03,49
2019-03-10,49
2019-03-17,53
2019-03-24,48
2019-03-31,52
2019-04-07,52
2019-04-14,48
2019-04-21,51
2019-04-28,53
2019-05-05,51
2019-05-12,49
2019-05-19,57
2019-05-26,56
2019-06-02,54
2019-06-09,54
2019-06-16,55
2019-06-23,52
2019-06-30,66
2019-07-07,54
2019-07-14,51
2019-07-21,48
2019-07-28,53
2019-08-04,46
2019-08-11,45
2019-08-18,53
2019-08-25,46
2019-09-01,54
2019-09-08,55
2019-09-15,54
2019-09-22,52
2019-09-29,64
2019-10-06,59
2019-10-13,61
2019-10-20,60
2019-10-27,57
2019-11-03,53
2019-11-10,51
2019-11-17,53
2019-11-24,49
2019-12-01,52
2019-12-08,69
2019-12-15,61
2019-12-22,71
2019-12-29,60
2020-01-05,54
2020-01-12,54
2020-01-19,62
2020-01-26,56
2020-02-02,55
2020-02-09,58
2020-02-16,57
2020-02-23,57
2020-03-01,50
2020-03-08,37
2020-03-15,26
2020-03-22,27
2020-03-29,23
2020-04-05,28
2020-04-12,25
2020-04-19,28
2020-04-26,29
2020-05-03,29
2020-05-10,36
2020-05-17,34
2020-05-24,38
2020-05-31,34
2020-06-07,40
2020-06-14,37
2020-06-21,45
2020-06-28,46
2020-07-05,39
2020-07-12,40
2020-07-19,41
2020-07-26,45
