Categoría: Todas las categorías

Semana,san gines: (Todo el mundo)
2015-08-02,35
2015-08-09,44
2015-08-16,50
2015-08-23,72
2015-08-30,24
2015-09-06,25
2015-09-13,21
2015-09-20,24
2015-09-27,29
2015-10-04,25
2015-10-11,29
2015-10-18,26
2015-10-25,25
2015-11-01,35
2015-11-08,23
2015-11-15,23
2015-11-22,25
2015-11-29,26
2015-12-06,31
2015-12-13,21
2015-12-20,35
2015-12-27,37
2016-01-03,27
2016-01-10,26
2016-01-17,31
2016-01-24,23
2016-01-31,25
2016-02-07,27
2016-02-14,29
2016-02-21,26
2016-02-28,30
2016-03-06,28
2016-03-13,19
2016-03-20,36
2016-03-27,23
2016-04-03,33
2016-04-10,28
2016-04-17,27
2016-04-24,28
2016-05-01,25
2016-05-08,35
2016-05-15,23
2016-05-22,25
2016-05-29,37
2016-06-05,29
2016-06-12,23
2016-06-19,30
2016-06-26,29
2016-07-03,35
2016-07-10,27
2016-07-17,36
2016-07-24,24
2016-07-31,29
2016-08-07,37
2016-08-14,39
2016-08-21,82
2016-08-28,37
2016-09-04,42
2016-09-11,25
2016-09-18,41
2016-09-25,37
2016-10-02,30
2016-10-09,34
2016-10-16,37
2016-10-23,33
2016-10-30,42
2016-11-06,40
2016-11-13,41
2016-11-20,33
2016-11-27,38
2016-12-04,38
2016-12-11,27
2016-12-18,32
2016-12-25,31
2017-01-01,42
2017-01-08,36
2017-01-15,35
2017-01-22,28
2017-01-29,27
2017-02-05,45
2017-02-12,25
2017-02-19,31
2017-02-26,35
2017-03-05,45
2017-03-12,45
2017-03-19,44
2017-03-26,35
2017-04-02,31
2017-04-09,36
2017-04-16,29
2017-04-23,34
2017-04-30,31
2017-05-07,27
2017-05-14,36
2017-05-21,34
2017-05-28,34
2017-06-04,39
2017-06-11,28
2017-06-18,20
2017-06-25,27
2017-07-02,35
2017-07-09,42
2017-07-16,46
2017-07-23,36
2017-07-30,43
2017-08-06,42
2017-08-13,58
2017-08-20,87
2017-08-27,46
2017-09-03,36
2017-09-10,39
2017-09-17,28
2017-09-24,41
2017-10-01,31
2017-10-08,44
2017-10-15,36
2017-10-22,38
2017-10-29,36
2017-11-05,38
2017-11-12,40
2017-11-19,33
2017-11-26,39
2017-12-03,42
2017-12-10,31
2017-12-17,39
2017-12-24,46
2017-12-31,45
2018-01-07,32
2018-01-14,34
2018-01-21,29
2018-01-28,41
2018-02-04,29
2018-02-11,33
2018-02-18,29
2018-02-25,35
2018-03-04,38
2018-03-11,45
2018-03-18,43
2018-03-25,51
2018-04-01,33
2018-04-08,40
2018-04-15,40
2018-04-22,39
2018-04-29,42
2018-05-06,31
2018-05-13,38
2018-05-20,34
2018-05-27,35
2018-06-03,40
2018-06-10,40
2018-06-17,43
2018-06-24,30
2018-07-01,35
2018-07-08,31
2018-07-15,40
2018-07-22,39
2018-07-29,41
2018-08-05,55
2018-08-12,56
2018-08-19,87
2018-08-26,41
2018-09-02,38
2018-09-09,35
2018-09-16,28
2018-09-23,44
2018-09-30,39
2018-10-07,45
2018-10-14,40
2018-10-21,29
2018-10-28,44
2018-11-04,52
2018-11-11,51
2018-11-18,41
2018-11-25,43
2018-12-02,49
2018-12-09,43
2018-12-16,39
2018-12-23,50
2018-12-30,58
2019-01-06,34
2019-01-13,42
2019-01-20,40
2019-01-27,41
2019-02-03,42
2019-02-10,44
2019-02-17,41
2019-02-24,39
2019-03-03,42
2019-03-10,37
2019-03-17,43
2019-03-24,48
2019-03-31,42
2019-04-07,57
2019-04-14,57
2019-04-21,38
2019-04-28,41
2019-05-05,45
2019-05-12,44
2019-05-19,46
2019-05-26,44
2019-06-02,35
2019-06-09,39
2019-06-16,41
2019-06-23,46
2019-06-30,48
2019-07-07,42
2019-07-14,49
2019-07-21,36
2019-07-28,43
2019-08-04,53
2019-08-11,52
2019-08-18,100
2019-08-25,62
2019-09-01,37
2019-09-08,49
2019-09-15,44
2019-09-22,36
2019-09-29,51
2019-10-06,52
2019-10-13,43
2019-10-20,42
2019-10-27,47
2019-11-03,44
2019-11-10,41
2019-11-17,45
2019-11-24,50
2019-12-01,54
2019-12-08,52
2019-12-15,47
2019-12-22,66
2019-12-29,57
2020-01-05,42
2020-01-12,40
2020-01-19,40
2020-01-26,47
2020-02-02,35
2020-02-09,36
2020-02-16,45
2020-02-23,39
2020-03-01,37
2020-03-08,32
2020-03-15,13
2020-03-22,17
2020-03-29,12
2020-04-05,13
2020-04-12,18
2020-04-19,21
2020-04-26,17
2020-05-03,16
2020-05-10,18
2020-05-17,20
2020-05-24,20
2020-05-31,20
2020-06-07,25
2020-06-14,22
2020-06-21,27
2020-06-28,21
2020-07-05,27
2020-07-12,22
2020-07-19,18
2020-07-26,22
