Categoría: Todas las categorías

Semana,Parque de El Retiro: (Todo el mundo)
2015-08-02,34
2015-08-09,34
2015-08-16,37
2015-08-23,29
2015-08-30,29
2015-09-06,41
2015-09-13,35
2015-09-20,37
2015-09-27,41
2015-10-04,37
2015-10-11,36
2015-10-18,33
2015-10-25,32
2015-11-01,28
2015-11-08,37
2015-11-15,32
2015-11-22,28
2015-11-29,35
2015-12-06,35
2015-12-13,32
2015-12-20,29
2015-12-27,33
2016-01-03,25
2016-01-10,30
2016-01-17,33
2016-01-24,34
2016-01-31,41
2016-02-07,28
2016-02-14,32
2016-02-21,28
2016-02-28,32
2016-03-06,32
2016-03-13,35
2016-03-20,39
2016-03-27,50
2016-04-03,36
2016-04-10,30
2016-04-17,37
2016-04-24,40
2016-05-01,39
2016-05-08,29
2016-05-15,50
2016-05-22,40
2016-05-29,48
2016-06-05,43
2016-06-12,34
2016-06-19,37
2016-06-26,37
2016-07-03,39
2016-07-10,33
2016-07-17,36
2016-07-24,54
2016-07-31,44
2016-08-07,47
2016-08-14,46
2016-08-21,33
2016-08-28,45
2016-09-04,41
2016-09-11,39
2016-09-18,40
2016-09-25,34
2016-10-02,44
2016-10-09,32
2016-10-16,33
2016-10-23,43
2016-10-30,41
2016-11-06,37
2016-11-13,42
2016-11-20,27
2016-11-27,29
2016-12-04,33
2016-12-11,26
2016-12-18,27
2016-12-25,30
2017-01-01,26
2017-01-08,20
2017-01-15,22
2017-01-22,27
2017-01-29,24
2017-02-05,30
2017-02-12,30
2017-02-19,39
2017-02-26,32
2017-03-05,37
2017-03-12,35
2017-03-19,35
2017-03-26,29
2017-04-02,32
2017-04-09,45
2017-04-16,35
2017-04-23,32
2017-04-30,39
2017-05-07,33
2017-05-14,54
2017-05-21,39
2017-05-28,44
2017-06-04,39
2017-06-11,34
2017-06-18,33
2017-06-25,39
2017-07-02,31
2017-07-09,33
2017-07-16,32
2017-07-23,27
2017-07-30,37
2017-08-06,33
2017-08-13,30
2017-08-20,33
2017-08-27,33
2017-09-03,32
2017-09-10,31
2017-09-17,40
2017-09-24,41
2017-10-01,36
2017-10-08,47
2017-10-15,37
2017-10-22,42
2017-10-29,36
2017-11-05,31
2017-11-12,34
2017-11-19,35
2017-11-26,29
2017-12-03,35
2017-12-10,22
2017-12-17,26
2017-12-24,35
2017-12-31,25
2018-01-07,28
2018-01-14,30
2018-01-21,28
2018-01-28,30
2018-02-04,31
2018-02-11,33
2018-02-18,36
2018-02-25,35
2018-03-04,31
2018-03-11,34
2018-03-18,71
2018-03-25,100
2018-04-01,71
2018-04-08,49
2018-04-15,37
2018-04-22,51
2018-04-29,43
2018-05-06,35
2018-05-13,40
2018-05-20,56
2018-05-27,46
2018-06-03,31
2018-06-10,41
2018-06-17,39
2018-06-24,32
2018-07-01,36
2018-07-08,44
2018-07-15,34
2018-07-22,32
2018-07-29,35
2018-08-05,44
2018-08-12,44
2018-08-19,39
2018-08-26,42
2018-09-02,36
2018-09-09,41
2018-09-16,43
2018-09-23,39
2018-09-30,36
2018-10-07,42
2018-10-14,35
2018-10-21,39
2018-10-28,38
2018-11-04,31
2018-11-11,29
2018-11-18,25
2018-11-25,23
2018-12-02,45
2018-12-09,29
2018-12-16,26
2018-12-23,40
2018-12-30,39
2019-01-06,29
2019-01-13,28
2019-01-20,38
2019-01-27,41
2019-02-03,35
2019-02-10,43
2019-02-17,42
2019-02-24,50
2019-03-03,49
2019-03-10,54
2019-03-17,51
2019-03-24,48
2019-03-31,39
2019-04-07,38
2019-04-14,46
2019-04-21,43
2019-04-28,46
2019-05-05,40
2019-05-12,47
2019-05-19,49
2019-05-26,48
2019-06-02,53
2019-06-09,49
2019-06-16,41
2019-06-23,39
2019-06-30,31
2019-07-07,52
2019-07-14,38
2019-07-21,44
2019-07-28,43
2019-08-04,43
2019-08-11,47
2019-08-18,49
2019-08-25,43
2019-09-01,51
2019-09-08,45
2019-09-15,38
2019-09-22,44
2019-09-29,50
2019-10-06,40
2019-10-13,46
2019-10-20,40
2019-10-27,45
2019-11-03,40
2019-11-10,30
2019-11-17,32
2019-11-24,36
2019-12-01,37
2019-12-08,31
2019-12-15,31
2019-12-22,55
2019-12-29,49
2020-01-05,37
2020-01-12,34
2020-01-19,37
2020-01-26,30
2020-02-02,32
2020-02-09,42
2020-02-16,36
2020-02-23,46
2020-03-01,35
2020-03-08,41
2020-03-15,19
2020-03-22,14
2020-03-29,16
2020-04-05,13
2020-04-12,13
2020-04-19,15
2020-04-26,33
2020-05-03,18
2020-05-10,20
2020-05-17,23
2020-05-24,34
2020-05-31,26
2020-06-07,27
2020-06-14,18
2020-06-21,26
2020-06-28,20
2020-07-05,23
2020-07-12,26
2020-07-19,24
2020-07-26,29
