Semana,Museo Nacional del Prado: (Italia),plaza mayor: (Italia),Parque de El Retiro: (Italia),Puerta del Sol: (Italia),gran via: (Italia),Museo Nacional Thyssen-Bornemisza: (Italia),Templo de Debod: (Italia),Catedral de Santa María la Real de la Almudena: (Italia),cibeles: (Italia),Palacio de Cristal: (Italia),Puerta de Alcalá: (Italia),El Rastro: (Italia),Plaza de Toros de Las Ventas: (Italia),Chueca: (Italia),san gines: (Italia),callao: (Italia)
2015-08-02,<1,33,17,26,78,30,0,30,21,21,31,45,39,26,34,49
2015-08-09,<1,0,25,26,73,27,0,65,22,34,33,64,31,28,37,34
2015-08-16,<1,26,53,23,67,13,0,31,21,22,32,31,30,27,0,93
2015-08-23,<1,47,33,34,68,12,32,58,29,0,44,57,27,75,32,50
2015-08-30,<1,29,25,25,87,11,0,26,72,19,0,52,25,23,0,36
2015-09-06,<1,36,15,25,71,16,0,26,18,0,0,26,100,30,0,42
2015-09-13,<1,21,22,16,52,11,0,43,35,0,26,25,32,44,29,23
2015-09-20,<1,14,21,24,53,25,0,51,34,0,26,25,24,44,0,78
2015-09-27,<1,42,22,16,69,28,0,25,26,27,0,74,36,66,0,23
2015-10-04,<1,14,42,20,71,24,28,25,0,52,25,0,24,54,0,26
2015-10-11,<1,35,21,19,55,14,0,25,34,18,26,100,24,29,0,35
2015-10-18,<1,21,19,24,61,16,0,59,17,18,65,25,48,0,29,58
2015-10-25,<1,14,28,19,62,11,0,38,17,18,25,25,48,29,0,78
2015-11-01,<1,21,43,19,59,21,57,26,17,27,26,25,24,44,0,44
2015-11-08,<1,57,44,24,65,22,29,60,17,18,26,25,24,22,0,24
2015-11-15,<1,28,24,35,49,14,28,51,26,27,0,25,24,33,0,17
2015-11-22,<1,28,33,8,50,35,28,25,17,36,25,25,48,22,0,35
2015-11-29,<1,21,15,41,76,22,0,26,18,45,0,0,25,33,0,27
2015-12-06,<1,29,30,25,56,39,30,53,36,19,27,26,0,23,30,37
2015-12-13,<1,29,25,17,61,11,0,44,18,28,27,26,25,0,30,30
2015-12-20,<1,67,26,29,43,21,34,31,21,43,31,30,0,53,0,84
2015-12-27,<1,33,34,42,66,19,50,45,20,21,0,0,0,26,0,21
2016-01-03,<1,55,37,18,59,24,0,28,39,0,29,28,54,49,32,39
2016-01-10,<1,60,15,31,62,45,30,27,0,38,0,27,39,23,0,31
2016-01-17,<1,76,36,32,38,23,0,69,37,19,28,0,52,24,31,44
2016-01-24,<1,15,39,15,51,12,30,55,28,19,28,81,26,0,31,50
2016-01-31,<1,52,46,37,64,23,30,27,18,19,55,36,26,47,0,47
2016-02-07,<1,14,44,55,77,33,0,26,18,18,0,43,25,30,30,30
2016-02-14,<1,44,30,34,78,22,30,35,36,19,27,26,0,35,0,37
2016-02-21,<1,37,31,31,69,11,30,54,18,48,28,0,26,35,30,25
2016-02-28,<1,22,53,39,77,11,30,27,0,28,0,26,25,23,0,37
2016-03-06,<1,37,25,17,54,34,0,41,55,29,0,53,0,23,30,31
2016-03-13,<1,53,21,23,71,23,61,55,19,29,0,41,52,24,0,32
2016-03-20,<1,24,32,24,58,16,31,87,20,20,0,0,41,49,32,40
2016-03-27,<1,16,28,19,78,25,33,30,0,31,0,29,28,25,33,82
2016-04-03,<1,46,42,13,43,27,0,42,38,39,28,0,44,0,62,58
2016-04-10,<1,55,48,100,69,24,31,28,0,30,0,28,27,49,0,39
2016-04-17,<1,46,79,18,67,27,63,28,19,20,0,28,40,24,32,39
2016-04-24,<1,40,16,12,44,16,32,29,19,0,0,28,27,25,96,30
2016-05-01,<1,31,37,13,65,12,31,0,19,39,0,55,40,24,0,58
2016-05-08,<1,38,31,26,66,100,0,42,28,19,28,0,39,24,31,38
2016-05-15,<1,62,31,21,58,65,31,28,28,39,28,41,27,24,0,32
2016-05-22,<1,31,56,14,49,24,32,43,45,0,29,56,82,25,0,33
2016-05-29,<1,47,27,21,58,24,0,29,84,40,29,28,36,25,0,26
2016-06-05,<1,23,26,9,53,29,31,55,62,39,0,0,0,36,0,51
2016-06-12,<1,15,24,15,66,24,0,28,19,20,0,0,27,24,31,39
2016-06-19,<1,16,32,27,67,32,0,28,19,30,0,28,0,33,48,40
2016-06-26,<1,24,28,19,49,12,98,29,30,21,30,59,43,38,33,48
2016-07-03,<1,34,17,10,73,13,34,31,42,22,0,0,30,36,35,32
2016-07-10,<1,33,34,19,70,13,68,81,21,43,0,30,29,26,34,21
2016-07-17,<1,52,18,20,67,26,35,52,21,29,0,31,0,27,0,76
2016-07-24,<1,17,27,20,57,13,0,0,21,22,0,0,30,54,0,22
2016-07-31,<1,53,30,10,76,36,36,0,44,23,0,0,62,28,36,22
2016-08-07,<1,39,40,19,74,30,40,35,40,0,0,35,0,0,0,57
2016-08-14,<1,42,22,37,53,32,42,38,52,27,0,76,37,100,43,26
2016-08-21,<1,54,19,11,62,14,55,50,22,47,34,65,32,0,0,34
2016-08-28,<1,99,40,10,67,19,0,45,20,31,0,0,0,26,0,31
2016-09-04,<1,40,24,21,75,20,0,43,39,20,0,0,27,25,0,40
2016-09-11,<1,16,32,12,64,36,32,28,19,20,0,56,0,37,0,52
2016-09-18,<1,24,16,12,51,12,0,38,19,30,0,0,27,37,32,40
2016-09-25,<1,40,66,18,50,31,32,29,33,0,0,29,28,38,0,20
2016-10-02,<1,40,16,14,62,20,0,29,39,20,0,29,55,75,0,40
2016-10-09,<1,16,38,21,63,16,47,58,39,20,0,56,41,0,32,59
2016-10-16,<1,32,27,18,68,18,0,29,39,20,0,43,0,33,33,40
2016-10-23,<1,32,16,27,62,12,48,29,29,20,44,29,41,25,32,40
2016-10-30,<1,32,25,14,46,12,33,30,30,21,30,29,28,26,0,41
2016-11-06,<1,46,39,35,63,16,31,74,38,26,0,27,53,24,0,58
2016-11-13,<1,72,43,30,66,24,32,87,19,20,29,28,41,0,33,70
2016-11-20,<1,53,31,20,65,29,0,27,25,19,28,27,39,36,31,38
2016-11-27,<1,46,16,13,58,27,31,28,19,20,29,27,27,48,31,26
2016-12-04,<1,39,40,13,47,18,0,28,19,20,29,28,40,24,32,32
2016-12-11,<1,23,48,27,60,12,0,28,38,20,29,28,27,0,32,19
2016-12-18,<1,17,35,16,49,19,34,31,42,22,0,30,29,27,46,32
2016-12-25,<1,18,18,27,53,27,0,54,0,23,33,0,31,28,0,89
2017-01-01,1,40,33,22,67,25,49,39,30,27,30,0,0,38,66,34
2017-01-08,<1,29,20,17,73,22,29,27,18,37,0,26,25,23,0,31
2017-01-15,1,43,29,30,67,15,29,52,27,30,0,51,0,23,0,24
2017-01-22,<1,14,15,25,65,18,29,0,29,27,0,77,25,45,29,48
2017-01-29,1,57,15,16,69,27,0,26,18,45,26,51,25,22,29,48
2017-02-05,<1,28,14,24,70,11,0,51,34,24,26,25,36,44,29,29
2017-02-12,1,36,29,41,51,15,29,39,35,91,26,51,25,23,29,53
2017-02-19,<1,43,44,12,69,11,0,26,27,37,0,26,50,34,0,36
2017-02-26,<1,28,39,35,53,27,57,26,26,27,26,38,25,22,0,53
2017-03-05,1,43,29,54,73,22,0,26,52,18,0,38,24,22,29,36
2017-03-12,1,51,15,22,56,18,29,52,18,19,27,26,25,23,0,36
2017-03-19,1,37,30,25,88,11,30,0,45,28,0,26,25,46,0,18
2017-03-26,<1,52,36,17,62,23,30,27,18,38,28,0,26,39,0,37
2017-04-02,<1,44,30,22,67,11,0,27,42,19,0,35,63,35,30,28
2017-04-09,1,30,47,17,93,12,31,28,19,29,28,27,40,24,0,38
2017-04-16,<1,23,58,36,65,18,0,28,25,29,100,55,80,0,32,39
2017-04-23,1,38,39,17,47,23,46,55,31,19,0,27,35,24,0,57
2017-04-30,1,73,35,11,70,22,30,40,54,19,0,39,50,23,30,19
2017-05-07,<1,21,0,14,86,16,43,61,0,27,27,38,75,23,29,24
2017-05-14,<1,60,39,20,54,11,31,41,28,19,0,0,52,35,0,25
2017-05-21,<1,39,32,24,69,36,0,42,57,40,29,42,27,49,31,32
2017-05-28,<1,40,28,19,75,25,33,29,100,21,0,67,56,51,0,61
2017-06-04,<1,31,16,21,77,12,0,0,63,19,28,27,26,24,31,38
2017-06-11,<1,46,31,20,58,27,46,28,19,0,0,41,44,47,31,64
2017-06-18,<1,30,46,9,81,17,60,27,18,19,28,27,34,24,31,50
2017-06-25,<1,61,0,13,67,17,31,37,47,19,28,27,26,24,31,58
2017-07-02,<1,16,22,15,65,24,64,29,39,20,30,29,0,25,0,40
2017-07-09,<1,16,21,15,70,24,31,47,19,40,29,55,27,25,48,39
2017-07-16,<1,40,22,14,64,16,31,57,19,40,30,28,0,25,32,59
2017-07-23,<1,54,58,18,90,0,0,0,38,26,0,28,54,49,0,78
2017-07-30,<1,24,32,39,79,16,79,29,19,20,0,56,27,49,0,69
2017-08-06,1,32,49,32,54,16,0,29,30,41,0,29,28,38,33,20
2017-08-13,<1,62,43,31,81,27,36,0,22,0,0,64,46,0,0,56
2017-08-20,<1,31,24,21,75,18,32,57,19,20,0,0,27,25,32,100
2017-08-27,<1,43,29,12,74,18,43,52,18,0,0,25,0,0,29,27
2017-09-03,<1,28,28,24,79,11,0,0,34,18,0,25,24,0,29,35
2017-09-10,<1,41,35,37,74,16,28,41,34,17,0,24,47,43,0,29
2017-09-17,<1,42,19,16,68,11,28,25,26,30,52,25,36,22,28,29
2017-09-24,<1,28,33,13,63,16,28,26,34,36,0,38,24,22,43,18
2017-10-01,<1,56,29,24,60,14,0,42,46,18,0,0,24,22,0,17
2017-10-08,1,100,44,22,75,11,29,61,26,46,0,26,25,23,0,24
2017-10-15,1,56,39,22,60,11,56,26,17,71,26,25,37,30,0,27
2017-10-22,<1,14,48,19,68,18,56,76,26,35,0,50,36,44,29,52
2017-10-29,<1,43,15,17,85,11,43,39,23,18,53,51,25,30,0,27
2017-11-05,<1,54,28,27,54,16,55,50,25,17,25,25,24,32,0,40
2017-11-12,1,34,57,24,75,16,55,59,17,26,26,33,36,22,56,17
2017-11-19,<1,62,33,24,56,32,55,25,17,23,38,36,39,32,28,23
2017-11-26,1,34,23,21,65,10,28,100,34,53,25,25,24,32,28,43
2017-12-03,<1,29,25,33,72,18,88,26,27,0,27,26,25,46,30,30
2017-12-10,<1,28,29,27,58,32,0,42,17,27,26,66,24,22,28,35
2017-12-17,<1,15,16,35,68,23,0,42,31,0,28,27,26,24,31,29
2017-12-24,1,16,28,31,72,16,32,79,20,62,30,29,57,26,33,41
2017-12-31,1,30,31,37,60,34,76,27,18,38,0,40,52,59,31,31
2018-01-07,<1,41,47,24,61,21,55,37,17,17,0,98,47,21,0,26
2018-01-14,<1,68,56,13,62,10,27,74,33,17,25,24,70,28,27,45
2018-01-21,1,47,27,15,88,25,27,36,16,17,25,36,23,21,27,17
2018-01-28,<1,27,41,15,67,15,27,48,33,17,25,0,23,28,27,17
2018-02-04,<1,52,13,35,48,13,53,71,24,33,24,35,45,31,27,57
2018-02-11,<1,27,37,26,61,25,54,0,22,25,25,24,35,53,27,28
2018-02-18,<1,58,20,30,55,29,52,63,16,22,0,31,22,51,26,32
2018-02-25,<1,38,17,17,68,10,0,39,31,16,0,23,33,47,26,24
2018-03-04,<1,19,22,20,67,10,26,35,24,16,0,23,22,41,27,33
2018-03-11,<1,33,20,15,61,15,26,72,24,34,36,24,45,21,27,38
2018-03-18,<1,40,14,25,61,20,53,80,33,39,0,47,46,21,27,41
2018-03-25,<1,49,43,20,84,21,42,38,26,36,26,25,48,22,28,61
2018-04-01,<1,57,37,27,64,18,29,52,18,27,27,51,25,34,0,45
2018-04-08,<1,47,27,33,82,20,41,49,0,17,0,0,23,42,41,39
2018-04-15,1,34,28,21,89,28,55,25,34,35,0,24,48,32,28,51
2018-04-22,<1,36,29,19,81,16,43,60,17,0,53,51,49,37,0,24
2018-04-29,<1,81,28,26,88,36,0,33,22,40,38,84,23,21,0,25
2018-05-06,<1,47,14,20,81,25,53,40,25,28,25,59,46,21,0,33
2018-05-13,<1,33,37,26,60,10,27,49,33,28,25,47,23,21,0,25
2018-05-20,<1,27,27,20,57,10,40,61,49,34,0,36,23,21,27,50
2018-05-27,<1,61,21,16,74,28,28,37,45,0,50,0,36,0,42,60
2018-06-03,<1,20,32,21,75,21,27,41,0,17,0,24,71,21,0,17
2018-06-10,<1,65,13,19,61,20,26,23,16,33,48,0,34,20,0,43
2018-06-17,<1,13,28,15,74,10,27,24,17,0,25,24,23,35,0,42
2018-06-24,<1,34,28,21,66,0,27,37,17,35,25,36,23,32,42,51
2018-07-01,<1,27,14,20,58,10,0,24,16,17,25,24,23,42,27,42
2018-07-08,<1,13,14,8,91,10,0,24,0,23,0,48,0,0,0,42
2018-07-15,<1,14,28,13,74,10,28,49,34,23,25,0,35,0,0,26
2018-07-22,<1,14,37,18,79,15,0,25,0,17,0,61,31,21,0,40
2018-07-29,<1,28,28,20,61,11,28,76,17,18,26,37,32,44,28,40
2018-08-05,<1,22,30,17,67,18,44,79,18,24,0,34,25,45,29,36
2018-08-12,<1,30,39,22,59,15,0,0,28,19,0,54,26,24,31,47
2018-08-19,1,37,20,21,75,22,60,27,18,19,0,39,25,35,0,37
2018-08-26,<1,27,33,23,75,10,27,50,17,17,25,49,70,43,0,51
2018-09-02,<1,33,27,20,72,20,53,71,16,17,24,23,45,31,0,65
2018-09-09,<1,13,22,15,82,0,53,48,16,17,24,35,23,21,27,49
2018-09-16,<1,26,31,19,67,20,26,0,16,43,71,23,22,27,26,56
2018-09-23,1,52,18,8,69,20,26,48,16,34,24,23,23,41,27,16
2018-09-30,1,20,14,23,74,10,40,32,27,45,0,39,23,21,27,33
2018-10-07,1,20,28,31,75,10,0,49,16,34,25,36,47,42,41,28
2018-10-14,<1,61,28,21,66,21,28,58,17,17,0,36,23,21,28,45
2018-10-21,1,47,20,15,70,37,27,32,16,28,25,71,46,35,0,44
2018-10-28,1,39,36,15,50,37,40,24,16,17,24,0,23,21,0,55
2018-11-04,<1,45,20,25,63,20,39,59,48,17,36,23,22,30,52,38
2018-11-11,1,41,41,28,56,10,27,48,25,34,0,24,23,32,27,34
2018-11-18,<1,39,36,15,66,23,27,47,0,22,36,23,23,41,27,49
2018-11-25,1,27,20,30,85,10,0,64,32,34,37,48,23,21,27,42
2018-12-02,<1,41,19,21,68,26,0,25,42,17,0,0,23,50,28,59
2018-12-09,1,61,21,31,63,16,0,66,28,17,0,24,35,21,0,68
2018-12-16,<1,28,36,30,71,11,0,38,17,27,26,25,25,0,28,35
2018-12-23,1,40,49,40,70,20,64,68,39,41,0,0,28,25,0,53
2018-12-30,1,44,45,45,84,26,30,66,27,25,27,26,25,38,0,37
2019-01-06,1,20,55,31,82,14,27,24,33,26,0,24,31,0,41,39
2019-01-13,1,26,47,45,78,10,26,32,24,0,49,23,23,21,27,25
2019-01-20,<1,31,26,82,56,19,0,23,31,37,46,0,22,0,26,37
2019-01-27,<1,25,26,29,59,19,25,68,46,16,23,33,22,20,25,78
2019-02-03,<1,32,33,34,75,29,77,23,31,16,24,45,37,27,26,42
2019-02-10,<1,32,26,25,60,20,26,23,16,0,24,23,0,20,0,48
2019-02-17,<1,79,36,43,67,36,52,55,43,33,24,23,0,41,53,38
2019-02-24,<1,32,48,25,69,24,52,23,16,27,24,23,33,40,26,64
2019-03-03,<1,74,32,36,77,36,0,73,25,17,50,48,23,0,0,45
2019-03-10,<1,66,20,20,72,35,40,24,49,17,0,0,23,83,27,42
2019-03-17,<1,34,28,18,78,24,68,24,50,17,25,36,23,21,27,39
2019-03-24,1,40,55,18,65,20,54,37,25,51,25,0,0,42,27,62
2019-03-31,1,40,27,20,85,20,27,24,41,28,24,23,23,49,27,39
2019-04-07,1,26,40,28,62,17,26,24,27,100,0,35,34,20,36,27
2019-04-14,3,27,56,21,70,21,27,66,25,52,0,37,24,43,42,26
2019-04-21,1,57,44,16,77,22,58,39,18,18,53,38,25,22,43,24
2019-04-28,1,13,59,25,79,60,53,56,27,33,37,47,34,0,54,66
2019-05-05,<1,57,20,27,74,16,26,70,16,16,0,30,66,40,26,37
2019-05-12,1,57,33,27,94,26,26,54,16,27,24,23,29,0,26,32
2019-05-19,<1,19,39,29,89,10,26,46,16,24,0,23,44,20,26,32
2019-05-26,<1,37,46,19,68,14,25,22,15,31,0,0,50,29,0,38
2019-06-02,<1,26,41,27,81,40,0,0,33,0,0,24,53,21,27,49
2019-06-09,<1,26,41,25,100,15,27,24,16,17,0,24,38,28,27,39
2019-06-16,<1,33,27,20,89,14,27,49,33,34,37,24,0,21,27,39
2019-06-23,<1,14,33,21,73,14,27,25,17,23,0,24,0,21,28,51
2019-06-30,<1,27,28,13,84,10,27,0,17,17,0,40,23,32,0,56
2019-07-07,<1,39,40,22,87,10,26,35,24,33,0,47,30,20,26,33
2019-07-14,<1,13,23,23,83,27,27,24,33,17,0,0,0,63,27,56
2019-07-21,<1,54,56,18,72,14,81,58,0,17,38,24,0,21,0,28
2019-07-28,<1,28,33,21,80,25,28,37,34,35,25,37,0,0,28,46
2019-08-04,<1,64,29,19,78,16,0,39,70,36,27,25,0,22,0,54
