Categoría: Todas las categorías

Semana,plaza mayor: (Italia)
2015-08-02,33
2015-08-09,0
2015-08-16,26
2015-08-23,47
2015-08-30,29
2015-09-06,36
2015-09-13,21
2015-09-20,14
2015-09-27,42
2015-10-04,14
2015-10-11,35
2015-10-18,21
2015-10-25,14
2015-11-01,21
2015-11-08,57
2015-11-15,28
2015-11-22,28
2015-11-29,21
2015-12-06,29
2015-12-13,29
2015-12-20,67
2015-12-27,33
2016-01-03,55
2016-01-10,60
2016-01-17,76
2016-01-24,15
2016-01-31,52
2016-02-07,14
2016-02-14,44
2016-02-21,37
2016-02-28,22
2016-03-06,37
2016-03-13,53
2016-03-20,24
2016-03-27,16
2016-04-03,46
2016-04-10,55
2016-04-17,46
2016-04-24,40
2016-05-01,31
2016-05-08,38
2016-05-15,62
2016-05-22,31
2016-05-29,47
2016-06-05,23
2016-06-12,15
2016-06-19,16
2016-06-26,24
2016-07-03,34
2016-07-10,33
2016-07-17,52
2016-07-24,17
2016-07-31,53
2016-08-07,39
2016-08-14,42
2016-08-21,54
2016-08-28,99
2016-09-04,40
2016-09-11,16
2016-09-18,24
2016-09-25,40
2016-10-02,40
2016-10-09,16
2016-10-16,32
2016-10-23,32
2016-10-30,32
2016-11-06,46
2016-11-13,72
2016-11-20,53
2016-11-27,46
2016-12-04,39
2016-12-11,23
2016-12-18,17
2016-12-25,18
2017-01-01,40
2017-01-08,29
2017-01-15,43
2017-01-22,14
2017-01-29,57
2017-02-05,28
2017-02-12,36
2017-02-19,43
2017-02-26,28
2017-03-05,43
2017-03-12,51
2017-03-19,37
2017-03-26,52
2017-04-02,44
2017-04-09,30
2017-04-16,23
2017-04-23,38
2017-04-30,73
2017-05-07,21
2017-05-14,60
2017-05-21,39
2017-05-28,40
2017-06-04,31
2017-06-11,46
2017-06-18,30
2017-06-25,61
2017-07-02,16
2017-07-09,16
2017-07-16,40
2017-07-23,54
2017-07-30,24
2017-08-06,32
2017-08-13,62
2017-08-20,31
2017-08-27,43
2017-09-03,28
2017-09-10,41
2017-09-17,42
2017-09-24,28
2017-10-01,56
2017-10-08,100
2017-10-15,56
2017-10-22,14
2017-10-29,43
2017-11-05,54
2017-11-12,34
2017-11-19,62
2017-11-26,34
2017-12-03,29
2017-12-10,28
2017-12-17,15
2017-12-24,16
2017-12-31,30
2018-01-07,41
2018-01-14,68
2018-01-21,47
2018-01-28,27
2018-02-04,52
2018-02-11,27
2018-02-18,58
2018-02-25,38
2018-03-04,19
2018-03-11,33
2018-03-18,40
2018-03-25,49
2018-04-01,57
2018-04-08,47
2018-04-15,34
2018-04-22,36
2018-04-29,81
2018-05-06,47
2018-05-13,33
2018-05-20,27
2018-05-27,61
2018-06-03,20
2018-06-10,65
2018-06-17,13
2018-06-24,34
2018-07-01,27
2018-07-08,13
2018-07-15,14
2018-07-22,14
2018-07-29,28
2018-08-05,22
2018-08-12,30
2018-08-19,37
2018-08-26,27
2018-09-02,33
2018-09-09,13
2018-09-16,26
2018-09-23,52
2018-09-30,20
2018-10-07,20
2018-10-14,61
2018-10-21,47
2018-10-28,39
2018-11-04,45
2018-11-11,41
2018-11-18,39
2018-11-25,27
2018-12-02,41
2018-12-09,61
2018-12-16,28
2018-12-23,40
2018-12-30,44
2019-01-06,20
2019-01-13,26
2019-01-20,31
2019-01-27,25
2019-02-03,32
2019-02-10,32
2019-02-17,79
2019-02-24,32
2019-03-03,74
2019-03-10,66
2019-03-17,34
2019-03-24,40
2019-03-31,40
2019-04-07,26
2019-04-14,27
2019-04-21,57
2019-04-28,13
2019-05-05,57
2019-05-12,57
2019-05-19,19
2019-05-26,37
2019-06-02,26
2019-06-09,26
2019-06-16,33
2019-06-23,14
2019-06-30,27
2019-07-07,39
2019-07-14,13
2019-07-21,54
2019-07-28,28
2019-08-04,64
2019-08-11,38
2019-08-18,28
2019-08-25,39
2019-09-01,36
2019-09-08,50
2019-09-15,92
2019-09-22,31
2019-09-29,12
2019-10-06,44
2019-10-13,68
2019-10-20,48
2019-10-27,43
2019-11-03,30
2019-11-10,78
2019-11-17,60
2019-11-24,24
2019-12-01,25
2019-12-08,25
2019-12-15,32
2019-12-22,50
2019-12-29,95
2020-01-05,31
2020-01-12,51
2020-01-19,76
2020-01-26,46
2020-02-02,51
2020-02-09,29
2020-02-16,47
2020-02-23,11
2020-03-01,38
2020-03-08,37
2020-03-15,10
2020-03-22,39
2020-03-29,30
2020-04-05,11
2020-04-12,21
2020-04-19,30
2020-04-26,26
2020-05-03,16
2020-05-10,47
2020-05-17,21
2020-05-24,16
2020-05-31,0
2020-06-07,22
2020-06-14,0
2020-06-21,0
2020-06-28,12
2020-07-05,0
2020-07-12,0
2020-07-19,18
2020-07-26,0
