Museo Nacional del Prado: (Países Bajos),Plaza Mayor: (Países Bajos),Parque de El Retiro: (Países Bajos),puerta del sol: (Países Bajos),gran via: (Países Bajos),Museo Nacional Thyssen-Bornemisza: (Países Bajos),Templo de Debod: (Países Bajos),Catedral de Santa María la Real de la Almudena: (Países Bajos),cibeles: (Países Bajos),Palacio de Cristal: (Países Bajos),Puerta de Alcalá: (Países Bajos),El Rastro: (Países Bajos),Plaza de Toros de Las Ventas: (Países Bajos),Chueca: (Países Bajos),callao: (Países Bajos),date
<1,75,0,38,64,37,50,17,47,0,0,51,40,38,56,2015-08-01
<1,54,46,66,68,33,50,17,46,51,0,46,0,47,46,2015-09-01
<1,72,30,64,74,49,48,17,45,0,0,45,36,30,74,2015-10-01
<1,34,43,63,62,31,47,16,87,46,0,44,34,29,64,2015-11-01
<1,87,32,47,47,18,47,18,51,51,0,49,0,33,48,2015-12-01
<1,72,62,67,54,17,50,17,47,49,0,47,73,91,45,2016-01-01
<1,75,32,86,53,35,52,17,49,51,0,48,0,32,48,2016-02-01
<1,100,64,51,57,35,51,0,71,100,0,48,37,31,58,2016-03-01
<1,50,64,35,61,35,52,17,71,51,57,48,38,64,24,2016-04-01
<1,38,36,33,67,34,0,18,78,0,0,47,76,36,54,2016-05-01
<1,38,61,34,100,33,100,17,47,51,0,0,38,32,48,2016-06-01
<1,45,100,41,81,21,0,21,56,0,0,57,44,33,37,2016-07-01
<1,60,0,83,69,20,63,21,57,0,61,59,40,39,42,2016-08-01
<1,81,34,36,72,30,0,19,51,0,60,0,40,34,61,2016-09-01
<1,40,34,36,82,27,53,18,50,52,59,100,38,100,72,2016-10-01
<1,51,32,35,23,26,0,17,49,51,0,0,38,0,47,2016-11-01
<1,39,0,38,68,26,0,19,49,50,63,47,39,70,61,2016-12-01
<1,36,30,49,76,17,48,17,46,0,0,46,36,31,45,2017-01-01
<1,54,61,33,50,33,49,17,45,49,0,68,0,60,100,2017-02-01
<1,52,44,48,50,25,47,17,46,0,0,0,35,29,88,2017-03-01
<1,48,31,34,68,26,49,25,47,50,55,46,0,31,45,2017-04-01
<1,77,41,45,48,17,50,34,100,52,0,50,74,33,35,2017-05-01
<1,72,61,33,54,16,49,16,92,0,53,45,48,60,34,2017-06-01
<1,38,32,35,68,17,51,34,98,51,56,49,37,93,24,2017-07-01
<1,38,0,35,46,0,52,18,0,50,57,49,38,64,24,2017-08-01
<1,66,56,32,62,32,0,16,87,0,52,44,35,29,29,2017-09-01
<1,70,55,31,34,16,92,30,43,88,0,86,0,30,63,2017-10-01
<1,67,56,30,50,30,45,15,84,0,0,42,33,55,41,2017-11-01
<1,44,48,42,45,31,51,34,43,47,50,44,37,0,24,2017-12-01
<1,33,55,30,69,22,0,15,42,0,0,42,0,55,61,2018-01-01
<1,34,58,31,42,31,0,16,43,46,51,44,34,29,43,2018-02-01
<1,34,28,41,40,15,0,15,84,0,51,0,66,0,62,2018-03-01
<1,70,29,48,51,31,46,48,43,48,52,0,100,29,37,2018-04-01
<1,70,30,32,58,29,45,45,44,47,50,0,52,59,31,2018-05-01
<1,33,28,58,77,31,44,15,85,43,0,42,33,28,47,2018-06-01
<1,37,61,33,58,15,46,16,45,45,0,43,0,30,37,2018-07-01
<1,52,29,32,22,16,48,24,46,48,52,44,34,43,64,2018-08-01
<1,50,28,62,91,31,45,30,42,46,50,42,66,28,63,2018-09-01
<1,69,44,31,60,0,47,31,87,0,100,44,34,29,43,2018-10-01
<1,33,54,30,52,15,45,15,42,0,50,41,0,40,31,2018-11-01
<1,35,29,63,42,17,89,17,48,0,0,48,35,0,70,2018-12-01
<1,47,28,59,71,15,45,15,41,0,0,40,31,26,31,2019-01-01
<1,65,56,40,60,30,44,23,42,0,50,41,32,54,61,2019-02-01
<1,50,28,100,50,23,45,15,61,43,0,0,33,55,81,2019-03-01
<1,34,57,51,41,15,47,31,86,44,50,44,68,54,43,2019-04-01
<1,48,81,58,58,44,43,15,81,43,49,40,32,80,40,2019-05-01
<1,60,67,29,37,15,43,15,39,42,45,0,32,54,47,2019-06-01
<1,71,30,33,54,33,49,16,86,48,54,0,33,30,67,2019-07-01
<1,36,28,33,62,31,49,16,45,48,52,45,0,0,56,2019-08-01
<1,45,40,58,56,29,43,14,40,41,0,40,31,79,51,2019-09-01
<1,46,26,29,83,21,0,28,39,40,46,39,31,0,59,2019-10-01
<1,91,26,28,62,21,42,27,58,0,0,39,30,49,65,2019-11-01
<1,63,27,44,56,21,42,14,39,45,0,41,31,53,38,2019-12-01
<1,44,48,27,71,13,40,18,74,40,44,0,29,25,37,2020-01-01
<1,29,25,27,35,27,40,27,0,0,0,37,29,24,37,2020-02-01
<1,55,67,26,40,36,36,0,34,38,41,35,55,0,44,2020-03-01
<1,27,23,25,25,12,37,13,35,0,42,35,27,0,17,2020-04-01
<1,27,44,25,41,0,37,13,35,0,41,33,0,23,24,2020-05-01
<1,54,22,46,39,13,0,12,33,0,0,0,27,0,23,2020-06-01
<1,29,23,0,18,100,0,100,75,37,0,0,58,25,40,2020-07-01
