Categoría: Todas las categorías

Semana,Plaza Mayor: (Países Bajos)
2015-08-02,45
2015-08-09,0
2015-08-16,0
2015-08-23,75
2015-08-30,0
2015-09-06,37
2015-09-13,54
2015-09-20,0
2015-09-27,0
2015-10-04,72
2015-10-11,0
2015-10-18,53
2015-10-25,35
2015-11-01,34
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,34
2015-12-06,87
2015-12-13,36
2015-12-20,39
2015-12-27,38
2016-01-03,36
2016-01-10,72
2016-01-17,37
2016-01-24,55
2016-01-31,0
2016-02-07,0
2016-02-14,38
2016-02-21,75
2016-02-28,38
2016-03-06,37
2016-03-13,100
2016-03-20,74
2016-03-27,38
2016-04-03,37
2016-04-10,50
2016-04-17,38
2016-04-24,38
2016-05-01,0
2016-05-08,38
2016-05-15,37
2016-05-22,36
2016-05-29,0
2016-06-05,38
2016-06-12,0
2016-06-19,0
2016-06-26,37
2016-07-03,40
2016-07-10,40
2016-07-17,45
2016-07-24,0
2016-07-31,45
2016-08-07,60
2016-08-14,46
2016-08-21,43
2016-08-28,40
2016-09-04,40
2016-09-11,39
2016-09-18,81
2016-09-25,59
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,40
2016-10-30,0
2016-11-06,51
2016-11-13,38
2016-11-20,0
2016-11-27,37
2016-12-04,0
2016-12-11,37
2016-12-18,39
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,36
2017-01-29,35
2017-02-05,0
2017-02-12,36
2017-02-19,54
2017-02-26,35
2017-03-05,35
2017-03-12,52
2017-03-19,0
2017-03-26,36
2017-04-02,36
2017-04-09,48
2017-04-16,36
2017-04-23,37
2017-04-30,0
2017-05-07,35
2017-05-14,37
2017-05-21,77
2017-05-28,73
2017-06-04,0
2017-06-11,72
2017-06-18,0
2017-06-25,36
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,38
2017-08-06,38
2017-08-13,0
2017-08-20,37
2017-08-27,0
2017-09-03,46
2017-09-10,66
2017-09-17,35
2017-09-24,35
2017-10-01,45
2017-10-08,34
2017-10-15,70
2017-10-22,67
2017-10-29,32
2017-11-05,66
2017-11-12,67
2017-11-19,32
2017-11-26,0
2017-12-03,44
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,33
2018-01-14,0
2018-01-21,33
2018-01-28,33
2018-02-04,0
2018-02-11,0
2018-02-18,34
2018-02-25,34
2018-03-04,34
2018-03-11,33
2018-03-18,33
2018-03-25,0
2018-04-01,0
2018-04-08,33
2018-04-15,70
2018-04-22,33
2018-04-29,34
2018-05-06,70
2018-05-13,33
2018-05-20,33
2018-05-27,31
2018-06-03,0
2018-06-10,32
2018-06-17,0
2018-06-24,33
2018-07-01,34
2018-07-08,0
2018-07-15,36
2018-07-22,0
2018-07-29,37
2018-08-05,36
2018-08-12,35
2018-08-19,35
2018-08-26,52
2018-09-02,50
2018-09-09,33
2018-09-16,33
2018-09-23,34
2018-09-30,33
2018-10-07,69
2018-10-14,68
2018-10-21,51
2018-10-28,66
2018-11-04,0
2018-11-11,33
2018-11-18,0
2018-11-25,33
2018-12-02,33
2018-12-09,0
2018-12-16,34
2018-12-23,0
2018-12-30,35
2019-01-06,32
2019-01-13,0
2019-01-20,47
2019-01-27,31
2019-02-03,32
2019-02-10,0
2019-02-17,33
2019-02-24,65
2019-03-03,33
2019-03-10,0
2019-03-17,32
2019-03-24,50
2019-03-31,0
2019-04-07,33
2019-04-14,0
2019-04-21,34
2019-04-28,0
2019-05-05,48
2019-05-12,31
2019-05-19,0
2019-05-26,0
2019-06-02,60
2019-06-09,30
2019-06-16,0
2019-06-23,43
2019-06-30,0
2019-07-07,32
2019-07-14,34
2019-07-21,0
2019-07-28,71
2019-08-04,36
2019-08-11,34
2019-08-18,0
2019-08-25,33
2019-09-01,31
2019-09-08,32
2019-09-15,32
2019-09-22,31
2019-09-29,45
2019-10-06,46
2019-10-13,0
2019-10-20,0
2019-10-27,30
2019-11-03,30
2019-11-10,91
2019-11-17,90
2019-11-24,29
2019-12-01,61
2019-12-08,46
2019-12-15,0
2019-12-22,50
2019-12-29,63
2020-01-05,30
2020-01-12,28
2020-01-19,44
2020-01-26,29
2020-02-02,0
2020-02-09,0
2020-02-16,29
2020-02-23,29
2020-03-01,28
2020-03-08,55
2020-03-15,0
2020-03-22,0
2020-03-29,26
2020-04-05,0
2020-04-12,27
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,26
2020-05-17,27
2020-05-24,26
2020-05-31,25
2020-06-07,25
2020-06-14,0
2020-06-21,54
2020-06-28,26
2020-07-05,27
2020-07-12,29
2020-07-19,0
2020-07-26,0
