Semana,Museo Nacional del Prado: (Países Bajos),Plaza Mayor: (Países Bajos),Parque de El Retiro: (Países Bajos),puerta del sol: (Países Bajos),gran via: (Países Bajos),Museo Nacional Thyssen-Bornemisza: (Países Bajos),Templo de Debod: (Países Bajos),Catedral de Santa María la Real de la Almudena: (Países Bajos),cibeles: (Países Bajos),Palacio de Cristal: (Países Bajos),Puerta de Alcalá: (Países Bajos),El Rastro: (Países Bajos),Plaza de Toros de Las Ventas: (Países Bajos),Chueca: (Países Bajos),callao: (Países Bajos)
2015-08-02,<1,45,0,0,64,0,0,0,0,0,0,0,0,38,56
2015-08-09,<1,0,0,38,0,0,0,0,0,0,0,0,0,35,26
2015-08-16,<1,0,0,36,48,37,0,0,0,0,0,51,40,0,25
2015-08-23,<1,75,0,0,0,17,0,17,0,0,0,0,0,0,24
2015-08-30,<1,0,0,33,37,17,50,0,47,0,0,0,0,31,23
2015-09-06,<1,37,0,34,68,17,0,17,0,51,0,0,0,47,0
2015-09-13,<1,54,0,66,65,16,0,0,46,49,0,0,0,30,23
2015-09-20,<1,0,0,0,29,33,0,0,46,49,0,46,0,0,46
2015-09-27,<1,0,46,34,33,17,50,0,0,0,0,0,0,0,23
2015-10-04,<1,72,30,0,54,49,0,17,0,0,0,0,36,30,23
2015-10-11,<1,0,0,64,74,16,0,0,44,0,0,0,35,29,22
2015-10-18,<1,53,30,32,28,16,48,16,45,0,0,45,35,29,74
2015-10-25,<1,35,30,32,42,16,48,0,0,0,0,0,35,0,22
2015-11-01,<1,34,0,0,42,31,0,0,0,0,0,44,34,29,43
2015-11-08,<1,0,43,63,62,24,0,0,87,0,0,0,34,0,54
2015-11-15,<1,0,29,31,41,16,0,16,0,0,0,0,34,0,36
2015-11-22,<1,0,0,31,62,16,0,0,43,46,0,0,0,0,22
2015-11-29,<1,34,0,31,21,16,47,0,0,46,0,0,0,28,64
2015-12-06,<1,87,0,32,21,0,47,0,44,0,0,0,0,0,22
2015-12-13,<1,36,0,33,0,16,0,0,0,0,0,0,0,0,22
2015-12-20,<1,39,0,0,47,18,0,18,51,0,0,0,0,33,24
2015-12-27,<1,38,32,47,47,0,0,18,0,51,0,49,0,0,48
2016-01-03,<1,36,31,66,36,17,0,0,46,0,0,0,36,0,38
2016-01-10,<1,72,30,33,54,16,0,17,0,0,0,0,35,0,45
2016-01-17,<1,37,0,67,0,17,50,17,46,49,0,47,0,0,35
2016-01-24,1,55,0,34,44,0,0,0,0,0,0,0,73,91,23
2016-01-31,<1,0,62,34,30,0,50,0,47,0,0,0,37,31,35
2016-02-07,1,0,0,0,46,0,0,0,0,51,0,48,0,32,24
2016-02-14,1,38,0,0,23,26,52,0,48,0,0,0,0,31,48
2016-02-21,<1,75,32,34,53,17,0,0,49,0,0,48,0,32,47
2016-02-28,<1,38,0,86,46,35,52,17,48,0,0,0,0,0,24
2016-03-06,1,37,0,34,34,17,0,0,71,100,0,0,0,31,31
2016-03-13,<1,100,64,34,38,35,0,0,48,51,0,0,0,0,23
2016-03-20,1,74,31,34,23,23,50,0,0,51,0,48,0,0,58
2016-03-27,<1,38,32,51,57,17,51,0,0,0,0,0,37,31,35
2016-04-03,<1,37,31,34,45,17,0,0,71,0,0,0,0,0,23
2016-04-10,<1,50,32,34,61,17,0,17,48,50,0,48,0,64,24
2016-04-17,<1,38,64,35,38,17,52,0,0,0,57,0,0,0,24
2016-04-24,<1,38,48,0,31,35,0,0,0,51,0,0,38,63,24
2016-05-01,<1,0,36,0,35,20,0,0,0,0,0,0,0,36,54
2016-05-08,<1,38,32,0,47,18,0,18,49,0,0,0,76,0,36
2016-05-15,1,37,0,0,67,17,0,0,0,0,0,0,37,31,46
2016-05-22,<1,36,31,0,67,25,0,17,70,0,0,47,36,31,23
2016-05-29,<1,0,31,33,0,34,0,0,78,0,0,0,36,0,23
2016-06-05,<1,38,32,0,69,17,0,17,0,51,0,0,38,32,48
2016-06-12,<1,0,61,0,22,33,49,17,0,0,0,0,0,30,34
2016-06-19,<1,0,0,33,100,17,100,0,0,49,0,0,37,0,0
2016-06-26,<1,37,31,34,81,0,0,0,47,0,0,0,36,0,46
2016-07-03,<1,40,100,36,32,18,0,0,0,0,0,0,0,0,37
2016-07-10,<1,40,34,37,24,0,0,0,0,0,0,0,40,33,25
2016-07-17,<1,45,0,0,54,21,0,0,0,0,0,57,0,0,28
2016-07-24,<1,0,0,0,27,20,0,0,56,0,0,0,44,0,0
