Categoría: Todas las categorías

Semana,puerta de alcala: (España)
2015-08-02,31
2015-08-09,26
2015-08-16,31
2015-08-23,33
2015-08-30,30
2015-09-06,28
2015-09-13,33
2015-09-20,34
2015-09-27,33
2015-10-04,45
2015-10-11,46
2015-10-18,38
2015-10-25,40
2015-11-01,39
2015-11-08,39
2015-11-15,40
2015-11-22,48
2015-11-29,40
2015-12-06,44
2015-12-13,32
2015-12-20,39
2015-12-27,45
2016-01-03,30
2016-01-10,39
2016-01-17,45
2016-01-24,43
2016-01-31,40
2016-02-07,29
2016-02-14,41
2016-02-21,37
2016-02-28,39
2016-03-06,48
2016-03-13,43
2016-03-20,38
2016-03-27,37
2016-04-03,44
2016-04-10,44
2016-04-17,45
2016-04-24,44
2016-05-01,42
2016-05-08,37
2016-05-15,42
2016-05-22,49
2016-05-29,49
2016-06-05,53
2016-06-12,35
2016-06-19,37
2016-06-26,50
2016-07-03,30
2016-07-10,46
2016-07-17,26
2016-07-24,34
2016-07-31,48
2016-08-07,44
2016-08-14,32
2016-08-21,32
2016-08-28,31
2016-09-04,40
2016-09-11,35
2016-09-18,41
2016-09-25,39
2016-10-02,60
2016-10-09,45
2016-10-16,38
2016-10-23,36
2016-10-30,39
2016-11-06,77
2016-11-13,47
2016-11-20,45
2016-11-27,42
2016-12-04,72
2016-12-11,65
2016-12-18,85
2016-12-25,60
2017-01-01,42
2017-01-08,41
2017-01-15,48
2017-01-22,26
2017-01-29,39
2017-02-05,40
2017-02-12,40
2017-02-19,53
2017-02-26,50
2017-03-05,39
2017-03-12,33
2017-03-19,45
2017-03-26,48
2017-04-02,41
2017-04-09,52
2017-04-16,42
2017-04-23,38
2017-04-30,36
2017-05-07,39
2017-05-14,35
2017-05-21,43
2017-05-28,33
2017-06-04,55
2017-06-11,42
2017-06-18,41
2017-06-25,48
2017-07-02,50
2017-07-09,37
2017-07-16,31
2017-07-23,39
2017-07-30,30
2017-08-06,37
2017-08-13,39
2017-08-20,23
2017-08-27,27
2017-09-03,38
2017-09-10,31
2017-09-17,37
2017-09-24,43
2017-10-01,48
2017-10-08,40
2017-10-15,57
2017-10-22,52
2017-10-29,40
2017-11-05,35
2017-11-12,52
2017-11-19,44
2017-11-26,54
2017-12-03,71
2017-12-10,47
2017-12-17,40
2017-12-24,35
2017-12-31,37
2018-01-07,30
2018-01-14,45
2018-01-21,35
2018-01-28,31
2018-02-04,31
2018-02-11,39
2018-02-18,34
2018-02-25,43
2018-03-04,36
2018-03-11,33
2018-03-18,46
2018-03-25,47
2018-04-01,43
2018-04-08,43
2018-04-15,43
2018-04-22,31
2018-04-29,44
2018-05-06,41
2018-05-13,44
2018-05-20,41
2018-05-27,60
2018-06-03,44
2018-06-10,40
2018-06-17,35
2018-06-24,45
2018-07-01,43
2018-07-08,29
2018-07-15,44
2018-07-22,37
2018-07-29,42
2018-08-05,46
2018-08-12,32
2018-08-19,27
2018-08-26,36
2018-09-02,38
2018-09-09,51
2018-09-16,90
2018-09-23,59
2018-09-30,65
2018-10-07,100
2018-10-14,58
2018-10-21,90
2018-10-28,61
2018-11-04,50
2018-11-11,53
2018-11-18,45
2018-11-25,60
2018-12-02,57
2018-12-09,47
2018-12-16,45
2018-12-23,58
2018-12-30,54
2019-01-06,36
2019-01-13,43
2019-01-20,38
2019-01-27,36
2019-02-03,36
2019-02-10,62
2019-02-17,43
2019-02-24,32
2019-03-03,41
2019-03-10,46
2019-03-17,37
2019-03-24,49
2019-03-31,33
2019-04-07,35
2019-04-14,44
2019-04-21,38
2019-04-28,30
2019-05-05,25
2019-05-12,36
2019-05-19,45
2019-05-26,43
2019-06-02,51
2019-06-09,40
2019-06-16,39
2019-06-23,47
2019-06-30,56
2019-07-07,36
2019-07-14,33
2019-07-21,46
2019-07-28,37
2019-08-04,37
2019-08-11,33
2019-08-18,46
2019-08-25,39
2019-09-01,38
2019-09-08,29
2019-09-15,40
2019-09-22,52
2019-09-29,42
2019-10-06,45
2019-10-13,57
2019-10-20,37
2019-10-27,65
2019-11-03,38
2019-11-10,42
2019-11-17,41
2019-11-24,39
2019-12-01,54
2019-12-08,47
2019-12-15,35
2019-12-22,48
2019-12-29,60
2020-01-05,38
2020-01-12,36
2020-01-19,40
2020-01-26,35
2020-02-02,42
2020-02-09,42
2020-02-16,40
2020-02-23,42
2020-03-01,33
2020-03-08,19
2020-03-15,20
2020-03-22,15
2020-03-29,19
2020-04-05,18
2020-04-12,25
2020-04-19,36
2020-04-26,33
2020-05-03,31
2020-05-10,29
2020-05-17,28
2020-05-24,29
2020-05-31,29
2020-06-07,31
2020-06-14,19
2020-06-21,19
2020-06-28,23
2020-07-05,23
2020-07-12,23
2020-07-19,22
2020-07-26,45
