Categoría: Todas las categorías

Semana,el rastro: (España)
2015-08-02,67
2015-08-09,72
2015-08-16,84
2015-08-23,68
2015-08-30,59
2015-09-06,71
2015-09-13,65
2015-09-20,67
2015-09-27,66
2015-10-04,60
2015-10-11,69
2015-10-18,81
2015-10-25,59
2015-11-01,73
2015-11-08,47
2015-11-15,63
2015-11-22,50
2015-11-29,68
2015-12-06,77
2015-12-13,89
2015-12-20,100
2015-12-27,82
2016-01-03,55
2016-01-10,52
2016-01-17,65
2016-01-24,67
2016-01-31,79
2016-02-07,62
2016-02-14,45
2016-02-21,78
2016-02-28,66
2016-03-06,54
2016-03-13,60
2016-03-20,72
2016-03-27,58
2016-04-03,51
2016-04-10,86
2016-04-17,67
2016-04-24,57
2016-05-01,67
2016-05-08,58
2016-05-15,52
2016-05-22,59
2016-05-29,50
2016-06-05,43
2016-06-12,33
2016-06-19,45
2016-06-26,56
2016-07-03,28
2016-07-10,40
2016-07-17,46
2016-07-24,62
2016-07-31,55
2016-08-07,54
2016-08-14,66
2016-08-21,71
2016-08-28,55
2016-09-04,55
2016-09-11,57
2016-09-18,55
2016-09-25,76
2016-10-02,67
2016-10-09,96
2016-10-16,96
2016-10-23,90
2016-10-30,77
2016-11-06,86
2016-11-13,69
2016-11-20,57
2016-11-27,67
2016-12-04,86
2016-12-11,61
2016-12-18,39
2016-12-25,52
2017-01-01,57
2017-01-08,52
2017-01-15,67
2017-01-22,54
2017-01-29,51
2017-02-05,51
2017-02-12,49
2017-02-19,53
2017-02-26,62
2017-03-05,60
2017-03-12,64
2017-03-19,65
2017-03-26,55
2017-04-02,50
2017-04-09,90
2017-04-16,77
2017-04-23,61
2017-04-30,65
2017-05-07,57
2017-05-14,58
2017-05-21,50
2017-05-28,39
2017-06-04,60
2017-06-11,36
2017-06-18,43
2017-06-25,71
2017-07-02,61
2017-07-09,58
2017-07-16,69
2017-07-23,63
2017-07-30,44
2017-08-06,71
2017-08-13,63
2017-08-20,59
2017-08-27,67
2017-09-03,53
2017-09-10,59
2017-09-17,62
2017-09-24,51
2017-10-01,65
2017-10-08,77
2017-10-15,61
2017-10-22,64
2017-10-29,63
2017-11-05,79
2017-11-12,81
2017-11-19,62
2017-11-26,68
2017-12-03,74
2017-12-10,67
2017-12-17,51
2017-12-24,49
2017-12-31,49
2018-01-07,59
2018-01-14,56
2018-01-21,74
2018-01-28,76
2018-02-04,51
2018-02-11,55
2018-02-18,55
2018-02-25,70
2018-03-04,52
2018-03-11,73
2018-03-18,68
2018-03-25,83
2018-04-01,61
2018-04-08,71
2018-04-15,76
2018-04-22,53
2018-04-29,58
2018-05-06,64
2018-05-13,61
2018-05-20,58
2018-05-27,62
2018-06-03,70
2018-06-10,86
2018-06-17,60
2018-06-24,64
2018-07-01,53
2018-07-08,47
2018-07-15,57
2018-07-22,67
2018-07-29,81
2018-08-05,70
2018-08-12,65
2018-08-19,70
2018-08-26,53
2018-09-02,70
2018-09-09,75
2018-09-16,77
2018-09-23,71
2018-09-30,75
2018-10-07,82
2018-10-14,88
2018-10-21,77
2018-10-28,89
2018-11-04,69
2018-11-11,54
2018-11-18,61
2018-11-25,69
2018-12-02,66
2018-12-09,58
2018-12-16,47
2018-12-23,68
2018-12-30,68
2019-01-06,59
2019-01-13,77
2019-01-20,67
2019-01-27,65
2019-02-03,58
2019-02-10,53
2019-02-17,79
2019-02-24,70
2019-03-03,63
2019-03-10,63
2019-03-17,81
2019-03-24,58
2019-03-31,66
2019-04-07,61
2019-04-14,78
2019-04-21,66
2019-04-28,64
2019-05-05,59
2019-05-12,53
2019-05-19,52
2019-05-26,43
2019-06-02,49
2019-06-09,56
2019-06-16,43
2019-06-23,55
2019-06-30,52
2019-07-07,39
2019-07-14,62
2019-07-21,51
2019-07-28,70
2019-08-04,60
2019-08-11,64
2019-08-18,67
2019-08-25,65
2019-09-01,47
2019-09-08,64
2019-09-15,74
2019-09-22,70
2019-09-29,68
2019-10-06,71
2019-10-13,67
2019-10-20,52
2019-10-27,74
2019-11-03,61
2019-11-10,63
2019-11-17,74
2019-11-24,65
2019-12-01,71
2019-12-08,63
2019-12-15,60
2019-12-22,73
2019-12-29,73
2020-01-05,38
2020-01-12,57
2020-01-19,56
2020-01-26,57
2020-02-02,52
2020-02-09,59
2020-02-16,71
2020-02-23,69
2020-03-01,61
2020-03-08,49
2020-03-15,25
2020-03-22,23
2020-03-29,23
2020-04-05,27
2020-04-12,26
2020-04-19,17
2020-04-26,22
2020-05-03,25
2020-05-10,25
2020-05-17,41
2020-05-24,32
2020-05-31,49
2020-06-07,47
2020-06-14,57
2020-06-21,63
2020-06-28,53
2020-07-05,65
2020-07-12,59
2020-07-19,54
2020-07-26,100
