Categoría: Todas las categorías

Semana,las ventas: (España)
2015-08-02,16
2015-08-09,18
2015-08-16,21
2015-08-23,20
2015-08-30,20
2015-09-06,24
2015-09-13,34
2015-09-20,29
2015-09-27,39
2015-10-04,22
2015-10-11,18
2015-10-18,13
2015-10-25,14
2015-11-01,17
2015-11-08,13
2015-11-15,10
2015-11-22,13
2015-11-29,14
2015-12-06,11
2015-12-13,13
2015-12-20,10
2015-12-27,12
2016-01-03,11
2016-01-10,13
2016-01-17,13
2016-01-24,10
2016-01-31,16
2016-02-07,15
2016-02-14,16
2016-02-21,16
2016-02-28,17
2016-03-06,15
2016-03-13,18
2016-03-20,21
2016-03-27,21
2016-04-03,19
2016-04-10,26
2016-04-17,26
2016-04-24,38
2016-05-01,59
2016-05-08,79
2016-05-15,84
2016-05-22,76
2016-05-29,70
2016-06-05,38
2016-06-12,28
2016-06-19,24
2016-06-26,17
2016-07-03,17
2016-07-10,18
2016-07-17,15
2016-07-24,22
2016-07-31,18
2016-08-07,15
2016-08-14,16
2016-08-21,20
2016-08-28,22
2016-09-04,33
2016-09-11,29
2016-09-18,28
2016-09-25,45
2016-10-02,23
2016-10-09,22
2016-10-16,16
2016-10-23,11
2016-10-30,10
2016-11-06,12
2016-11-13,15
2016-11-20,15
2016-11-27,13
2016-12-04,12
2016-12-11,11
2016-12-18,13
2016-12-25,14
2017-01-01,12
2017-01-08,14
2017-01-15,13
2017-01-22,10
2017-01-29,16
2017-02-05,15
2017-02-12,16
2017-02-19,14
2017-02-26,13
2017-03-05,21
2017-03-12,23
2017-03-19,24
2017-03-26,28
2017-04-02,33
2017-04-09,27
2017-04-16,24
2017-04-23,24
2017-04-30,47
2017-05-07,55
2017-05-14,89
2017-05-21,85
2017-05-28,75
2017-06-04,65
2017-06-11,45
2017-06-18,44
2017-06-25,25
2017-07-02,33
2017-07-09,18
2017-07-16,15
2017-07-23,16
2017-07-30,15
2017-08-06,16
2017-08-13,19
2017-08-20,20
2017-08-27,20
2017-09-03,21
2017-09-10,30
2017-09-17,23
2017-09-24,36
2017-10-01,21
2017-10-08,19
2017-10-15,14
2017-10-22,13
2017-10-29,12
2017-11-05,11
2017-11-12,14
2017-11-19,12
2017-11-26,13
2017-12-03,12
2017-12-10,13
2017-12-17,12
2017-12-24,13
2017-12-31,11
2018-01-07,12
2018-01-14,12
2018-01-21,11
2018-01-28,13
2018-02-04,13
2018-02-11,15
2018-02-18,16
2018-02-25,16
2018-03-04,20
2018-03-11,16
2018-03-18,23
2018-03-25,29
2018-04-01,23
2018-04-08,20
2018-04-15,25
2018-04-22,29
2018-04-29,59
2018-05-06,63
2018-05-13,84
2018-05-20,72
2018-05-27,73
2018-06-03,63
2018-06-10,29
2018-06-17,15
2018-06-24,16
2018-07-01,13
2018-07-08,15
2018-07-15,16
2018-07-22,16
2018-07-29,16
2018-08-05,14
2018-08-12,21
2018-08-19,18
2018-08-26,22
2018-09-02,20
2018-09-09,26
2018-09-16,30
2018-09-23,37
2018-09-30,42
2018-10-07,36
2018-10-14,21
2018-10-21,11
2018-10-28,14
2018-11-04,14
2018-11-11,14
2018-11-18,11
2018-11-25,13
2018-12-02,13
2018-12-09,13
2018-12-16,13
2018-12-23,9
2018-12-30,11
2019-01-06,11
2019-01-13,13
2019-01-20,14
2019-01-27,17
2019-02-03,17
2019-02-10,15
2019-02-17,18
2019-02-24,17
2019-03-03,15
2019-03-10,20
2019-03-17,22
2019-03-24,25
2019-03-31,21
2019-04-07,20
2019-04-14,23
2019-04-21,22
2019-04-28,28
2019-05-05,47
2019-05-12,79
2019-05-19,100
2019-05-26,88
2019-06-02,68
2019-06-09,81
2019-06-16,29
2019-06-23,20
2019-06-30,22
2019-07-07,18
2019-07-14,17
2019-07-21,16
2019-07-28,16
2019-08-04,14
2019-08-11,18
2019-08-18,17
2019-08-25,19
2019-09-01,22
2019-09-08,19
2019-09-15,27
2019-09-22,34
2019-09-29,41
2019-10-06,38
2019-10-13,25
2019-10-20,15
2019-10-27,16
2019-11-03,18
2019-11-10,18
2019-11-17,16
2019-11-24,15
2019-12-01,20
2019-12-08,15
2019-12-15,13
2019-12-22,12
2019-12-29,11
2020-01-05,13
2020-01-12,12
2020-01-19,14
2020-01-26,17
2020-02-02,18
2020-02-09,19
2020-02-16,16
2020-02-23,17
2020-03-01,15
2020-03-08,13
2020-03-15,9
2020-03-22,8
2020-03-29,9
2020-04-05,9
2020-04-12,10
2020-04-19,10
2020-04-26,11
2020-05-03,11
2020-05-10,13
2020-05-17,8
2020-05-24,11
2020-05-31,9
2020-06-07,12
2020-06-14,11
2020-06-21,9
2020-06-28,11
2020-07-05,10
2020-07-12,9
2020-07-19,10
2020-07-26,13
