Categoría: Todas las categorías

Semana,chueca: (España)
2015-08-02,83
2015-08-09,88
2015-08-16,94
2015-08-23,92
2015-08-30,93
2015-09-06,88
2015-09-13,78
2015-09-20,79
2015-09-27,89
2015-10-04,88
2015-10-11,88
2015-10-18,80
2015-10-25,83
2015-11-01,86
2015-11-08,89
2015-11-15,84
2015-11-22,76
2015-11-29,86
2015-12-06,100
2015-12-13,90
2015-12-20,86
2015-12-27,94
2016-01-03,71
2016-01-10,72
2016-01-17,73
2016-01-24,75
2016-01-31,72
2016-02-07,74
2016-02-14,66
2016-02-21,70
2016-02-28,64
2016-03-06,67
2016-03-13,74
2016-03-20,80
2016-03-27,83
2016-04-03,69
2016-04-10,79
2016-04-17,73
2016-04-24,74
2016-05-01,73
2016-05-08,70
2016-05-15,71
2016-05-22,73
2016-05-29,73
2016-06-05,72
2016-06-12,74
2016-06-19,79
2016-06-26,86
2016-07-03,85
2016-07-10,75
2016-07-17,71
2016-07-24,82
2016-07-31,77
2016-08-07,77
2016-08-14,74
2016-08-21,74
2016-08-28,78
2016-09-04,82
2016-09-11,74
2016-09-18,73
2016-09-25,73
2016-10-02,75
2016-10-09,70
2016-10-16,73
2016-10-23,73
2016-10-30,72
2016-11-06,77
2016-11-13,78
2016-11-20,71
2016-11-27,68
2016-12-04,79
2016-12-11,67
2016-12-18,58
2016-12-25,84
2017-01-01,74
2017-01-08,68
2017-01-15,64
2017-01-22,68
2017-01-29,68
2017-02-05,79
2017-02-12,64
2017-02-19,66
2017-02-26,62
2017-03-05,63
2017-03-12,60
2017-03-19,69
2017-03-26,65
2017-04-02,68
2017-04-09,70
2017-04-16,65
2017-04-23,58
2017-04-30,65
2017-05-07,59
2017-05-14,67
2017-05-21,63
2017-05-28,62
2017-06-04,59
2017-06-11,57
2017-06-18,67
2017-06-25,92
2017-07-02,69
2017-07-09,59
2017-07-16,58
2017-07-23,62
2017-07-30,64
2017-08-06,64
2017-08-13,54
2017-08-20,54
2017-08-27,47
2017-09-03,51
2017-09-10,53
2017-09-17,49
2017-09-24,50
2017-10-01,49
2017-10-08,53
2017-10-15,52
2017-10-22,52
2017-10-29,51
2017-11-05,52
2017-11-12,57
2017-11-19,45
2017-11-26,42
2017-12-03,64
2017-12-10,42
2017-12-17,44
2017-12-24,52
2017-12-31,44
2018-01-07,47
2018-01-14,44
2018-01-21,43
2018-01-28,49
2018-02-04,41
2018-02-11,50
2018-02-18,46
2018-02-25,47
2018-03-04,42
2018-03-11,47
2018-03-18,47
2018-03-25,55
2018-04-01,43
2018-04-08,43
2018-04-15,47
2018-04-22,45
2018-04-29,44
2018-05-06,49
2018-05-13,45
2018-05-20,42
2018-05-27,40
2018-06-03,49
2018-06-10,50
2018-06-17,51
2018-06-24,50
2018-07-01,71
2018-07-08,51
2018-07-15,47
2018-07-22,48
2018-07-29,48
2018-08-05,47
2018-08-12,44
2018-08-19,46
2018-08-26,50
2018-09-02,46
2018-09-09,45
2018-09-16,45
2018-09-23,47
2018-09-30,53
2018-10-07,51
2018-10-14,48
2018-10-21,48
2018-10-28,46
2018-11-04,48
2018-11-11,46
2018-11-18,43
2018-11-25,50
2018-12-02,55
2018-12-09,55
2018-12-16,49
2018-12-23,53
2018-12-30,46
2019-01-06,43
2019-01-13,44
2019-01-20,46
2019-01-27,50
2019-02-03,51
2019-02-10,52
2019-02-17,46
2019-02-24,50
2019-03-03,46
2019-03-10,46
2019-03-17,46
2019-03-24,43
2019-03-31,43
2019-04-07,40
2019-04-14,47
2019-04-21,46
2019-04-28,44
2019-05-05,43
2019-05-12,41
2019-05-19,42
2019-05-26,44
2019-06-02,40
2019-06-09,42
2019-06-16,43
2019-06-23,47
2019-06-30,64
2019-07-07,43
2019-07-14,40
2019-07-21,40
2019-07-28,44
2019-08-04,41
2019-08-11,42
2019-08-18,45
2019-08-25,39
2019-09-01,44
2019-09-08,40
2019-09-15,43
2019-09-22,42
2019-09-29,48
2019-10-06,47
2019-10-13,52
2019-10-20,51
2019-10-27,46
2019-11-03,48
2019-11-10,46
2019-11-17,47
2019-11-24,41
2019-12-01,44
2019-12-08,63
2019-12-15,53
2019-12-22,63
2019-12-29,47
2020-01-05,47
2020-01-12,49
2020-01-19,51
2020-01-26,48
2020-02-02,52
2020-02-09,49
2020-02-16,47
2020-02-23,49
2020-03-01,45
2020-03-08,29
2020-03-15,21
2020-03-22,18
2020-03-29,19
2020-04-05,21
2020-04-12,19
2020-04-19,18
2020-04-26,18
2020-05-03,23
2020-05-10,26
2020-05-17,26
2020-05-24,31
2020-05-31,29
2020-06-07,30
2020-06-14,30
2020-06-21,39
2020-06-28,46
2020-07-05,36
2020-07-12,38
2020-07-19,36
2020-07-26,41
