Categoría: Todas las categorías

Semana,san gines: (España)
2015-08-02,43
2015-08-09,42
2015-08-16,77
2015-08-23,80
2015-08-30,23
2015-09-06,26
2015-09-13,24
2015-09-20,24
2015-09-27,26
2015-10-04,25
2015-10-11,37
2015-10-18,21
2015-10-25,25
2015-11-01,24
2015-11-08,25
2015-11-15,17
2015-11-22,28
2015-11-29,29
2015-12-06,27
2015-12-13,26
2015-12-20,38
2015-12-27,39
2016-01-03,16
2016-01-10,21
2016-01-17,28
2016-01-24,25
2016-01-31,22
2016-02-07,26
2016-02-14,29
2016-02-21,30
2016-02-28,25
2016-03-06,26
2016-03-13,18
2016-03-20,36
2016-03-27,31
2016-04-03,31
2016-04-10,31
2016-04-17,24
2016-04-24,24
2016-05-01,27
2016-05-08,28
2016-05-15,30
2016-05-22,27
2016-05-29,29
2016-06-05,25
2016-06-12,24
2016-06-19,27
2016-06-26,28
2016-07-03,25
2016-07-10,28
2016-07-17,25
2016-07-24,26
2016-07-31,40
2016-08-07,39
2016-08-14,43
2016-08-21,89
2016-08-28,31
2016-09-04,27
2016-09-11,18
2016-09-18,28
2016-09-25,27
2016-10-02,17
2016-10-09,34
2016-10-16,23
2016-10-23,29
2016-10-30,39
2016-11-06,34
2016-11-13,36
2016-11-20,25
2016-11-27,45
2016-12-04,35
2016-12-11,33
2016-12-18,32
2016-12-25,47
2017-01-01,39
2017-01-08,38
2017-01-15,34
2017-01-22,31
2017-01-29,28
2017-02-05,52
2017-02-12,20
2017-02-19,29
2017-02-26,38
2017-03-05,33
2017-03-12,30
2017-03-19,30
2017-03-26,34
2017-04-02,22
2017-04-09,48
2017-04-16,33
2017-04-23,31
2017-04-30,24
2017-05-07,32
2017-05-14,27
2017-05-21,23
2017-05-28,27
2017-06-04,30
2017-06-11,20
2017-06-18,17
2017-06-25,29
2017-07-02,28
2017-07-09,31
2017-07-16,35
2017-07-23,40
2017-07-30,40
2017-08-06,45
2017-08-13,55
2017-08-20,92
2017-08-27,32
2017-09-03,32
2017-09-10,33
2017-09-17,33
2017-09-24,29
2017-10-01,18
2017-10-08,24
2017-10-15,25
2017-10-22,32
2017-10-29,35
2017-11-05,29
2017-11-12,32
2017-11-19,26
2017-11-26,36
2017-12-03,55
2017-12-10,37
2017-12-17,40
2017-12-24,46
2017-12-31,52
2018-01-07,30
2018-01-14,26
2018-01-21,37
2018-01-28,30
2018-02-04,32
2018-02-11,38
2018-02-18,32
2018-02-25,31
2018-03-04,25
2018-03-11,30
2018-03-18,39
2018-03-25,43
2018-04-01,33
2018-04-08,34
2018-04-15,31
2018-04-22,32
2018-04-29,32
2018-05-06,27
2018-05-13,31
2018-05-20,30
2018-05-27,36
2018-06-03,27
2018-06-10,34
2018-06-17,30
2018-06-24,24
2018-07-01,29
2018-07-08,30
2018-07-15,33
2018-07-22,34
2018-07-29,32
2018-08-05,40
2018-08-12,55
2018-08-19,99
2018-08-26,37
2018-09-02,29
2018-09-09,32
2018-09-16,17
2018-09-23,28
2018-09-30,35
2018-10-07,29
2018-10-14,33
2018-10-21,29
2018-10-28,38
2018-11-04,35
2018-11-11,38
2018-11-18,39
2018-11-25,34
2018-12-02,42
2018-12-09,40
2018-12-16,35
2018-12-23,59
2018-12-30,46
2019-01-06,26
2019-01-13,31
2019-01-20,33
2019-01-27,33
2019-02-03,38
2019-02-10,36
2019-02-17,33
2019-02-24,34
2019-03-03,34
2019-03-10,25
2019-03-17,32
2019-03-24,32
2019-03-31,31
2019-04-07,33
2019-04-14,44
2019-04-21,29
2019-04-28,40
2019-05-05,36
2019-05-12,37
2019-05-19,32
2019-05-26,32
2019-06-02,29
2019-06-09,31
2019-06-16,35
2019-06-23,34
2019-06-30,39
2019-07-07,30
2019-07-14,37
2019-07-21,24
2019-07-28,31
2019-08-04,49
2019-08-11,60
2019-08-18,100
2019-08-25,67
2019-09-01,25
2019-09-08,37
2019-09-15,29
2019-09-22,27
2019-09-29,37
2019-10-06,36
2019-10-13,30
2019-10-20,31
2019-10-27,41
2019-11-03,35
2019-11-10,35
2019-11-17,36
2019-11-24,37
2019-12-01,51
2019-12-08,33
2019-12-15,46
2019-12-22,53
2019-12-29,57
2020-01-05,33
2020-01-12,31
2020-01-19,32
2020-01-26,33
2020-02-02,30
2020-02-09,28
2020-02-16,38
2020-02-23,31
2020-03-01,30
2020-03-08,21
2020-03-15,11
2020-03-22,17
2020-03-29,11
2020-04-05,15
2020-04-12,19
2020-04-19,14
2020-04-26,13
2020-05-03,13
2020-05-10,18
2020-05-17,23
2020-05-24,17
2020-05-31,23
2020-06-07,26
2020-06-14,24
2020-06-21,31
2020-06-28,23
2020-07-05,20
2020-07-12,28
2020-07-19,22
2020-07-26,13
