Categoría: Todas las categorías

Semana,callao: (España)
2015-08-02,60
2015-08-09,61
2015-08-16,56
2015-08-23,65
2015-08-30,54
2015-09-06,59
2015-09-13,58
2015-09-20,66
2015-09-27,66
2015-10-04,61
2015-10-11,64
2015-10-18,66
2015-10-25,68
2015-11-01,77
2015-11-08,69
2015-11-15,70
2015-11-22,78
2015-11-29,80
2015-12-06,84
2015-12-13,76
2015-12-20,72
2015-12-27,79
2016-01-03,68
2016-01-10,61
2016-01-17,61
2016-01-24,75
2016-01-31,67
2016-02-07,74
2016-02-14,62
2016-02-21,62
2016-02-28,64
2016-03-06,46
2016-03-13,53
2016-03-20,57
2016-03-27,66
2016-04-03,64
2016-04-10,60
2016-04-17,72
2016-04-24,57
2016-05-01,54
2016-05-08,60
2016-05-15,56
2016-05-22,55
2016-05-29,54
2016-06-05,54
2016-06-12,56
2016-06-19,65
2016-06-26,54
2016-07-03,68
2016-07-10,65
2016-07-17,55
2016-07-24,56
2016-07-31,60
2016-08-07,48
2016-08-14,48
2016-08-21,55
2016-08-28,62
2016-09-04,59
2016-09-11,60
2016-09-18,70
2016-09-25,61
2016-10-02,54
2016-10-09,70
2016-10-16,73
2016-10-23,98
2016-10-30,77
2016-11-06,63
2016-11-13,78
2016-11-20,68
2016-11-27,78
2016-12-04,97
2016-12-11,63
2016-12-18,58
2016-12-25,78
2017-01-01,78
2017-01-08,65
2017-01-15,59
2017-01-22,64
2017-01-29,51
2017-02-05,60
2017-02-12,66
2017-02-19,72
2017-02-26,61
2017-03-05,76
2017-03-12,52
2017-03-19,63
2017-03-26,66
2017-04-02,63
2017-04-09,64
2017-04-16,57
2017-04-23,62
2017-04-30,63
2017-05-07,68
2017-05-14,47
2017-05-21,49
2017-05-28,66
2017-06-04,57
2017-06-11,65
2017-06-18,73
2017-06-25,59
2017-07-02,67
2017-07-09,57
2017-07-16,62
2017-07-23,52
2017-07-30,57
2017-08-06,43
2017-08-13,53
2017-08-20,53
2017-08-27,52
2017-09-03,50
2017-09-10,58
2017-09-17,78
2017-09-24,72
2017-10-01,66
2017-10-08,69
2017-10-15,68
2017-10-22,66
2017-10-29,65
2017-11-05,81
2017-11-12,77
2017-11-19,63
2017-11-26,65
2017-12-03,92
2017-12-10,78
2017-12-17,72
2017-12-24,86
2017-12-31,82
2018-01-07,64
2018-01-14,62
2018-01-21,64
2018-01-28,60
2018-02-04,66
2018-02-11,61
2018-02-18,68
2018-02-25,62
2018-03-04,66
2018-03-11,58
2018-03-18,64
2018-03-25,83
2018-04-01,62
2018-04-08,50
2018-04-15,51
2018-04-22,50
2018-04-29,76
2018-05-06,51
2018-05-13,59
2018-05-20,62
2018-05-27,47
2018-06-03,48
2018-06-10,51
2018-06-17,77
2018-06-24,62
2018-07-01,59
2018-07-08,51
2018-07-15,60
2018-07-22,55
2018-07-29,50
2018-08-05,59
2018-08-12,57
2018-08-19,60
2018-08-26,59
2018-09-02,61
2018-09-09,65
2018-09-16,62
2018-09-23,63
2018-09-30,73
2018-10-07,63
2018-10-14,67
2018-10-21,73
2018-10-28,78
2018-11-04,71
2018-11-11,73
2018-11-18,81
2018-11-25,73
2018-12-02,79
2018-12-09,81
2018-12-16,72
2018-12-23,97
2018-12-30,85
2019-01-06,64
2019-01-13,64
2019-01-20,55
2019-01-27,61
2019-02-03,62
2019-02-10,68
2019-02-17,62
2019-02-24,71
2019-03-03,70
2019-03-10,66
2019-03-17,65
2019-03-24,68
2019-03-31,58
2019-04-07,69
2019-04-14,67
2019-04-21,68
2019-04-28,66
2019-05-05,55
2019-05-12,62
2019-05-19,60
2019-05-26,60
2019-06-02,67
2019-06-09,60
2019-06-16,63
2019-06-23,58
2019-06-30,68
2019-07-07,64
2019-07-14,62
2019-07-21,57
2019-07-28,65
2019-08-04,63
2019-08-11,75
2019-08-18,63
2019-08-25,57
2019-09-01,72
2019-09-08,60
2019-09-15,67
2019-09-22,61
2019-09-29,62
2019-10-06,64
2019-10-13,100
2019-10-20,97
2019-10-27,90
2019-11-03,71
2019-11-10,64
2019-11-17,69
2019-11-24,79
2019-12-01,85
2019-12-08,74
2019-12-15,71
2019-12-22,85
2019-12-29,84
2020-01-05,62
2020-01-12,51
2020-01-19,65
2020-01-26,70
2020-02-02,66
2020-02-09,70
2020-02-16,62
2020-02-23,60
2020-03-01,62
2020-03-08,42
2020-03-15,16
2020-03-22,19
2020-03-29,15
2020-04-05,18
2020-04-12,17
2020-04-19,15
2020-04-26,20
2020-05-03,22
2020-05-10,20
2020-05-17,19
2020-05-24,26
2020-05-31,34
2020-06-07,37
2020-06-14,40
2020-06-21,35
2020-06-28,43
2020-07-05,42
2020-07-12,36
2020-07-19,42
2020-07-26,40
