Categoría: Todas las categorías

Semana,el retiro: (España)
2015-08-02,33
2015-08-09,35
2015-08-16,35
2015-08-23,31
2015-08-30,29
2015-09-06,35
2015-09-13,31
2015-09-20,35
2015-09-27,29
2015-10-04,38
2015-10-11,33
2015-10-18,24
2015-10-25,34
2015-11-01,29
2015-11-08,35
2015-11-15,29
2015-11-22,25
2015-11-29,32
2015-12-06,31
2015-12-13,20
2015-12-20,26
2015-12-27,28
2016-01-03,25
2016-01-10,22
2016-01-17,25
2016-01-24,32
2016-01-31,33
2016-02-07,27
2016-02-14,28
2016-02-21,27
2016-02-28,27
2016-03-06,36
2016-03-13,26
2016-03-20,40
2016-03-27,35
2016-04-03,25
2016-04-10,29
2016-04-17,32
2016-04-24,30
2016-05-01,35
2016-05-08,20
2016-05-15,46
2016-05-22,34
2016-05-29,40
2016-06-05,40
2016-06-12,30
2016-06-19,36
2016-06-26,28
2016-07-03,37
2016-07-10,26
2016-07-17,44
2016-07-24,54
2016-07-31,55
2016-08-07,39
2016-08-14,39
2016-08-21,40
2016-08-28,38
2016-09-04,37
2016-09-11,31
2016-09-18,39
2016-09-25,37
2016-10-02,40
2016-10-09,29
2016-10-16,31
2016-10-23,33
2016-10-30,36
2016-11-06,29
2016-11-13,32
2016-11-20,27
2016-11-27,31
2016-12-04,35
2016-12-11,34
2016-12-18,26
2016-12-25,44
2017-01-01,30
2017-01-08,20
2017-01-15,26
2017-01-22,23
2017-01-29,31
2017-02-05,27
2017-02-12,29
2017-02-19,26
2017-02-26,29
2017-03-05,33
2017-03-12,37
2017-03-19,40
2017-03-26,34
2017-04-02,31
2017-04-09,52
2017-04-16,40
2017-04-23,37
2017-04-30,49
2017-05-07,42
2017-05-14,61
2017-05-21,37
2017-05-28,43
2017-06-04,39
2017-06-11,33
2017-06-18,33
2017-06-25,34
2017-07-02,35
2017-07-09,42
2017-07-16,34
2017-07-23,37
2017-07-30,43
2017-08-06,36
2017-08-13,40
2017-08-20,40
2017-08-27,32
2017-09-03,30
2017-09-10,39
2017-09-17,31
2017-09-24,35
2017-10-01,40
2017-10-08,48
2017-10-15,38
2017-10-22,33
2017-10-29,33
2017-11-05,36
2017-11-12,36
2017-11-19,29
2017-11-26,30
2017-12-03,38
2017-12-10,37
2017-12-17,23
2017-12-24,34
2017-12-31,32
2018-01-07,25
2018-01-14,29
2018-01-21,30
2018-01-28,26
2018-02-04,28
2018-02-11,43
2018-02-18,35
2018-02-25,31
2018-03-04,29
2018-03-11,26
2018-03-18,80
2018-03-25,100
2018-04-01,70
2018-04-08,35
2018-04-15,35
2018-04-22,40
2018-04-29,41
2018-05-06,42
2018-05-13,41
2018-05-20,46
2018-05-27,45
2018-06-03,39
2018-06-10,38
2018-06-17,34
2018-06-24,38
2018-07-01,35
2018-07-08,47
2018-07-15,39
2018-07-22,37
2018-07-29,34
2018-08-05,42
2018-08-12,36
2018-08-19,41
2018-08-26,41
2018-09-02,35
2018-09-09,41
2018-09-16,47
2018-09-23,42
2018-09-30,39
2018-10-07,46
2018-10-14,29
2018-10-21,39
2018-10-28,36
2018-11-04,31
2018-11-11,41
2018-11-18,28
2018-11-25,29
2018-12-02,44
2018-12-09,29
2018-12-16,24
2018-12-23,38
2018-12-30,41
2019-01-06,27
2019-01-13,25
2019-01-20,32
2019-01-27,36
2019-02-03,35
2019-02-10,39
2019-02-17,33
2019-02-24,39
2019-03-03,38
2019-03-10,45
2019-03-17,36
2019-03-24,53
2019-03-31,30
2019-04-07,38
2019-04-14,48
2019-04-21,37
2019-04-28,47
2019-05-05,40
2019-05-12,44
2019-05-19,39
2019-05-26,39
2019-06-02,46
2019-06-09,49
2019-06-16,44
2019-06-23,36
2019-06-30,33
2019-07-07,48
2019-07-14,39
2019-07-21,44
2019-07-28,42
2019-08-04,46
2019-08-11,46
2019-08-18,42
2019-08-25,42
2019-09-01,40
2019-09-08,39
2019-09-15,43
2019-09-22,40
2019-09-29,37
2019-10-06,41
2019-10-13,40
2019-10-20,33
2019-10-27,45
2019-11-03,40
2019-11-10,31
2019-11-17,37
2019-11-24,34
2019-12-01,37
2019-12-08,33
2019-12-15,28
2019-12-22,54
2019-12-29,50
2020-01-05,31
2020-01-12,34
2020-01-19,37
2020-01-26,34
2020-02-02,41
2020-02-09,36
2020-02-16,34
2020-02-23,49
2020-03-01,47
2020-03-08,31
2020-03-15,17
2020-03-22,14
2020-03-29,16
2020-04-05,18
2020-04-12,20
2020-04-19,20
2020-04-26,27
2020-05-03,20
2020-05-10,19
2020-05-17,23
2020-05-24,42
2020-05-31,40
2020-06-07,36
2020-06-14,32
2020-06-21,36
2020-06-28,36
2020-07-05,32
2020-07-12,33
2020-07-19,35
2020-07-26,19
