Categoría: Todas las categorías

Semana,gran via: (España)
2015-08-02,40
2015-08-09,41
2015-08-16,38
2015-08-23,37
2015-08-30,41
2015-09-06,43
2015-09-13,42
2015-09-20,47
2015-09-27,43
2015-10-04,49
2015-10-11,100
2015-10-18,66
2015-10-25,56
2015-11-01,58
2015-11-08,49
2015-11-15,45
2015-11-22,49
2015-11-29,50
2015-12-06,54
2015-12-13,51
2015-12-20,57
2015-12-27,63
2016-01-03,55
2016-01-10,48
2016-01-17,46
2016-01-24,43
2016-01-31,43
2016-02-07,46
2016-02-14,42
2016-02-21,46
2016-02-28,42
2016-03-06,42
2016-03-13,44
2016-03-20,48
2016-03-27,41
2016-04-03,37
2016-04-10,38
2016-04-17,39
2016-04-24,40
2016-05-01,43
2016-05-08,44
2016-05-15,44
2016-05-22,41
2016-05-29,44
2016-06-05,43
2016-06-12,37
2016-06-19,41
2016-06-26,42
2016-07-03,51
2016-07-10,43
2016-07-17,43
2016-07-24,42
2016-07-31,41
2016-08-07,42
2016-08-14,43
2016-08-21,44
2016-08-28,42
2016-09-04,50
2016-09-11,43
2016-09-18,53
2016-09-25,51
2016-10-02,50
2016-10-09,56
2016-10-16,52
2016-10-23,54
2016-10-30,52
2016-11-06,47
2016-11-13,47
2016-11-20,50
2016-11-27,55
2016-12-04,86
2016-12-11,57
2016-12-18,55
2016-12-25,63
2017-01-01,63
2017-01-08,51
2017-01-15,44
2017-01-22,46
2017-01-29,46
2017-02-05,47
2017-02-12,48
2017-02-19,45
2017-02-26,49
2017-03-05,45
2017-03-12,42
2017-03-19,44
2017-03-26,46
2017-04-02,44
2017-04-09,48
2017-04-16,44
2017-04-23,56
2017-04-30,47
2017-05-07,46
2017-05-14,39
2017-05-21,45
2017-05-28,46
2017-06-04,43
2017-06-11,44
2017-06-18,47
2017-06-25,49
2017-07-02,49
2017-07-09,48
2017-07-16,46
2017-07-23,44
2017-07-30,44
2017-08-06,40
2017-08-13,40
2017-08-20,41
2017-08-27,44
2017-09-03,49
2017-09-10,47
2017-09-17,50
2017-09-24,48
2017-10-01,52
2017-10-08,56
2017-10-15,48
2017-10-22,53
2017-10-29,48
2017-11-05,49
2017-11-12,48
2017-11-19,50
2017-11-26,53
2017-12-03,68
2017-12-10,50
2017-12-17,52
2017-12-24,67
2017-12-31,62
2018-01-07,51
2018-01-14,50
2018-01-21,47
2018-01-28,44
2018-02-04,46
2018-02-11,50
2018-02-18,47
2018-02-25,47
2018-03-04,45
2018-03-11,43
2018-03-18,45
2018-03-25,56
2018-04-01,44
2018-04-08,45
2018-04-15,45
2018-04-22,42
2018-04-29,48
2018-05-06,47
2018-05-13,43
2018-05-20,45
2018-05-27,40
2018-06-03,42
2018-06-10,42
2018-06-17,40
2018-06-24,44
2018-07-01,49
2018-07-08,48
2018-07-15,46
2018-07-22,46
2018-07-29,47
2018-08-05,47
2018-08-12,43
2018-08-19,41
2018-08-26,46
2018-09-02,48
2018-09-09,47
2018-09-16,45
2018-09-23,47
2018-09-30,48
2018-10-07,54
2018-10-14,47
2018-10-21,50
2018-10-28,55
2018-11-04,48
2018-11-11,49
2018-11-18,56
2018-11-25,58
2018-12-02,60
2018-12-09,51
2018-12-16,54
2018-12-23,65
2018-12-30,62
2019-01-06,49
2019-01-13,47
2019-01-20,44
2019-01-27,44
2019-02-03,44
2019-02-10,45
2019-02-17,45
2019-02-24,44
2019-03-03,46
2019-03-10,44
2019-03-17,45
2019-03-24,43
2019-03-31,44
2019-04-07,42
2019-04-14,48
2019-04-21,44
2019-04-28,46
2019-05-05,44
2019-05-12,50
2019-05-19,40
2019-05-26,39
2019-06-02,49
2019-06-09,44
2019-06-16,41
2019-06-23,47
2019-06-30,51
2019-07-07,47
2019-07-14,46
2019-07-21,64
2019-07-28,48
2019-08-04,53
2019-08-11,45
2019-08-18,44
2019-08-25,44
2019-09-01,45
2019-09-08,51
2019-09-15,48
2019-09-22,48
2019-09-29,48
2019-10-06,53
2019-10-13,56
2019-10-20,46
2019-10-27,66
2019-11-03,49
2019-11-10,49
2019-11-17,50
2019-11-24,53
2019-12-01,59
2019-12-08,49
2019-12-15,50
2019-12-22,65
2019-12-29,66
2020-01-05,52
2020-01-12,49
2020-01-19,45
2020-01-26,44
2020-02-02,43
2020-02-09,44
2020-02-16,41
2020-02-23,43
2020-03-01,37
2020-03-08,27
2020-03-15,12
2020-03-22,10
2020-03-29,10
2020-04-05,13
2020-04-12,13
2020-04-19,10
2020-04-26,11
2020-05-03,15
2020-05-10,16
2020-05-17,19
2020-05-24,27
2020-05-31,25
2020-06-07,29
2020-06-14,29
2020-06-21,31
2020-06-28,33
2020-07-05,32
2020-07-12,31
2020-07-19,28
2020-07-26,18
