Categoría: Todas las categorías

Semana,cibeles: (España)
2015-08-02,31
2015-08-09,27
2015-08-16,25
2015-08-23,26
2015-08-30,28
2015-09-06,27
2015-09-13,28
2015-09-20,29
2015-09-27,21
2015-10-04,21
2015-10-11,26
2015-10-18,40
2015-10-25,29
2015-11-01,23
2015-11-08,29
2015-11-15,27
2015-11-22,22
2015-11-29,21
2015-12-06,26
2015-12-13,27
2015-12-20,29
2015-12-27,37
2016-01-03,32
2016-01-10,22
2016-01-17,32
2016-01-24,29
2016-01-31,24
2016-02-07,27
2016-02-14,24
2016-02-21,30
2016-02-28,24
2016-03-06,20
2016-03-13,22
2016-03-20,22
2016-03-27,18
2016-04-03,17
2016-04-10,20
2016-04-17,21
2016-04-24,18
2016-05-01,27
2016-05-08,24
2016-05-15,20
2016-05-22,67
2016-05-29,91
2016-06-05,26
2016-06-12,34
2016-06-19,24
2016-06-26,21
2016-07-03,29
2016-07-10,29
2016-07-17,27
2016-07-24,33
2016-07-31,27
2016-08-07,28
2016-08-14,24
2016-08-21,27
2016-08-28,24
2016-09-04,24
2016-09-11,25
2016-09-18,25
2016-09-25,21
2016-10-02,19
2016-10-09,23
2016-10-16,24
2016-10-23,18
2016-10-30,23
2016-11-06,20
2016-11-13,19
2016-11-20,19
2016-11-27,19
2016-12-04,28
2016-12-11,20
2016-12-18,20
2016-12-25,22
2017-01-01,27
2017-01-08,18
2017-01-15,16
2017-01-22,18
2017-01-29,20
2017-02-05,20
2017-02-12,24
2017-02-19,29
2017-02-26,26
2017-03-05,25
2017-03-12,21
2017-03-19,19
2017-03-26,24
2017-04-02,20
2017-04-09,20
2017-04-16,16
2017-04-23,20
2017-04-30,25
2017-05-07,20
2017-05-14,25
2017-05-21,97
2017-05-28,66
2017-06-04,100
2017-06-11,24
2017-06-18,19
2017-06-25,30
2017-07-02,25
2017-07-09,27
2017-07-16,22
2017-07-23,23
2017-07-30,21
2017-08-06,22
2017-08-13,33
2017-08-20,24
2017-08-27,19
2017-09-03,24
2017-09-10,25
2017-09-17,21
2017-09-24,30
2017-10-01,27
2017-10-08,23
2017-10-15,29
2017-10-22,23
2017-10-29,17
2017-11-05,18
2017-11-12,26
2017-11-19,21
2017-11-26,17
2017-12-03,31
2017-12-10,23
2017-12-17,22
2017-12-24,23
2017-12-31,25
2018-01-07,17
2018-01-14,19
2018-01-21,20
2018-01-28,19
2018-02-04,20
2018-02-11,17
2018-02-18,23
2018-02-25,20
2018-03-04,24
2018-03-11,24
2018-03-18,21
2018-03-25,21
2018-04-01,23
2018-04-08,16
2018-04-15,22
2018-04-22,19
2018-04-29,19
2018-05-06,21
2018-05-13,21
2018-05-20,50
2018-05-27,77
2018-06-03,18
2018-06-10,17
2018-06-17,25
2018-06-24,20
2018-07-01,30
2018-07-08,27
2018-07-15,31
2018-07-22,25
2018-07-29,27
2018-08-05,27
2018-08-12,24
2018-08-19,25
2018-08-26,24
2018-09-02,25
2018-09-09,26
2018-09-16,24
2018-09-23,19
2018-09-30,20
2018-10-07,23
2018-10-14,20
2018-10-21,17
2018-10-28,18
2018-11-04,17
2018-11-11,21
2018-11-18,18
2018-11-25,20
2018-12-02,22
2018-12-09,21
2018-12-16,20
2018-12-23,26
2018-12-30,32
2019-01-06,20
2019-01-13,19
2019-01-20,21
2019-01-27,23
2019-02-03,21
2019-02-10,22
2019-02-17,19
2019-02-24,20
2019-03-03,27
2019-03-10,36
2019-03-17,30
2019-03-24,21
2019-03-31,17
2019-04-07,18
2019-04-14,22
2019-04-21,25
2019-04-28,20
2019-05-05,28
2019-05-12,21
2019-05-19,19
2019-05-26,21
2019-06-02,22
2019-06-09,24
2019-06-16,25
2019-06-23,27
2019-06-30,28
2019-07-07,27
2019-07-14,27
2019-07-21,26
2019-07-28,29
2019-08-04,27
2019-08-11,32
2019-08-18,32
2019-08-25,28
2019-09-01,25
2019-09-08,22
2019-09-15,26
2019-09-22,23
2019-09-29,22
2019-10-06,22
2019-10-13,19
2019-10-20,25
2019-10-27,24
2019-11-03,15
2019-11-10,19
2019-11-17,18
2019-11-24,21
2019-12-01,22
2019-12-08,26
2019-12-15,29
2019-12-22,31
2019-12-29,33
2020-01-05,25
2020-01-12,20
2020-01-19,20
2020-01-26,20
2020-02-02,20
2020-02-09,20
2020-02-16,21
2020-02-23,20
2020-03-01,19
2020-03-08,12
2020-03-15,7
2020-03-22,6
2020-03-29,7
2020-04-05,5
2020-04-12,8
2020-04-19,7
2020-04-26,9
2020-05-03,8
2020-05-10,10
2020-05-17,13
2020-05-24,13
2020-05-31,12
2020-06-07,12
2020-06-14,10
2020-06-21,16
2020-06-28,15
2020-07-05,14
2020-07-12,71
2020-07-19,10
2020-07-26,12
