Semana,Museo Nacional del Prado: (España),plaza mayor: (España),el retiro: (España),puerta del sol: (España),gran via: (España),Museo Nacional Thyssen-Bornemisza: (España),templo de debod: (España),Catedral de Santa María la Real de la Almudena: (España),cibeles: (España),palacio de cristal: (España),puerta de alcala: (España),el rastro: (España),las ventas: (España),chueca: (España),san gines: (España),callao: (España),calle serrano: (España)
2015-08-02,4,52,33,7,40,43,39,8,31,25,31,67,16,83,43,60,67
2015-08-09,5,56,35,7,41,49,47,9,27,30,26,72,18,88,42,61,68
2015-08-16,5,54,35,7,38,29,58,11,25,23,31,84,21,94,77,56,45
2015-08-23,5,51,31,5,37,46,54,10,26,36,33,68,20,92,80,65,64
2015-08-30,4,45,29,6,41,40,39,10,28,24,30,59,20,93,23,54,73
2015-09-06,5,55,35,7,43,50,63,13,27,33,28,71,24,88,26,59,83
2015-09-13,5,36,31,5,42,35,36,11,28,47,33,65,34,78,24,58,97
2015-09-20,5,41,35,6,47,37,42,12,29,38,34,67,29,79,24,66,46
2015-09-27,5,43,29,6,43,39,43,14,21,37,33,66,39,89,26,66,63
2015-10-04,5,44,38,8,49,89,47,15,21,25,45,60,22,88,25,61,71
2015-10-11,6,51,33,7,100,76,59,20,26,86,46,69,18,88,37,64,78
2015-10-18,5,34,24,7,66,60,42,18,40,58,38,81,13,80,21,66,68
2015-10-25,5,35,34,7,56,57,48,21,29,56,40,59,14,83,25,68,89
2015-11-01,6,58,29,7,58,79,38,49,23,33,39,73,17,86,24,77,78
2015-11-08,5,39,35,6,49,57,38,66,29,39,39,47,13,89,25,69,71
2015-11-15,5,39,29,6,45,44,41,14,27,39,40,63,10,84,17,70,79
2015-11-22,6,53,25,7,49,42,36,9,22,59,48,50,13,76,28,78,77
2015-11-29,6,54,32,9,50,38,48,12,21,46,40,68,14,86,29,80,73
2015-12-06,8,65,31,9,54,46,59,13,26,54,44,77,11,100,27,84,88
2015-12-13,6,48,20,12,51,32,36,10,27,43,32,89,13,90,26,76,89
2015-12-20,5,54,26,12,57,38,32,10,29,26,39,100,10,86,38,72,58
2015-12-27,7,65,28,26,63,55,69,16,37,51,45,82,12,94,39,79,83
2016-01-03,6,50,25,7,55,54,37,9,32,38,30,55,11,71,16,68,61
2016-01-10,6,39,22,7,48,50,31,10,22,27,39,52,13,72,21,61,91
2016-01-17,5,36,25,6,46,36,56,11,32,39,45,65,13,73,28,61,99
