,Museo Nacional del Prado: (Reino Unido),plaza mayor: (Reino Unido),Parque de El Retiro: (Reino Unido),Puerta del Sol: (Reino Unido),gran via: (Reino Unido),Museo Nacional Thyssen-Bornemisza: (Reino Unido),Templo de Debod: (Reino Unido),Catedral de Santa María la Real de la Almudena: (Reino Unido),cibeles: (Reino Unido),Palacio de Cristal: (Reino Unido),Puerta de Alcalá: (Reino Unido),El Rastro: (Reino Unido),Plaza de Toros de Las Ventas: (Reino Unido),Chueca: (Reino Unido),san gines: (Reino Unido),callao: (Reino Unido),date
0,<1,47,19,57,53,49,100,56,48,19,39,43,69,66,0,57,2015-08-01
1,<1,49,56,57,59,36,32,72,40,54,38,63,67,44,66,85,2015-09-01
2,<1,48,23,36,74,46,61,68,50,18,73,41,98,53,33,68,2015-10-01
3,<1,42,43,43,52,57,31,80,39,17,36,40,98,46,31,43,2015-11-01
4,<1,53,38,79,42,55,32,30,36,19,40,100,73,32,36,34,2015-12-01
5,<1,59,18,36,74,34,46,81,33,18,37,31,49,18,32,63,2016-01-01
6,<1,81,59,54,76,36,32,28,30,18,37,42,66,35,64,75,2016-02-01
7,<1,44,90,36,51,36,65,57,21,36,38,22,50,47,34,70,2016-03-01
8,<1,83,45,45,62,29,63,55,47,18,56,31,76,35,33,70,2016-04-01
9,<1,63,42,30,66,54,33,42,49,19,37,32,70,44,67,67,2016-05-01
10,<1,58,45,56,74,18,64,28,50,27,55,43,68,36,34,56,2016-06-01
11,<1,45,57,41,73,50,66,59,34,20,39,45,70,39,70,65,2016-07-01
12,<1,52,31,42,43,52,37,52,70,21,0,34,76,41,72,71,2016-08-01
13,<1,70,58,39,60,29,34,59,43,19,39,33,72,38,35,58,2016-09-01
14,<1,61,38,37,56,37,66,86,42,28,77,66,35,37,68,70,2016-10-01
15,<1,38,18,36,48,51,62,41,32,53,37,51,33,35,64,78,2016-11-01
16,<1,58,30,51,47,40,62,47,45,0,37,44,66,30,49,61,2016-12-01
17,<1,56,49,53,81,49,44,52,39,17,71,20,63,34,31,100,2017-01-01
18,<1,58,32,45,66,25,30,100,38,32,35,38,31,37,31,87,2017-02-01
19,<1,43,35,45,84,33,60,27,37,25,36,39,52,50,32,74,2017-03-01
20,<1,63,45,63,80,100,62,83,56,26,36,41,100,49,33,85,2017-04-01
21,<1,44,63,37,60,34,65,41,55,17,38,40,68,36,49,75,2017-05-01
22,<1,49,40,43,84,54,45,41,57,35,37,31,76,30,66,65,2017-06-01
23,<1,48,40,29,69,26,46,56,40,36,38,41,34,23,100,85,2017-07-01
24,<1,49,36,36,77,44,62,41,100,18,73,42,66,52,49,84,2017-08-01
25,<1,66,100,35,49,34,50,40,57,25,35,20,48,25,31,79,2017-09-01
26,<1,50,34,39,48,41,58,51,56,28,34,26,32,66,61,57,2017-10-01
27,<1,47,25,33,44,33,57,36,37,24,34,29,31,46,30,42,2017-11-01
28,<1,55,25,34,44,49,64,29,37,19,69,39,36,41,35,47,2017-12-01
29,<1,33,40,27,52,16,82,25,53,16,67,28,30,16,43,86,2018-01-01
30,<1,36,32,50,47,32,29,51,36,15,33,38,30,16,56,69,2018-02-01
31,<1,44,43,28,50,37,29,49,37,16,34,38,61,25,59,73,2018-03-01
32,<1,52,65,33,61,33,58,51,37,33,69,37,62,49,31,65,2018-04-01
33,<1,46,50,25,52,33,58,51,56,17,35,39,62,49,31,57,2018-05-01
34,<1,59,82,33,54,32,29,38,29,16,34,29,61,49,31,62,2018-06-01
35,<1,54,42,34,48,28,59,51,37,17,35,39,93,49,30,82,2018-07-01
36,<1,49,40,35,44,34,60,39,19,17,35,39,47,34,30,53,2018-08-01
37,<1,62,49,42,59,41,71,51,37,33,69,20,31,41,61,73,2018-09-01
38,<1,63,34,34,61,33,44,64,31,25,0,20,47,33,47,64,2018-10-01
39,<1,52,72,64,44,48,28,66,36,0,34,57,59,40,29,50,2018-11-01
40,<1,43,25,68,33,51,62,39,22,19,40,22,32,51,0,69,2018-12-01
41,<1,35,31,64,74,31,37,50,53,15,33,19,30,31,30,92,2019-01-01
42,<1,38,38,65,49,38,54,63,18,24,100,38,90,23,60,41,2019-02-01
43,<1,52,56,34,57,33,87,77,24,48,34,28,90,40,46,65,2019-03-01
44,<1,45,47,27,66,33,82,75,36,16,50,38,61,39,0,72,2019-04-01
45,<1,100,48,59,100,31,47,38,49,16,34,28,61,48,60,76,2019-05-01
46,<1,44,48,49,48,31,55,50,35,21,34,19,89,27,29,86,2019-06-01
47,<1,45,48,50,43,31,57,49,30,32,34,28,59,33,30,59,2019-07-01
48,<1,59,40,38,51,63,57,38,54,32,34,28,60,26,30,70,2019-08-01
49,<1,53,39,52,61,31,52,73,53,29,0,37,44,31,57,76,2019-09-01
50,<1,48,39,45,59,36,52,34,39,29,30,34,55,29,54,62,2019-10-01
51,<1,51,29,24,54,35,37,22,16,14,44,17,54,28,52,58,2019-11-01
52,<1,46,76,61,41,30,27,47,23,30,34,29,46,30,46,61,2019-12-01
53,<1,39,28,42,79,23,32,65,21,14,29,48,51,32,26,77,2020-01-01
54,<1,71,47,34,58,33,47,44,20,14,29,25,53,28,26,71,2020-02-01
55,<1,35,34,57,61,33,23,42,28,27,51,22,25,39,48,46,2020-03-01
56,<1,24,13,30,31,37,22,20,21,13,26,15,23,38,0,33,2020-04-01
57,<1,30,22,30,33,26,43,28,20,13,25,0,47,24,23,35,2020-05-01
58,<1,53,24,30,40,24,21,37,14,12,25,21,34,28,23,28,2020-06-01
59,<1,34,99,100,45,25,24,21,35,100,28,30,26,100,25,39,2020-07-01
