Categoría: Todas las categorías

Semana,Plaza de Toros de Las Ventas: (Reino Unido)
2015-08-02,35
2015-08-09,69
2015-08-16,35
2015-08-23,34
2015-08-30,52
2015-09-06,46
2015-09-13,50
2015-09-20,33
2015-09-27,67
2015-10-04,33
2015-10-11,33
2015-10-18,32
2015-10-25,98
2015-11-01,0
2015-11-08,0
2015-11-15,98
2015-11-22,0
2015-11-29,32
2015-12-06,32
2015-12-13,0
2015-12-20,0
2015-12-27,73
2016-01-03,49
2016-01-10,0
2016-01-17,33
2016-01-24,32
2016-01-31,0
2016-02-07,66
2016-02-14,34
2016-02-21,33
2016-02-28,0
2016-03-06,33
2016-03-13,50
2016-03-20,0
2016-03-27,34
2016-04-03,33
2016-04-10,33
2016-04-17,34
2016-04-24,76
2016-05-01,50
2016-05-08,34
2016-05-15,66
2016-05-22,46
2016-05-29,70
2016-06-05,68
2016-06-12,50
2016-06-19,33
2016-06-26,51
2016-07-03,35
2016-07-10,70
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,76
2016-08-28,55
2016-09-04,72
2016-09-11,36
2016-09-18,47
2016-09-25,0
2016-10-02,35
2016-10-09,34
2016-10-16,0
2016-10-23,34
2016-10-30,34
2016-11-06,33
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,66
2016-12-11,34
2016-12-18,0
2016-12-25,38
2017-01-01,32
2017-01-08,0
2017-01-15,61
2017-01-22,63
2017-01-29,31
2017-02-05,0
2017-02-12,0
2017-02-19,31
2017-02-26,30
2017-03-05,31
2017-03-12,31
2017-03-19,52
2017-03-26,32
2017-04-02,100
2017-04-09,65
2017-04-16,65
2017-04-23,46
2017-04-30,63
2017-05-07,42
2017-05-14,64
2017-05-21,68
2017-05-28,33
2017-06-04,42
2017-06-11,51
2017-06-18,76
2017-06-25,33
2017-07-02,34
2017-07-09,33
2017-07-16,0
2017-07-23,0
2017-07-30,32
2017-08-06,65
2017-08-13,33
2017-08-20,66
2017-08-27,51
2017-09-03,32
2017-09-10,48
2017-09-17,0
2017-09-24,31
2017-10-01,31
2017-10-08,31
2017-10-15,0
2017-10-22,32
2017-10-29,31
2017-11-05,31
2017-11-12,31
2017-11-19,0
2017-11-26,0
2017-12-03,31
2017-12-10,0
2017-12-17,0
2017-12-24,36
2017-12-31,0
2018-01-07,30
2018-01-14,29
2018-01-21,0
2018-01-28,30
2018-02-04,0
2018-02-11,30
2018-02-18,0
2018-02-25,28
2018-03-04,30
2018-03-11,0
2018-03-18,0
2018-03-25,61
2018-04-01,46
2018-04-08,61
2018-04-15,62
2018-04-22,29
2018-04-29,45
2018-05-06,62
2018-05-13,47
2018-05-20,47
2018-05-27,31
2018-06-03,61
2018-06-10,44
2018-06-17,61
2018-06-24,32
2018-07-01,31
2018-07-08,93
2018-07-15,31
2018-07-22,0
2018-07-29,62
2018-08-05,0
2018-08-12,47
2018-08-19,0
2018-08-26,32
2018-09-02,0
2018-09-09,31
2018-09-16,30
2018-09-23,31
2018-09-30,31
2018-10-07,31
2018-10-14,31
2018-10-21,47
2018-10-28,46
2018-11-04,59
2018-11-11,31
2018-11-18,29
2018-11-25,30
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,32
2019-01-06,30
2019-01-13,0
2019-01-20,0
2019-01-27,29
2019-02-03,0
2019-02-10,90
2019-02-17,30
2019-02-24,30
2019-03-03,30
2019-03-10,59
2019-03-17,30
2019-03-24,31
2019-03-31,90
2019-04-07,30
2019-04-14,32
2019-04-21,61
2019-04-28,29
2019-05-05,30
2019-05-12,46
2019-05-19,61
2019-05-26,30
2019-06-02,0
2019-06-09,87
2019-06-16,30
2019-06-23,89
2019-06-30,40
2019-07-07,59
2019-07-14,45
2019-07-21,30
2019-07-28,30
2019-08-04,29
2019-08-11,0
2019-08-18,60
2019-08-25,30
2019-09-01,29
2019-09-08,29
2019-09-15,44
2019-09-22,27
2019-09-29,28
2019-10-06,55
2019-10-13,28
2019-10-20,0
2019-10-27,0
2019-11-03,54
2019-11-10,27
2019-11-17,0
2019-11-24,26
2019-12-01,27
2019-12-08,0
2019-12-15,0
2019-12-22,46
2019-12-29,28
2020-01-05,26
2020-01-12,51
2020-01-19,26
2020-01-26,26
2020-02-02,53
2020-02-09,26
2020-02-16,26
2020-02-23,50
2020-03-01,25
2020-03-08,24
2020-03-15,0
2020-03-22,23
2020-03-29,23
2020-04-05,0
2020-04-12,23
2020-04-19,23
2020-04-26,0
2020-05-03,23
2020-05-10,0
2020-05-17,47
2020-05-24,0
2020-05-31,22
2020-06-07,34
2020-06-14,23
2020-06-21,24
2020-06-28,23
2020-07-05,24
2020-07-12,25
2020-07-19,26
2020-07-26,0
