Categoría: Todas las categorías

Semana,Templo de Debod: (Reino Unido)
2015-08-02,100
2015-08-09,0
2015-08-16,33
2015-08-23,0
2015-08-30,33
2015-09-06,32
2015-09-13,32
2015-09-20,32
2015-09-27,32
2015-10-04,0
2015-10-11,31
2015-10-18,61
2015-10-25,31
2015-11-01,30
2015-11-08,30
2015-11-15,31
2015-11-22,29
2015-11-29,30
2015-12-06,0
2015-12-13,32
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,46
2016-01-31,31
2016-02-07,31
2016-02-14,32
2016-02-21,31
2016-02-28,30
2016-03-06,62
2016-03-13,31
2016-03-20,0
2016-03-27,65
2016-04-03,62
2016-04-10,31
2016-04-17,63
2016-04-24,31
2016-05-01,32
2016-05-08,32
2016-05-15,31
2016-05-22,0
2016-05-29,33
2016-06-05,64
2016-06-12,31
2016-06-19,32
2016-06-26,32
2016-07-03,33
2016-07-10,66
2016-07-17,54
2016-07-24,0
2016-07-31,0
2016-08-07,36
2016-08-14,37
2016-08-21,36
2016-08-28,34
2016-09-04,34
2016-09-11,0
2016-09-18,33
2016-09-25,32
2016-10-02,66
2016-10-09,0
2016-10-16,33
2016-10-23,33
2016-10-30,0
2016-11-06,0
2016-11-13,62
2016-11-20,0
2016-11-27,0
2016-12-04,62
2016-12-11,32
2016-12-18,35
2016-12-25,53
2017-01-01,0
2017-01-08,29
2017-01-15,44
2017-01-22,0
2017-01-29,29
2017-02-05,30
2017-02-12,30
2017-02-19,0
2017-02-26,28
2017-03-05,57
2017-03-12,29
2017-03-19,30
2017-03-26,60
2017-04-02,47
2017-04-09,62
2017-04-16,61
2017-04-23,29
2017-04-30,30
2017-05-07,45
2017-05-14,31
2017-05-21,65
2017-05-28,31
2017-06-04,45
2017-06-11,32
2017-06-18,0
2017-06-25,31
2017-07-02,32
2017-07-09,31
2017-07-16,0
2017-07-23,46
2017-07-30,30
2017-08-06,30
2017-08-13,46
2017-08-20,62
2017-08-27,32
2017-09-03,50
2017-09-10,0
2017-09-17,45
2017-09-24,44
2017-10-01,58
2017-10-08,44
2017-10-15,38
2017-10-22,29
2017-10-29,29
2017-11-05,43
2017-11-12,28
2017-11-19,28
2017-11-26,57
2017-12-03,29
2017-12-10,44
2017-12-17,64
2017-12-24,0
2017-12-31,58
2018-01-07,56
2018-01-14,82
2018-01-21,0
2018-01-28,55
2018-02-04,28
2018-02-11,29
2018-02-18,0
2018-02-25,26
2018-03-04,28
2018-03-11,28
2018-03-18,28
2018-03-25,29
2018-04-01,58
2018-04-08,28
2018-04-15,29
2018-04-22,27
2018-04-29,28
2018-05-06,58
2018-05-13,29
2018-05-20,58
2018-05-27,29
2018-06-03,29
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,39
2018-07-08,29
2018-07-15,44
2018-07-22,59
2018-07-29,29
2018-08-05,29
2018-08-12,44
2018-08-19,60
2018-08-26,60
2018-09-02,0
2018-09-09,29
2018-09-16,57
2018-09-23,29
2018-09-30,71
2018-10-07,44
2018-10-14,29
2018-10-21,29
2018-10-28,29
2018-11-04,0
2018-11-11,28
2018-11-18,0
2018-11-25,28
2018-12-02,29
2018-12-09,30
2018-12-16,62
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,28
2019-01-20,37
2019-01-27,27
2019-02-03,54
2019-02-10,43
2019-02-17,0
2019-02-24,28
2019-03-03,28
2019-03-10,56
2019-03-17,0
2019-03-24,87
2019-03-31,57
2019-04-07,29
2019-04-14,30
2019-04-21,29
2019-04-28,82
2019-05-05,47
2019-05-12,28
2019-05-19,47
2019-05-26,28
2019-06-02,0
2019-06-09,55
2019-06-16,28
2019-06-23,29
2019-06-30,42
2019-07-07,55
2019-07-14,0
2019-07-21,29
2019-07-28,57
2019-08-04,28
2019-08-11,28
2019-08-18,57
2019-08-25,47
2019-09-01,0
2019-09-08,40
2019-09-15,27
2019-09-22,26
2019-09-29,52
2019-10-06,38
2019-10-13,52
2019-10-20,39
2019-10-27,26
2019-11-03,37
2019-11-10,0
2019-11-17,25
2019-11-24,0
2019-12-01,0
2019-12-08,25
2019-12-15,27
2019-12-22,0
2019-12-29,0
2020-01-05,32
2020-01-12,24
2020-01-19,0
2020-01-26,24
2020-02-02,25
2020-02-09,24
2020-02-16,36
2020-02-23,47
2020-03-01,0
2020-03-08,23
2020-03-15,23
2020-03-22,22
2020-03-29,22
2020-04-05,0
2020-04-12,0
2020-04-19,22
2020-04-26,21
2020-05-03,43
2020-05-10,21
2020-05-17,22
2020-05-24,0
2020-05-31,21
2020-06-07,21
2020-06-14,21
2020-06-21,0
2020-06-28,21
2020-07-05,22
2020-07-12,24
2020-07-19,0
2020-07-26,0
